 slim_762464370 slim_762464353 slim_762464375 slim_762464369 slim_762464405 slim_762464399 slim_762464408 slim_762464398 slim_762464371 slim_762464407 slim_762464389 slim_762464383 slim_762464350 slim_762464395 slim_762464363 slim_762464382 slim_762464373 slim_762464359 slim_762464381 slim_762464384 slim_762464374 slim_762464376 slim_762464406 slim_762464396 slim_762464366 slim_762464400 slim_762464392 slim_762464378 slim_762464368 slim_762464365 slim_762464362 slim_762464358 slim_762464393 slim_762464377 slim_762464352 slim_762464356 slim_762464361 slim_762464380 slim_762464367 slim_762464372 slim_762464387 slim_762464404 slim_762464379 slim_762464354 slim_762464390 slim_762464397 slim_762464385 slim_762464364 slim_762464360 slim_762464394 slim_762464403 slim_762464388 slim_762464391 slim_762464357 slim_762464351 slim_762464355 slim_762464401 slim_762464386 slim_762464402
32 2.05e-06 2.4e-06 2.35e-06 2.2e-06 1.95e-06 1.9e-06 1.6e-06 1.85e-06 1.35e-06 1.65e-06 2e-06 1.65e-06 1.7e-06 1.25e-06 1.8e-06 2.3e-06 2.3e-06 2.35e-06 2e-06 2e-06 1.55e-06 1.8e-06 2.35e-06 2.5e-06 1.85e-06 1.75e-06 2.3e-06 1.95e-06 2.6e-06 2.35e-06 1.75e-06 1.8e-06 2e-06 1.75e-06 2.5e-06 2.05e-06 2.15e-06 2.55e-06 1.55e-06 2e-06 2.55e-06 2.4e-06 1.8e-06 1.8e-06 2e-06 1.75e-06 1.75e-06 1.5e-06 1.5e-06 1.65e-06 1.8e-06 1.8e-06 1.8e-06 1.8e-06 1.45e-06 1.8e-06 2.05e-06 1.75e-06 1.55e-06
33 2.25e-06 2.7e-06 2.4e-06 2.15e-06 2.15e-06 2.15e-06 1.55e-06 1.9e-06 2.05e-06 2.25e-06 1.7e-06 1.8e-06 2.2e-06 2.05e-06 2.1e-06 2.3e-06 2.6e-06 2.05e-06 2.05e-06 1.7e-06 2.05e-06 1.75e-06 2.35e-06 2.4e-06 2.05e-06 1.7e-06 2.05e-06 1.65e-06 2.5e-06 2.4e-06 2.1e-06 1.65e-06 1.75e-06 2.5e-06 2.3e-06 1.75e-06 2.3e-06 2.75e-06 1.8e-06 2.5e-06 2.1e-06 2.4e-06 2.45e-06 2.25e-06 2.25e-06 1.55e-06 2.1e-06 2.4e-06 1.55e-06 2e-06 2.1e-06 1.95e-06 1.75e-06 2.1e-06 2.2e-06 1.65e-06 2.1e-06 2.15e-06 2.15e-06
34 2.45e-06 2.2e-06 2.55e-06 2.9e-06 2.05e-06 2.8e-06 3e-06 2.7e-06 2.75e-06 2.85e-06 2.75e-06 2.3e-06 3.15e-06 2.7e-06 2.85e-06 2.25e-06 2.45e-06 1.8e-06 2.3e-06 2.75e-06 2.4e-06 3.05e-06 2.15e-06 2.45e-06 2.65e-06 3e-06 2.65e-06 2.7e-06 2.1e-06 2.5e-06 2.8e-06 1.9e-06 2.5e-06 2.3e-06 2.8e-06 2.55e-06 2.5e-06 2.45e-06 2.8e-06 2.5e-06 2.65e-06 2.2e-06 3e-06 2.3e-06 2.7e-06 2.1e-06 2.6e-06 2.7e-06 2.15e-06 2.5e-06 2.6e-06 2.55e-06 3.05e-06 2.6e-06 2.95e-06 1.75e-06 2.2e-06 2.55e-06 2.95e-06
35 2.6e-06 3e-06 2.7e-06 1.9e-06 2.4e-06 2.4e-06 2.05e-06 2.15e-06 2.4e-06 2.5e-06 2.25e-06 2.05e-06 2.45e-06 2.4e-06 2.4e-06 2.6e-06 2.95e-06 2.3e-06 2.35e-06 2.25e-06 2.4e-06 2.2e-06 2.65e-06 2.65e-06 2.35e-06 2.1e-06 2.6e-06 2.2e-06 2.8e-06 2.7e-06 2.4e-06 1.9e-06 2.05e-06 1.75e-06 2.55e-06 2.9e-06 2.55e-06 3.1e-06 2.25e-06 2.85e-06 2.65e-06 2.7e-06 2.8e-06 2.6e-06 2.55e-06 1.8e-06 2.4e-06 2.8e-06 1.8e-06 2.3e-06 2.3e-06 2.2e-06 2.2e-06 2.3e-06 2.55e-06 1.9e-06 2.4e-06 2.35e-06 2.35e-06
36 2.4e-06 2.35e-06 2.35e-06 2.3e-06 2.15e-06 1.9e-06 2.45e-06 1.9e-06 2e-06 1.95e-06 2.1e-06 2.05e-06 1.8e-06 2e-06 1.85e-06 2e-06 2.55e-06 2.6e-06 1.85e-06 2.1e-06 1.95e-06 2.15e-06 2.1e-06 2e-06 1.9e-06 2.05e-06 2e-06 2.05e-06 2.45e-06 2.35e-06 1.85e-06 2.1e-06 2.15e-06 2.3e-06 2.5e-06 2.55e-06 3.1e-06 2.65e-06 2.2e-06 2.45e-06 2.6e-06 2.15e-06 2.2e-06 2.05e-06 1.85e-06 2.15e-06 1.9e-06 2.2e-06 2.05e-06 1.8e-06 1.9e-06 2.2e-06 2.15e-06 1.9e-06 2e-06 2.15e-06 1.95e-06 1.9e-06 2e-06
37 2.6e-06 2.3e-06 2e-06 3.05e-06 2.45e-06 2.45e-06 2.95e-06 2.7e-06 2.35e-06 2.6e-06 2.75e-06 2.45e-06 2.75e-06 2.35e-06 2.35e-06 2.4e-06 1.95e-06 2.3e-06 2.65e-06 2.75e-06 2.5e-06 2.7e-06 2.5e-06 2.35e-06 2.55e-06 2.55e-06 2.9e-06 2.7e-06 2.35e-06 2.1e-06 2.4e-06 2.7e-06 2.55e-06 2.75e-06 2.45e-06 3.1e-06 2.65e-06 3.7e-06 2.65e-06 2e-06 2.35e-06 2.55e-06 2.2e-06 2.2e-06 2.55e-06 2.55e-06 2.45e-06 2.15e-06 2.45e-06 2.35e-06 2.6e-06 2.8e-06 2.7e-06 2.6e-06 2.6e-06 2.75e-06 2.75e-06 2.5e-06 2.5e-06
38 2.35e-06 2.55e-06 2.35e-06 2.2e-06 2.3e-06 2e-06 1.8e-06 2e-06 1.5e-06 1.85e-06 1.85e-06 2e-06 1.7e-06 1.45e-06 1.85e-06 2.5e-06 2.4e-06 2.65e-06 2.2e-06 1.85e-06 1.75e-06 1.65e-06 2.55e-06 2.6e-06 1.95e-06 1.35e-06 2.15e-06 1.8e-06 2.7e-06 2.35e-06 1.8e-06 2.2e-06 1.55e-06 1.8e-06 2.8e-06 2.25e-06 2.2e-06 2.65e-06 2.4e-06 2.1e-06 2.3e-06 2.6e-06 1.9e-06 2e-06 2.1e-06 2e-06 1.9e-06 1.7e-06 1.8e-06 1.8e-06 2e-06 2.1e-06 1.65e-06 2e-06 1.55e-06 2.2e-06 2.25e-06 2e-06 1.75e-06
39 2.5e-06 2.15e-06 1.95e-06 2.6e-06 2.3e-06 2.15e-06 2.5e-06 2.3e-06 1.85e-06 2.1e-06 2.35e-06 2.1e-06 2.1e-06 1.8e-06 2.05e-06 2.4e-06 1.75e-06 2.35e-06 2.25e-06 2.35e-06 2e-06 2.25e-06 2.55e-06 2.5e-06 2.1e-06 2.1e-06 2.7e-06 2.3e-06 2.3e-06 1.95e-06 2e-06 2.45e-06 2e-06 2.5e-06 2.5e-06 2.85e-06 2.45e-06 2e-06 2.1e-06 2.9e-06 2.25e-06 2.6e-06 1.9e-06 2.1e-06 2.25e-06 2.3e-06 2.05e-06 1.8e-06 2.15e-06 1.95e-06 2.15e-06 2.4e-06 2.25e-06 2.15e-06 2e-06 2.55e-06 2.4e-06 2.15e-06 2e-06
40 3.15e-06 2.45e-06 1.65e-06 2.6e-06 2.5e-06 2.25e-06 2.1e-06 2.25e-06 2.45e-06 2.45e-06 2e-06 2.25e-06 2.35e-06 2.5e-06 2.1e-06 2.85e-06 2.2e-06 2.1e-06 2.55e-06 2.05e-06 2.65e-06 1.95e-06 3.05e-06 2.7e-06 2.35e-06 1.85e-06 2.45e-06 2e-06 2.2e-06 1.75e-06 2.2e-06 2.65e-06 2.55e-06 2.1e-06 2.65e-06 2.65e-06 2.6e-06 2.35e-06 2.3e-06 2.25e-06 2.9e-06 3.1e-06 2.8e-06 2.9e-06 2.35e-06 2.2e-06 2.45e-06 3.05e-06 2.35e-06 2.35e-06 2.45e-06 2.6e-06 1.95e-06 2.45e-06 2.6e-06 2.8e-06 2.75e-06 2.5e-06 2.35e-06
41 1.55e-06 2.8e-06 3e-06 2.4e-06 2.3e-06 2.6e-06 3.05e-06 2.05e-06 2.55e-06 2.35e-06 2.2e-06 2e-06 2.5e-06 2.5e-06 2.5e-06 1.05e-06 2.55e-06 2.4e-06 1.25e-06 2.2e-06 1.7e-06 3e-06 9e-07 1.6e-06 2.1e-06 2.95e-06 2.3e-06 2.15e-06 1.95e-06 2.95e-06 2.45e-06 1.5e-06 2.4e-06 2.4e-06 2.2e-06 2.7e-06 2.15e-06 2.55e-06 2.6e-06 2.6e-06 3.1e-06 1.7e-06 2.5e-06 1.45e-06 2.05e-06 2.4e-06 2e-06 2.05e-06 2.25e-06 1.9e-06 2.05e-06 1.95e-06 3e-06 2.05e-06 2.6e-06 1.3e-06 1.05e-06 1.95e-06 2.9e-06
42 2.2e-06 2.35e-06 2.3e-06 2.6e-06 2.45e-06 1.75e-06 2.4e-06 2.35e-06 1.4e-06 2e-06 2.35e-06 2.25e-06 2.05e-06 1.35e-06 1.75e-06 2.3e-06 2.2e-06 3e-06 2.4e-06 2.35e-06 1.9e-06 2e-06 2.45e-06 2.2e-06 1.95e-06 1.8e-06 2.55e-06 2.3e-06 3e-06 2.35e-06 1.7e-06 2.55e-06 1.8e-06 2.45e-06 3e-06 2.8e-06 2.2e-06 2.2e-06 1.9e-06 1.9e-06 2.8e-06 2.5e-06 2.2e-06 1.75e-06 2.2e-06 2.45e-06 1.85e-06 1.2e-06 1.9e-06 1.75e-06 2.05e-06 2.45e-06 2e-06 2.05e-06 1.75e-06 2.65e-06 2.55e-06 2.05e-06 1.55e-06
43 1.6e-06 2.45e-06 2.65e-06 2.45e-06 2.15e-06 2.25e-06 2.65e-06 2.15e-06 1.75e-06 2e-06 2.2e-06 2e-06 2.15e-06 1.7e-06 2.1e-06 1.45e-06 2.2e-06 2.5e-06 1.7e-06 2.2e-06 1.5e-06 2.5e-06 1.4e-06 1.8e-06 2e-06 2.4e-06 2.25e-06 2.15e-06 2.35e-06 2.65e-06 2.05e-06 1.8e-06 1.8e-06 2.25e-06 2.3e-06 2.6e-06 2.05e-06 2.2e-06 2e-06 2.1e-06 2.9e-06 1.45e-06 1.75e-06 2.4e-06 2e-06 2.25e-06 1.8e-06 1.25e-06 1.95e-06 1.7e-06 2e-06 2.05e-06 2.5e-06 2e-06 1.85e-06 1.7e-06 1.65e-06 1.85e-06 2.25e-06
44 2.45e-06 2.6e-06 1.95e-06 2.05e-06 2.4e-06 1.3e-06 2.5e-06 1.15e-06 1.75e-06 7.5e-07 1.75e-06 1.75e-06 1.35e-06 1.8e-06 8e-07 1.75e-06 2.2e-06 2.25e-06 1.1e-06 1.75e-06 1.4e-06 2.25e-06 2e-06 1.55e-06 1.55e-06 2e-06 2.3e-06 1.7e-06 1.95e-06 2.1e-06 8.5e-07 1.65e-06 2e-06 2.25e-06 2.7e-06 2.55e-06 1.85e-06 2.55e-06 2.1e-06 2.25e-06 2.35e-06 2.05e-06 2.2e-06 2e-06 0.0 2.05e-06 1.7e-06 2.1e-06 1.9e-06 1.6e-06 1.6e-06 1.9e-06 2.25e-06 1.6e-06 1.5e-06 1.85e-06 1.35e-06 1.85e-06 2.05e-06
45 2.3e-06 2.5e-06 2.2e-06 2.2e-06 2.1e-06 2.05e-06 1.85e-06 1.8e-06 2.05e-06 2.1e-06 2e-06 1.75e-06 2e-06 2.05e-06 2e-06 2.3e-06 2.4e-06 1.85e-06 2.05e-06 2e-06 2.05e-06 2e-06 2.35e-06 2.3e-06 2.05e-06 1.9e-06 2.35e-06 1.95e-06 2.3e-06 2.2e-06 2e-06 1.65e-06 1.75e-06 1.55e-06 2.1e-06 1.8e-06 2.15e-06 2.55e-06 2e-06 2.3e-06 2.2e-06 2.4e-06 2.45e-06 2.25e-06 2.05e-06 2.5e-06 2.1e-06 2.4e-06 1.55e-06 2e-06 2.05e-06 1.95e-06 2e-06 2.05e-06 2.05e-06 1.65e-06 2.1e-06 2.1e-06 2.1e-06
46 2.15e-06 2.35e-06 2.1e-06 2.1e-06 2.25e-06 1.6e-06 2.2e-06 1.75e-06 1.6e-06 1.75e-06 1.9e-06 1.8e-06 1.8e-06 1.55e-06 1.6e-06 1.85e-06 2.2e-06 2.4e-06 1.6e-06 1.9e-06 1.6e-06 1.95e-06 1.95e-06 1.9e-06 1.6e-06 1.8e-06 2.2e-06 1.85e-06 2.25e-06 2.1e-06 1.5e-06 1.85e-06 1.75e-06 2.1e-06 2.6e-06 2.4e-06 1.9e-06 2.45e-06 1.9e-06 2.05e-06 2.45e-06 2e-06 1.85e-06 1.8e-06 1.7e-06 2.1e-06 2.6e-06 1.85e-06 1.7e-06 1.3e-06 1.65e-06 1.9e-06 1.95e-06 1.65e-06 1.85e-06 1.9e-06 1.7e-06 1.5e-06 1.65e-06
47 1.75e-06 2.45e-06 2.65e-06 2.7e-06 2.35e-06 2.2e-06 2.6e-06 2.45e-06 1.25e-06 1.85e-06 2.4e-06 2.3e-06 2e-06 1.2e-06 1.95e-06 2.05e-06 2.05e-06 2.9e-06 2.2e-06 2.4e-06 1.45e-06 2.35e-06 2e-06 2.3e-06 2.1e-06 2.2e-06 2.45e-06 2.35e-06 2.8e-06 2.7e-06 1.9e-06 2.25e-06 1.5e-06 2.4e-06 2.7e-06 2.8e-06 2.2e-06 2.15e-06 1.7e-06 1.8e-06 3.05e-06 2.05e-06 1.2e-06 1.25e-06 2.1e-06 2.4e-06 1.85e-06 1.2e-06 1.95e-06 1.75e-06 2.15e-06 2.3e-06 2.35e-06 2.15e-06 1.35e-06 2.15e-06 2.15e-06 2e-06 1.95e-06
48 2.1e-06 2.25e-06 2.05e-06 2.1e-06 2e-06 1.55e-06 1.85e-06 1.8e-06 1.55e-06 1.9e-06 1.95e-06 1.65e-06 2.05e-06 1.5e-06 1.65e-06 2.15e-06 2.3e-06 1.95e-06 1.9e-06 1.95e-06 1.75e-06 1.8e-06 2.2e-06 2.05e-06 1.7e-06 1.65e-06 2.3e-06 1.9e-06 2.35e-06 2.05e-06 1.6e-06 1.55e-06 1.5e-06 1.55e-06 2.15e-06 1.8e-06 2.05e-06 2.45e-06 1.8e-06 2.15e-06 2.35e-06 2.25e-06 1.9e-06 1.95e-06 1.9e-06 1.55e-06 1.7e-06 1.95e-06 2.4e-06 1.6e-06 1.75e-06 1.85e-06 1.8e-06 1.75e-06 1.9e-06 1.55e-06 1.95e-06 1.8e-06 1.55e-06
49 2.05e-06 2.25e-06 2e-06 2e-06 2.15e-06 1.5e-06 2.1e-06 1.65e-06 1.5e-06 1.65e-06 1.8e-06 1.7e-06 1.7e-06 1.45e-06 1.5e-06 1.75e-06 2.1e-06 2.3e-06 1.5e-06 1.8e-06 1.5e-06 1.85e-06 1.85e-06 1.8e-06 1.5e-06 1.7e-06 2.1e-06 1.75e-06 2.15e-06 2e-06 1.45e-06 1.75e-06 1.65e-06 2e-06 2.5e-06 2.3e-06 1.8e-06 2.35e-06 1.8e-06 1.95e-06 2.35e-06 1.9e-06 1.75e-06 1.7e-06 1.6e-06 2e-06 1.3e-06 1.75e-06 1.6e-06 2.4e-06 1.55e-06 1.8e-06 1.85e-06 1.55e-06 1.75e-06 1.8e-06 1.6e-06 1.4e-06 1.55e-06
50 2.3e-06 2.3e-06 2.15e-06 1.75e-06 2e-06 1.5e-06 2.1e-06 1.65e-06 1.75e-06 1.45e-06 1.65e-06 1.35e-06 1.7e-06 1.65e-06 1.6e-06 1.65e-06 2.35e-06 2.4e-06 1.1e-06 1.65e-06 1.5e-06 1.65e-06 2e-06 1.9e-06 1.35e-06 1.8e-06 2.25e-06 1.6e-06 2.25e-06 2.1e-06 1.55e-06 1.6e-06 1.8e-06 2.1e-06 2.6e-06 2.3e-06 1.9e-06 2.6e-06 2e-06 2.15e-06 2.45e-06 2.05e-06 2.05e-06 2e-06 1.6e-06 2.05e-06 1.65e-06 2.15e-06 1.75e-06 1.55e-06 2.2e-06 1.7e-06 1.7e-06 1.1e-06 1.95e-06 1.9e-06 1.45e-06 1.45e-06 1.3e-06
51 2.05e-06 2.75e-06 2.55e-06 2.05e-06 2e-06 2.15e-06 2.1e-06 1.6e-06 2.15e-06 1.8e-06 1.9e-06 1.5e-06 1.9e-06 2.05e-06 2.05e-06 1.85e-06 2.55e-06 2.3e-06 1.5e-06 1.9e-06 1.75e-06 2.1e-06 1.9e-06 2.2e-06 1.85e-06 2.15e-06 2.3e-06 1.85e-06 2.25e-06 2.5e-06 2e-06 1.6e-06 1.8e-06 1.95e-06 2.55e-06 2.2e-06 2.2e-06 2.8e-06 2.1e-06 2.4e-06 2.6e-06 1.95e-06 2.45e-06 2.05e-06 1.9e-06 1.95e-06 1.9e-06 2.3e-06 1.85e-06 1.8e-06 1.7e-06 2.6e-06 2.1e-06 1.7e-06 2.15e-06 1.6e-06 1.55e-06 1.75e-06 2.05e-06
52 2.8e-06 2.4e-06 2e-06 2.1e-06 2.2e-06 1.55e-06 1.45e-06 2e-06 1.65e-06 1.85e-06 1.7e-06 1.75e-06 1.8e-06 1.6e-06 1.7e-06 2.7e-06 2.55e-06 2.7e-06 2.35e-06 1.65e-06 2.2e-06 1.05e-06 2.95e-06 2.5e-06 1.8e-06 1.15e-06 2.15e-06 1.65e-06 2.85e-06 2e-06 1.7e-06 2.45e-06 1.8e-06 1.75e-06 3.05e-06 2.2e-06 2.15e-06 2.7e-06 1.65e-06 2.25e-06 1.95e-06 3e-06 2e-06 2.5e-06 2.25e-06 2e-06 1.95e-06 2.35e-06 1.8e-06 1.85e-06 1.7e-06 2.1e-06 1.9e-06 1.7e-06 1.95e-06 2.65e-06 2.6e-06 1.85e-06 1.15e-06
53 2.3e-06 2.3e-06 2.15e-06 1.75e-06 2e-06 1.5e-06 2.1e-06 1.65e-06 1.75e-06 1.45e-06 1.65e-06 1.35e-06 1.7e-06 1.65e-06 1.6e-06 1.65e-06 2.35e-06 2.4e-06 1.1e-06 1.65e-06 1.5e-06 1.65e-06 2e-06 1.9e-06 1.35e-06 1.8e-06 2.25e-06 1.6e-06 2.25e-06 2.1e-06 1.55e-06 1.6e-06 1.8e-06 2.1e-06 2.6e-06 2.3e-06 1.9e-06 2.6e-06 2e-06 2.15e-06 2.45e-06 2.05e-06 2.05e-06 2e-06 1.6e-06 2.05e-06 1.65e-06 2.15e-06 1.75e-06 1.55e-06 1.1e-06 1.7e-06 1.7e-06 2.2e-06 1.95e-06 1.9e-06 1.45e-06 1.45e-06 1.3e-06
54 2.4e-06 2.6e-06 2.3e-06 2.4e-06 2.4e-06 1.9e-06 2.2e-06 1.95e-06 1.25e-06 1.35e-06 2.1e-06 2.1e-06 1.15e-06 1.25e-06 1.5e-06 2.5e-06 2.25e-06 2.75e-06 2.1e-06 2.1e-06 1.5e-06 1.95e-06 2.55e-06 2.55e-06 1.9e-06 1.8e-06 2.4e-06 2.05e-06 2.65e-06 2.35e-06 1.5e-06 2.25e-06 1.45e-06 2.2e-06 2.95e-06 2.55e-06 2e-06 2.6e-06 1.55e-06 2e-06 2.6e-06 2.6e-06 1.75e-06 1.85e-06 1.5e-06 2.05e-06 1.85e-06 1.35e-06 1.9e-06 1.75e-06 1.95e-06 2.15e-06 1.95e-06 1.95e-06 1.4e-06 2.25e-06 2.15e-06 1.95e-06 1.75e-06
55 1.6e-06 2.7e-06 2.75e-06 2.15e-06 2.05e-06 2.35e-06 2.45e-06 1.8e-06 2.2e-06 2.1e-06 2e-06 1.7e-06 2.35e-06 2.15e-06 2.25e-06 1.5e-06 2.5e-06 1.75e-06 1.25e-06 2e-06 1.5e-06 2.65e-06 1.25e-06 1.95e-06 1.95e-06 2.6e-06 2.25e-06 1.95e-06 1.8e-06 2.7e-06 2.2e-06 9.5e-07 1.8e-06 1.65e-06 1.75e-06 1.9e-06 2.15e-06 2.75e-06 2.2e-06 2.55e-06 2.8e-06 1.3e-06 2.65e-06 1.7e-06 1.85e-06 1.65e-06 1.9e-06 2.15e-06 1.55e-06 1.8e-06 1.9e-06 1.6e-06 2.65e-06 1.9e-06 2.25e-06 1.3e-06 1e-06 1.85e-06 2.6e-06
56 1.7e-06 2.7e-06 2.65e-06 1.8e-06 2.2e-06 2.15e-06 2.65e-06 1.5e-06 2.2e-06 1.7e-06 1.6e-06 1.55e-06 1.9e-06 2.15e-06 1.95e-06 1e-06 2.4e-06 2.15e-06 4.5e-07 1.6e-06 1.15e-06 2.6e-06 1.05e-06 1.7e-06 1.5e-06 2.55e-06 2.1e-06 1.55e-06 1.6e-06 2.6e-06 1.9e-06 1e-06 2.05e-06 2.1e-06 2.2e-06 2.4e-06 1.95e-06 2.75e-06 2.25e-06 2.4e-06 2.75e-06 1.05e-06 2.55e-06 1.65e-06 1.35e-06 2.1e-06 1.7e-06 2.15e-06 1.95e-06 1.6e-06 1.45e-06 1.55e-06 2.6e-06 1.45e-06 2.15e-06 1e-06 9e-07 1.65e-06 2.5e-06
57 2.2e-06 2.35e-06 2.15e-06 2.05e-06 2.05e-06 1.7e-06 2.2e-06 1.85e-06 1.75e-06 1.65e-06 1.95e-06 1.6e-06 1.85e-06 1.65e-06 1.75e-06 1.8e-06 2.25e-06 2.35e-06 1.55e-06 1.95e-06 1.65e-06 1.85e-06 1.9e-06 1.95e-06 1.65e-06 1.95e-06 2.25e-06 1.9e-06 2.2e-06 2.15e-06 1.75e-06 1.8e-06 1.75e-06 2.15e-06 2.55e-06 2.35e-06 1.9e-06 2.5e-06 2e-06 2.15e-06 2.5e-06 1.95e-06 2.05e-06 1.85e-06 1.85e-06 2.1e-06 1.5e-06 2e-06 1.8e-06 1.4e-06 1.45e-06 1.75e-06 1.85e-06 1.45e-06 1.95e-06 1.85e-06 1.65e-06 2.5e-06 1.5e-06
58 2.7e-06 1.85e-06 1.8e-06 2.15e-06 2.05e-06 9e-07 1.8e-06 2.05e-06 1.1e-06 1.55e-06 2.05e-06 1.6e-06 1.8e-06 9.5e-07 1.4e-06 2.6e-06 2.35e-06 2.7e-06 2.25e-06 2.05e-06 1.95e-06 1.1e-06 2.85e-06 2.25e-06 1.55e-06 1.25e-06 2.5e-06 2e-06 2.8e-06 1.8e-06 1.35e-06 2.4e-06 1.55e-06 2.15e-06 2.95e-06 2.35e-06 2e-06 2.5e-06 1.75e-06 2e-06 2.35e-06 2.9e-06 1.55e-06 2.25e-06 2.05e-06 2.1e-06 1.65e-06 1.95e-06 1.55e-06 1.55e-06 1.3e-06 2.05e-06 1.15e-06 1.3e-06 1.75e-06 2.6e-06 2.5e-06 1.5e-06 7e-07
