 slim_762260258 slim_762260250 slim_762260257 slim_762260292 slim_762260269 slim_762260245 slim_762260285 slim_762260283 slim_762260281 slim_762260239 slim_762260275 slim_762260288 slim_762260273 slim_762260274 slim_762260262 slim_762260246 slim_762260291 slim_762260254 slim_762260267 slim_762260276 slim_762260248 slim_762260244 slim_762260284 slim_762260263 slim_762260241 slim_762260247 slim_762260272 slim_762260286 slim_762260270 slim_762260268 slim_762260278 slim_762260260 slim_762260265 slim_762260261 slim_762260280 slim_762260289 slim_762260287 slim_762260242 slim_762260249 slim_762260255 slim_762260279 slim_762260243 slim_762260277 slim_762260264 slim_762260259 slim_762260240 slim_762260290 slim_762260271 slim_762260282 slim_762260253 slim_762260252 slim_762260266 slim_762260256 slim_762260293 slim_762260251
34 9.5e-07 1.65e-06 1e-06 1.85e-06 1.35e-06 1.6e-06 1.75e-06 1.85e-06 1.6e-06 1.1e-06 1.2e-06 1.75e-06 1.6e-06 1.8e-06 1.55e-06 1.55e-06 1.85e-06 2.15e-06 1.35e-06 1.2e-06 1.65e-06 2.25e-06 1.75e-06 2.05e-06 2.25e-06 1e-06 1.8e-06 1.45e-06 1.15e-06 1.35e-06 1.6e-06 1.1e-06 2.1e-06 1.3e-06 1.7e-06 1.65e-06 1.25e-06 1.6e-06 2e-06 2.55e-06 1.75e-06 1.9e-06 1.4e-06 1.25e-06 1.6e-06 1.7e-06 1.95e-06 1.6e-06 1.1e-06 1.15e-06 2e-06 2e-06 1.25e-06 1.45e-06 1.95e-06
35 1.6e-06 1.95e-06 1.65e-06 1.3e-06 1.95e-06 2.05e-06 1.3e-06 2.1e-06 2.35e-06 2.05e-06 2.1e-06 1.45e-06 1.75e-06 2.4e-06 1.75e-06 2.3e-06 1.45e-06 2e-06 1.1e-06 1.3e-06 1.7e-06 2.9e-06 2.35e-06 2.05e-06 2.95e-06 1.95e-06 2.55e-06 7e-07 1.7e-06 1.95e-06 2.55e-06 1.75e-06 2.1e-06 2.15e-06 1.65e-06 1.3e-06 2.05e-06 2.35e-06 2.4e-06 2.85e-06 2.05e-06 1.85e-06 2e-06 1.95e-06 2.1e-06 2.5e-06 1.35e-06 1.9e-06 1.9e-06 1.95e-06 2.15e-06 2.4e-06 1.9e-06 1.85e-06 2.65e-06
36 1.3e-06 2.45e-06 1.35e-06 2.05e-06 1.25e-06 1.9e-06 1.95e-06 2.05e-06 2.2e-06 1.2e-06 9.5e-07 2.1e-06 1.8e-06 1.7e-06 1.4e-06 1.15e-06 2.1e-06 2.2e-06 2e-06 1.25e-06 1.7e-06 2.05e-06 2.4e-06 2.15e-06 2e-06 6e-07 1.55e-06 1.9e-06 1.35e-06 2.05e-06 1.65e-06 1.3e-06 2.45e-06 9e-07 1.25e-06 2.05e-06 1e-06 1.2e-06 1.95e-06 2.45e-06 1.45e-06 1.9e-06 1.75e-06 8.5e-07 1.9e-06 1.75e-06 2.1e-06 1.25e-06 7e-07 5e-07 2.3e-06 1.95e-06 8.5e-07 1.3e-06 2.1e-06
37 1.65e-06 2.7e-06 1.65e-06 2.35e-06 1.6e-06 1.9e-06 2.3e-06 2.35e-06 2.2e-06 1.6e-06 1.35e-06 2.1e-06 2.1e-06 1.65e-06 1.85e-06 9.5e-07 2.4e-06 2.25e-06 2.3e-06 1.6e-06 1.75e-06 1.75e-06 2.4e-06 2.2e-06 1.75e-06 1.1e-06 1.6e-06 2.2e-06 1.75e-06 2.4e-06 1.7e-06 1.8e-06 2.45e-06 1.2e-06 1.6e-06 2.35e-06 1.2e-06 1.8e-06 1.7e-06 2.15e-06 1.95e-06 1.55e-06 1.8e-06 1e-06 1.7e-06 1.6e-06 2.45e-06 1.7e-06 1.15e-06 1.1e-06 2.6e-06 1.7e-06 1.05e-06 1.35e-06 2.1e-06
38 2.05e-06 2.95e-06 2.1e-06 2.5e-06 2.25e-06 1.75e-06 2.4e-06 2.85e-06 1.85e-06 2.05e-06 2e-06 1.4e-06 2.65e-06 2.1e-06 2.3e-06 1.65e-06 2.7e-06 1.95e-06 2.35e-06 2e-06 1.45e-06 1.25e-06 2.05e-06 1.9e-06 1.15e-06 1.8e-06 1.65e-06 2.25e-06 2.15e-06 2.5e-06 1.6e-06 2.2e-06 1.9e-06 2.05e-06 2e-06 2.4e-06 1.95e-06 1.7e-06 1.3e-06 1.35e-06 2.35e-06 2e-06 1.55e-06 1.95e-06 2e-06 1.95e-06 2.55e-06 2.15e-06 1.9e-06 1.85e-06 3.05e-06 7e-07 1.95e-06 1.2e-06 2e-06
39 2.6e-06 3.2e-06 2.65e-06 2.65e-06 2.6e-06 2.25e-06 2.6e-06 3.1e-06 2.45e-06 2.6e-06 2.45e-06 2.1e-06 2.75e-06 2.45e-06 2.55e-06 2.1e-06 3.1e-06 1.8e-06 2.9e-06 2.4e-06 1.95e-06 9e-07 2.15e-06 1.7e-06 8.5e-07 2.25e-06 1.35e-06 2.65e-06 2.8e-06 3.2e-06 1.65e-06 2.75e-06 2.2e-06 2.55e-06 2.55e-06 2.85e-06 2.45e-06 2.15e-06 1.35e-06 1.1e-06 2.6e-06 2.45e-06 2.1e-06 2.4e-06 2.6e-06 2.55e-06 2.8e-06 2.45e-06 2.25e-06 2.35e-06 3.05e-06 1.35e-06 2.4e-06 1.55e-06 2.4e-06
40 1.7e-06 2.4e-06 1.75e-06 1.8e-06 1.55e-06 2.3e-06 1.55e-06 1.85e-06 2.5e-06 1.6e-06 1.55e-06 2.1e-06 1.95e-06 2e-06 1.45e-06 1.9e-06 2.1e-06 2.5e-06 2e-06 1.55e-06 2.05e-06 2.55e-06 2.55e-06 2.3e-06 2.55e-06 1.25e-06 2.1e-06 1.75e-06 1.8e-06 2.15e-06 2.1e-06 1.75e-06 2.35e-06 1.55e-06 1.75e-06 2.05e-06 1.45e-06 1.95e-06 2.35e-06 2.6e-06 2.5e-06 2.2e-06 2.15e-06 1.6e-06 2.3e-06 2.15e-06 1.85e-06 1.35e-06 1.35e-06 1.35e-06 2.1e-06 2.35e-06 1.5e-06 1.75e-06 2.3e-06
41 1.85e-06 2.4e-06 1.9e-06 2.25e-06 2.05e-06 2.05e-06 1.9e-06 2.35e-06 2.3e-06 2.1e-06 2.05e-06 1.7e-06 2.15e-06 2.1e-06 2.05e-06 1.5e-06 2.3e-06 2.4e-06 1.8e-06 1.65e-06 1.8e-06 2.3e-06 2.4e-06 2.15e-06 2.35e-06 1.9e-06 2.25e-06 1.5e-06 1.85e-06 2.35e-06 2.3e-06 2e-06 2.35e-06 1.75e-06 1.9e-06 1.85e-06 1.9e-06 1.55e-06 2e-06 2.45e-06 2.2e-06 2.4e-06 1.95e-06 1.55e-06 1.65e-06 1.85e-06 2.25e-06 1.95e-06 1.85e-06 1.8e-06 2.6e-06 2e-06 1.5e-06 1.8e-06 2.45e-06
42 1.35e-06 2e-06 1.4e-06 2.35e-06 1.75e-06 1.6e-06 2.15e-06 2.1e-06 1.5e-06 1.65e-06 1.7e-06 1.65e-06 1.95e-06 1.9e-06 2.1e-06 1.75e-06 2.2e-06 2.15e-06 1.65e-06 1.6e-06 1.55e-06 1.85e-06 1.65e-06 1.95e-06 1.8e-06 1.55e-06 1.85e-06 1.7e-06 1.5e-06 1.8e-06 1.65e-06 1.5e-06 2.1e-06 1.85e-06 1.4e-06 2e-06 1.75e-06 1.8e-06 1.55e-06 2.1e-06 2.15e-06 1.95e-06 2.6e-06 1.75e-06 1.65e-06 1.9e-06 2.45e-06 2.1e-06 1.6e-06 1.65e-06 2.35e-06 1.55e-06 1.65e-06 1.5e-06 1.85e-06
43 1.3e-06 2.3e-06 1.3e-06 1.95e-06 1.25e-06 1.85e-06 1.95e-06 2e-06 2.15e-06 1.25e-06 1e-06 2e-06 1.75e-06 1.7e-06 1.45e-06 1e-06 2e-06 2.15e-06 1.95e-06 1.25e-06 1.7e-06 2e-06 2.35e-06 2.15e-06 2e-06 7.5e-07 1.55e-06 1.85e-06 1.4e-06 2.05e-06 1.65e-06 1.45e-06 2.4e-06 8.5e-07 1.25e-06 1.95e-06 8.5e-07 1e-06 1.95e-06 2.4e-06 1.6e-06 1.55e-06 1.75e-06 1.1e-06 1.7e-06 1.6e-06 2.05e-06 1.35e-06 8e-07 7.5e-07 2.25e-06 1.95e-06 7e-07 1.3e-06 2.05e-06
44 1.55e-06 2.05e-06 1.6e-06 2.5e-06 2e-06 1.85e-06 2.2e-06 2.25e-06 1.8e-06 1.8e-06 1.95e-06 1.85e-06 2.1e-06 2.1e-06 2.2e-06 1.65e-06 2.35e-06 2.5e-06 1.75e-06 1.8e-06 1.9e-06 2.3e-06 1.95e-06 2.3e-06 2.35e-06 1.85e-06 2.25e-06 1.8e-06 1.55e-06 1.85e-06 2.05e-06 1.7e-06 2.3e-06 1.75e-06 1.6e-06 2.1e-06 1.9e-06 1.7e-06 2e-06 2.6e-06 2.3e-06 1.65e-06 1.65e-06 1.7e-06 2.8e-06 1.6e-06 2.5e-06 2.1e-06 1.85e-06 1.8e-06 2.5e-06 2e-06 1.55e-06 1.9e-06 2.2e-06
45 1.8e-06 2.35e-06 1.85e-06 2.5e-06 2.15e-06 2.05e-06 2.2e-06 2.6e-06 2.05e-06 1.5e-06 1.95e-06 2.1e-06 2.35e-06 2.25e-06 2e-06 1.55e-06 2.65e-06 2.6e-06 2.25e-06 2.05e-06 2.15e-06 2.25e-06 2.2e-06 2.55e-06 2.3e-06 1.8e-06 2.2e-06 2.35e-06 1.7e-06 1.8e-06 2e-06 1.95e-06 2.3e-06 1.6e-06 1.7e-06 2.5e-06 1.75e-06 1.6e-06 1.95e-06 2.55e-06 2.15e-06 1.85e-06 1.9e-06 1.6e-06 1.6e-06 2.5e-06 2.35e-06 1.7e-06 1.85e-06 1.65e-06 2.7e-06 1.95e-06 1.55e-06 1.85e-06 2.35e-06
46 2.05e-06 2.25e-06 2.1e-06 1.25e-06 2.1e-06 2.45e-06 1.3e-06 2.25e-06 2.8e-06 1.95e-06 2.3e-06 1.9e-06 2e-06 2.55e-06 1.5e-06 2.4e-06 1.75e-06 2.2e-06 1.8e-06 1.75e-06 2.15e-06 2.95e-06 2.7e-06 2.4e-06 3e-06 2.1e-06 2.6e-06 1.5e-06 2.05e-06 2.1e-06 2.6e-06 2.2e-06 2.1e-06 2.2e-06 1.95e-06 1.35e-06 2.1e-06 2.45e-06 2.55e-06 2.8e-06 1.85e-06 2.25e-06 2.45e-06 2.05e-06 2.5e-06 2.35e-06 2.2e-06 1.45e-06 2.1e-06 2e-06 2.15e-06 2.55e-06 2.1e-06 2e-06 2.8e-06
47 1.7e-06 2.3e-06 1.75e-06 1.65e-06 1.55e-06 2.2e-06 1.25e-06 1.9e-06 2.5e-06 1.35e-06 1.65e-06 1.95e-06 1.8e-06 2e-06 1.15e-06 1.65e-06 2e-06 2.3e-06 1.95e-06 1.5e-06 1.95e-06 2.4e-06 2.5e-06 2.2e-06 2.4e-06 1.4e-06 2e-06 1.7e-06 1.55e-06 1.9e-06 2.05e-06 1.85e-06 2.1e-06 1.45e-06 1.6e-06 1.9e-06 1.25e-06 1.7e-06 2.15e-06 2.45e-06 1.35e-06 1.95e-06 2.1e-06 1.35e-06 2.1e-06 1.7e-06 1.45e-06 1.6e-06 1.45e-06 1.15e-06 2e-06 2.15e-06 1.35e-06 1.65e-06 2.3e-06
48 1.1e-06 2.3e-06 1.15e-06 1.85e-06 1.1e-06 1.65e-06 1.9e-06 1.9e-06 2e-06 1.15e-06 5.5e-07 2e-06 1.7e-06 1.55e-06 1.45e-06 1.1e-06 2e-06 2.1e-06 1.8e-06 1.05e-06 1.55e-06 1.8e-06 2.2e-06 2e-06 1.85e-06 4e-07 1.35e-06 1.7e-06 1.4e-06 2e-06 1.45e-06 1.15e-06 2.4e-06 8.5e-07 1.1e-06 1.9e-06 7e-07 1.15e-06 1.9e-06 2.25e-06 1.35e-06 1.85e-06 1.6e-06 8e-07 1.85e-06 1.85e-06 2.1e-06 1.45e-06 4e-07 6e-07 2.2e-06 1.9e-06 7.5e-07 1.1e-06 1.95e-06
49 1.2e-06 2.35e-06 1.25e-06 1.95e-06 1.15e-06 1.8e-06 1.85e-06 1.95e-06 2.1e-06 1.1e-06 8.5e-07 2e-06 1.7e-06 1.6e-06 1.3e-06 1.05e-06 2e-06 2.1e-06 1.9e-06 1.15e-06 1.6e-06 1.95e-06 2.3e-06 2.05e-06 1.9e-06 5e-07 1.45e-06 1.8e-06 1.25e-06 1.95e-06 1.55e-06 1.2e-06 2.35e-06 8e-07 1.15e-06 1.95e-06 5e-07 1.1e-06 1.85e-06 2.35e-06 1.35e-06 1.8e-06 1.65e-06 7.5e-07 1.8e-06 1.65e-06 2e-06 1.15e-06 6e-07 8e-07 2.2e-06 1.85e-06 7.5e-07 1.2e-06 2e-06
50 1.95e-06 1.6e-06 1.95e-06 2.1e-06 1.45e-06 2.55e-06 1.9e-06 9.5e-07 2.7e-06 2.2e-06 2.35e-06 2.55e-06 1.25e-06 1.9e-06 1.9e-06 2.6e-06 1.65e-06 2.7e-06 2e-06 2e-06 2.45e-06 3.05e-06 2.5e-06 2.55e-06 3.05e-06 2.15e-06 2.65e-06 1.9e-06 2.05e-06 2.3e-06 2.55e-06 2.1e-06 2.05e-06 2.4e-06 2e-06 2.15e-06 2.3e-06 2.6e-06 3.05e-06 3.05e-06 2.1e-06 2.6e-06 2.35e-06 2.25e-06 2.5e-06 2.7e-06 2.15e-06 2e-06 2.2e-06 2.2e-06 1.8e-06 3.05e-06 2.2e-06 2.6e-06 2.15e-06
51 2.05e-06 2.95e-06 2.1e-06 2.5e-06 2.25e-06 1.75e-06 2.4e-06 2.85e-06 1.85e-06 2.05e-06 2e-06 1.4e-06 2.65e-06 2.1e-06 2.3e-06 1.65e-06 2.7e-06 1.95e-06 2.35e-06 2e-06 1.5e-06 1.25e-06 2.05e-06 1.9e-06 1.15e-06 1.8e-06 1.65e-06 2.25e-06 2.15e-06 2.5e-06 1.6e-06 2.2e-06 1.9e-06 2.05e-06 2e-06 2.4e-06 1.95e-06 1.7e-06 7e-07 1.35e-06 2.35e-06 2e-06 1.55e-06 1.95e-06 2e-06 1.95e-06 2.55e-06 2.15e-06 1.9e-06 1.85e-06 3.05e-06 1.3e-06 1.95e-06 1.2e-06 2e-06
52 1.2e-06 2.25e-06 1.25e-06 2e-06 1.2e-06 1.8e-06 1.85e-06 1.85e-06 2.05e-06 1.25e-06 9.5e-07 1.95e-06 1.7e-06 1.65e-06 1.5e-06 1e-06 2e-06 2.2e-06 1.8e-06 1.15e-06 1.6e-06 2e-06 2.25e-06 2.05e-06 2e-06 7.5e-07 1.55e-06 1.65e-06 1.3e-06 2e-06 1.65e-06 1.35e-06 2.4e-06 8e-07 1.25e-06 1.9e-06 8.5e-07 1.05e-06 1.95e-06 2.4e-06 1.5e-06 1.5e-06 1.65e-06 7e-07 1.55e-06 1.55e-06 2.1e-06 1.35e-06 7.5e-07 7.5e-07 2.2e-06 1.95e-06 1.1e-06 1.3e-06 2e-06
53 1.5e-06 2.55e-06 1.55e-06 1.8e-06 1.65e-06 1.6e-06 1.9e-06 2.45e-06 1.9e-06 1.5e-06 1.3e-06 1.55e-06 2.1e-06 1.8e-06 1.7e-06 1.3e-06 2.2e-06 1.75e-06 1.9e-06 1.35e-06 1.3e-06 1.4e-06 2e-06 1.75e-06 1.35e-06 1.05e-06 1.35e-06 1.75e-06 1.75e-06 2.15e-06 1.4e-06 1.65e-06 2.05e-06 1.45e-06 1.45e-06 1.85e-06 1.3e-06 1.35e-06 1.2e-06 1.55e-06 1.75e-06 1.8e-06 1.5e-06 1.3e-06 1.9e-06 1.85e-06 2e-06 1.65e-06 1.1e-06 1.2e-06 2.6e-06 1.2e-06 1.3e-06 1.7e-06 2e-06
54 1.9e-06 2.45e-06 1.9e-06 2.7e-06 1.65e-06 2.1e-06 2.5e-06 1.6e-06 1.85e-06 2.1e-06 2e-06 2.25e-06 2.15e-06 1.8e-06 2.3e-06 2.1e-06 2.25e-06 2.6e-06 2.3e-06 2.1e-06 2.05e-06 2.15e-06 2.3e-06 2.4e-06 2.1e-06 1.85e-06 2.15e-06 2.35e-06 2.05e-06 2.4e-06 2.05e-06 2.05e-06 2.45e-06 2.15e-06 1.95e-06 2.65e-06 2.1e-06 2.1e-06 2e-06 2.4e-06 2.3e-06 2.45e-06 1.85e-06 2.05e-06 2.2e-06 2.35e-06 2.8e-06 2.3e-06 1.95e-06 2e-06 2.15e-06 2e-06 2e-06 2e-06 3.1e-06
