 slim_762334563 slim_762334515 slim_762334536 slim_762334516 slim_762334545 slim_762334566 slim_762334532 slim_762334540 slim_762334538 slim_762334534 slim_762334518 slim_762334555 slim_762334551 slim_762334519 slim_762334560 slim_762334541 slim_762334565 slim_762334548 slim_762334513 slim_762334558 slim_762334569 slim_762334570 slim_762334520 slim_762334550 slim_762334557 slim_762334522 slim_762334517 slim_762334511 slim_762334539 slim_762334568 slim_762334574 slim_762334543 slim_762334524 slim_762334576 slim_762334559 slim_762334542 slim_762334512 slim_762334526 slim_762334554 slim_762334529 slim_762334567 slim_762334561 slim_762334525 slim_762334564 slim_762334514 slim_762334533 slim_762334547 slim_762334531 slim_762334553 slim_762334535 slim_762334530 slim_762334549 slim_762334572 slim_762334527 slim_762334523 slim_762334537 slim_762334556 slim_762334544 slim_762334521 slim_762334546 slim_762334552 slim_762334575 slim_762334573 slim_762334528 slim_762334571 slim_762334562
28 1.2e-06 1.45e-06 1.45e-06 1.55e-06 1.35e-06 1.25e-06 1.25e-06 1.4e-06 1.4e-06 1.4e-06 1.25e-06 1.3e-06 1.15e-06 1.55e-06 1.6e-06 1.3e-06 1.2e-06 1.3e-06 1.85e-06 1.35e-06 1.55e-06 1.35e-06 1.45e-06 1.45e-06 1.6e-06 1.3e-06 1.4e-06 1.5e-06 1.7e-06 1.5e-06 1e-06 1.05e-06 1.2e-06 1.85e-06 1.3e-06 9e-07 1.45e-06 1.25e-06 1.2e-06 1.5e-06 1.5e-06 1.4e-06 1.25e-06 1.2e-06 1.55e-06 1.4e-06 1.25e-06 1.25e-06 1.05e-06 9.5e-07 1.25e-06 1.3e-06 1.4e-06 1.2e-06 1.4e-06 1.35e-06 1.45e-06 1.2e-06 1.15e-06 1.3e-06 9.5e-07 1.2e-06 1.65e-06 9.5e-07 1.45e-06 1.55e-06
29 6e-07 1.35e-06 1.95e-06 1e-06 1.5e-06 1.7e-06 1.35e-06 1.55e-06 2e-06 1.25e-06 1.3e-06 1.35e-06 9e-07 5e-07 5e-07 1.35e-06 1.3e-06 8.5e-07 1.25e-06 1.45e-06 1.65e-06 1e-06 9.5e-07 1.2e-06 9e-07 1.15e-06 9e-07 1e-07 1.5e-06 1e-07 1.6e-06 1.4e-06 9.5e-07 1.25e-06 1.15e-06 1.55e-06 1.15e-06 7.5e-07 5.5e-07 6.5e-07 2e-07 7e-07 1.25e-06 1.3e-06 5e-07 1.55e-06 1.65e-06 1.1e-06 1.35e-06 1.15e-06 1.7e-06 8e-07 9.5e-07 1.7e-06 1e-06 1.6e-06 2.05e-06 6.5e-07 1.05e-06 1.55e-06 1.65e-06 1.05e-06 1.05e-06 1.15e-06 1.05e-06 1.35e-06
30 1.35e-06 1.45e-06 1.55e-06 1.65e-06 1.5e-06 1.4e-06 1.4e-06 1.5e-06 1.5e-06 1.5e-06 1.35e-06 1.4e-06 1.25e-06 1.65e-06 1.6e-06 1.4e-06 1.3e-06 1.4e-06 1.85e-06 1.5e-06 1.65e-06 1.45e-06 1.55e-06 1.55e-06 1.6e-06 1.5e-06 1.5e-06 1.6e-06 1e-06 1.6e-06 1.9e-06 1.2e-06 1.3e-06 1.85e-06 1.45e-06 1.05e-06 1.5e-06 1.4e-06 1.35e-06 1.6e-06 1.6e-06 1.55e-06 1.35e-06 1.3e-06 1.65e-06 1.5e-06 1.25e-06 1.4e-06 1.2e-06 1.15e-06 1.25e-06 1.4e-06 1.5e-06 1.3e-06 1.5e-06 1.45e-06 1.55e-06 1.35e-06 1.3e-06 1.45e-06 1.05e-06 1.35e-06 1.75e-06 1.15e-06 1.55e-06 1.55e-06
31 1.15e-06 1.35e-06 1.4e-06 1.5e-06 1.35e-06 1.25e-06 1.2e-06 1.4e-06 1.35e-06 1.35e-06 1.25e-06 1.2e-06 1.25e-06 1.45e-06 1.5e-06 1.2e-06 1.2e-06 1.25e-06 1.8e-06 1.35e-06 1.55e-06 1.35e-06 1.45e-06 1.45e-06 1.5e-06 1.25e-06 1.25e-06 1.4e-06 1.05e-06 1.4e-06 1.2e-06 1.7e-06 1.15e-06 1.75e-06 1.25e-06 1.05e-06 1.4e-06 1.2e-06 1.15e-06 1.35e-06 1.35e-06 1.3e-06 1.1e-06 1.2e-06 1.45e-06 1.4e-06 1.1e-06 1.15e-06 9e-07 9.5e-07 1.2e-06 1.1e-06 1.35e-06 1.2e-06 1.35e-06 1.3e-06 1.45e-06 1.1e-06 1.15e-06 1.15e-06 1.1e-06 1.15e-06 1.55e-06 9.5e-07 1.45e-06 1.35e-06
32 8e-07 1.25e-06 1.6e-06 1.1e-06 1.3e-06 1.35e-06 1.15e-06 1.3e-06 1.65e-06 1.25e-06 1.15e-06 1.2e-06 1.15e-06 1e-06 1.05e-06 1.2e-06 1.2e-06 1.2e-06 1.2e-06 1.25e-06 1.35e-06 9e-07 9.5e-07 1.25e-06 1.35e-06 8.5e-07 1e-06 9.5e-07 1.2e-06 9.5e-07 1.3e-06 1.15e-06 1e-06 1.5e-06 8.5e-07 1.25e-06 1.15e-06 8e-07 9e-07 1e-06 1e-06 8.5e-07 9.5e-07 1.2e-06 1e-06 1.35e-06 1.4e-06 1e-06 1.1e-06 7e-07 1.5e-06 1.1e-06 9.5e-07 1.55e-06 1.25e-06 1.55e-06 1.7e-06 9.5e-07 8.5e-07 1.45e-06 1.4e-06 9.5e-07 1.1e-06 7e-07 9e-07 1.35e-06
33 1.45e-06 1.5e-06 2e-06 1.75e-06 1.9e-06 2.05e-06 1.4e-06 1.95e-06 2.05e-06 1.35e-06 1.7e-06 1.7e-06 1.5e-06 1.45e-06 1.35e-06 1.75e-06 1.65e-06 1.5e-06 1.85e-06 1.85e-06 2e-06 1.65e-06 1.75e-06 1.55e-06 1.15e-06 1.8e-06 1.6e-06 1.25e-06 1.85e-06 1.25e-06 1.85e-06 1.75e-06 1.5e-06 2.2e-06 1.7e-06 1.9e-06 1.75e-06 1.45e-06 1.5e-06 1.4e-06 1.25e-06 1.55e-06 1.55e-06 1.7e-06 1.45e-06 1.9e-06 1.45e-06 1.75e-06 1.7e-06 1.7e-06 1.6e-06 1.4e-06 1.6e-06 1.85e-06 1.6e-06 1.45e-06 2.1e-06 1.55e-06 1.7e-06 1.55e-06 1.75e-06 1.7e-06 1.7e-06 1.7e-06 1.7e-06 1.65e-06
34 9e-07 1.4e-06 1.7e-06 1.1e-06 1.4e-06 1.45e-06 1.2e-06 1.45e-06 1.75e-06 1.2e-06 1.35e-06 1.15e-06 1.3e-06 1.2e-06 1.25e-06 1.35e-06 1.1e-06 1.35e-06 1.45e-06 1.35e-06 1.55e-06 9.5e-07 1.2e-06 1.5e-06 1.5e-06 9e-07 1.15e-06 1.15e-06 1.3e-06 1.15e-06 1.45e-06 1.25e-06 8.5e-07 1.7e-06 1.4e-06 1.35e-06 1.3e-06 9.5e-07 1.05e-06 1.15e-06 1.15e-06 9.5e-07 1.25e-06 1.15e-06 1.2e-06 1.3e-06 1.45e-06 1.15e-06 1.2e-06 7e-07 1.6e-06 1.25e-06 9.5e-07 1.65e-06 1.4e-06 1.65e-06 1.8e-06 1.1e-06 1.05e-06 1.55e-06 1.5e-06 1.1e-06 1.3e-06 7e-07 1.2e-06 1.5e-06
35 1.25e-06 1.5e-06 1.5e-06 1.6e-06 1.4e-06 1.3e-06 1.3e-06 1.45e-06 1.45e-06 1.45e-06 1.3e-06 1.35e-06 1.2e-06 1.6e-06 1.65e-06 1.35e-06 1.25e-06 1.35e-06 1.9e-06 1.4e-06 1.6e-06 1.4e-06 1.5e-06 1.5e-06 1.65e-06 1.35e-06 1.45e-06 1.55e-06 9e-07 1.55e-06 1.05e-06 1.05e-06 1.25e-06 1.9e-06 1.35e-06 1.8e-06 1.5e-06 1.3e-06 1.25e-06 1.55e-06 1.55e-06 1.45e-06 1.3e-06 1.25e-06 1.6e-06 1.45e-06 1.3e-06 1.25e-06 1.1e-06 1e-06 1.3e-06 1.35e-06 1.45e-06 1.25e-06 1.45e-06 1.4e-06 1.5e-06 1.2e-06 1.2e-06 1.35e-06 1e-06 1.25e-06 1.7e-06 1e-06 1.5e-06 1.6e-06
36 1.05e-06 1.5e-06 2.05e-06 1.45e-06 1.65e-06 1.65e-06 1.45e-06 1.7e-06 2.05e-06 1.6e-06 1.55e-06 1.6e-06 1.45e-06 1.25e-06 1e-06 1.55e-06 1.55e-06 1.45e-06 1.3e-06 1.6e-06 1.85e-06 1.35e-06 1.4e-06 1.65e-06 1.5e-06 1.25e-06 1.3e-06 1.15e-06 1.45e-06 1.15e-06 1.5e-06 1.4e-06 1.15e-06 1.75e-06 1.3e-06 1.5e-06 1.8e-06 1.1e-06 1.05e-06 1.25e-06 1.2e-06 1.2e-06 1.5e-06 1.55e-06 1.25e-06 1.75e-06 1.7e-06 1.2e-06 1.35e-06 1e-06 1.75e-06 1.4e-06 1.3e-06 1.85e-06 1.55e-06 1.85e-06 2.1e-06 1.1e-06 1.15e-06 1.7e-06 1.75e-06 1.15e-06 1.4e-06 1e-06 1.4e-06 1.4e-06
37 6.5e-07 1.3e-06 1.75e-06 1.15e-06 1.35e-06 1.45e-06 1.1e-06 1.45e-06 1.75e-06 1.3e-06 1.25e-06 1.3e-06 1.1e-06 9e-07 9e-07 1.3e-06 1.3e-06 1.15e-06 1.3e-06 1.3e-06 1.5e-06 1e-06 1.05e-06 1.25e-06 1.25e-06 9e-07 9.5e-07 7.5e-07 1.25e-06 7.5e-07 1.4e-06 1.2e-06 8e-07 1.45e-06 9.5e-07 1.3e-06 1.1e-06 1.2e-06 8e-07 9e-07 8e-07 8e-07 1.15e-06 1.3e-06 9e-07 1.45e-06 1.5e-06 1e-06 1.15e-06 6e-07 1.6e-06 1.05e-06 1e-06 1.65e-06 1.2e-06 1.6e-06 1.8e-06 8.5e-07 9e-07 1.45e-06 1.5e-06 9.5e-07 1.1e-06 6e-07 1e-06 1.35e-06
38 7e-07 1.45e-06 1.9e-06 1.15e-06 1.4e-06 1.4e-06 1.25e-06 1.45e-06 1.9e-06 1.3e-06 1.2e-06 1.35e-06 1.1e-06 8.5e-07 9e-07 1.3e-06 1.2e-06 1e-06 1.4e-06 1.35e-06 1.6e-06 1e-06 1e-06 1.35e-06 1.2e-06 1e-06 1e-06 6e-07 1.2e-06 5.5e-07 1.35e-06 1.15e-06 9e-07 1.5e-06 1.05e-06 1.25e-06 1.05e-06 8e-07 1.1e-06 9.5e-07 6.5e-07 8.5e-07 1.25e-06 1.2e-06 8.5e-07 1.5e-06 1.65e-06 9.5e-07 1.1e-06 8.5e-07 1.6e-06 1.05e-06 1.05e-06 1.5e-06 1.2e-06 1.55e-06 1.95e-06 6.5e-07 8e-07 1.5e-06 1.5e-06 9e-07 1.25e-06 8.5e-07 1.05e-06 1.5e-06
39 8.5e-07 1.1e-06 1.8e-06 9.5e-07 1.5e-06 1.7e-06 1.3e-06 1.55e-06 1.8e-06 1.25e-06 1.4e-06 1.25e-06 1.1e-06 6.5e-07 8e-07 1.3e-06 1.35e-06 1.15e-06 1.35e-06 1.45e-06 1.65e-06 1.1e-06 1.2e-06 1.3e-06 1.15e-06 1.2e-06 9e-07 6.5e-07 1.5e-06 6.5e-07 1.6e-06 1.35e-06 1e-06 1.4e-06 1.15e-06 1.55e-06 1.25e-06 9e-07 9.5e-07 1e-06 6e-07 9.5e-07 1.2e-06 1.35e-06 6e-07 1.5e-06 1.45e-06 9.5e-07 1.3e-06 1.1e-06 1.6e-06 9.5e-07 8e-07 1.75e-06 1.2e-06 1.6e-06 1.9e-06 1e-06 1.2e-06 1.45e-06 1.6e-06 9.5e-07 6.5e-07 1.1e-06 1.2e-06 1.25e-06
40 7e-07 1.35e-06 1.9e-06 1.05e-06 1.5e-06 1.7e-06 1.35e-06 1.55e-06 1.9e-06 1.2e-06 1.3e-06 1.25e-06 9.5e-07 6e-07 6e-07 1.3e-06 1.25e-06 9e-07 1.3e-06 1.45e-06 1.65e-06 1e-06 1.05e-06 1.2e-06 9.5e-07 1.2e-06 8e-07 2.5e-07 1.5e-06 2e-07 1.6e-06 1.35e-06 1e-06 1.25e-06 1.15e-06 1.55e-06 1.2e-06 8e-07 6.5e-07 6e-07 4e-07 8e-07 1.2e-06 1.25e-06 6e-07 1.5e-06 1.55e-06 1.15e-06 1.3e-06 1.2e-06 1.65e-06 8e-07 9.5e-07 1.65e-06 1.05e-06 1.55e-06 2e-06 7.5e-07 1.1e-06 1.5e-06 1.6e-06 1.1e-06 1.1e-06 1.2e-06 1.1e-06 1.3e-06
41 7e-07 1.35e-06 1.8e-06 1.2e-06 1.5e-06 1.55e-06 1.2e-06 1.55e-06 1.9e-06 1.4e-06 1.45e-06 1.4e-06 1.15e-06 9e-07 9e-07 1.4e-06 1.45e-06 1.2e-06 1.35e-06 1.45e-06 1.65e-06 1.2e-06 1.2e-06 1.4e-06 1.25e-06 9e-07 1.05e-06 6.5e-07 1.4e-06 7e-07 1.55e-06 1.3e-06 8.5e-07 1.55e-06 9.5e-07 1.45e-06 1.2e-06 8e-07 8.5e-07 9.5e-07 8e-07 1.3e-06 1.3e-06 1.45e-06 9e-07 1.6e-06 1.55e-06 1.1e-06 1.25e-06 7.5e-07 1.7e-06 1.05e-06 1.1e-06 1.8e-06 1.25e-06 1.7e-06 1.95e-06 9e-07 1.1e-06 1.5e-06 1.65e-06 1.05e-06 1.15e-06 7.5e-07 1.25e-06 1.4e-06
42 1.15e-06 1.25e-06 1.35e-06 1.35e-06 1.3e-06 1.45e-06 1.25e-06 1.35e-06 1.3e-06 1.25e-06 1.15e-06 1.1e-06 1.15e-06 1.3e-06 1.35e-06 1.15e-06 1.15e-06 1.2e-06 1.6e-06 1.3e-06 1.4e-06 1.15e-06 1.25e-06 1.25e-06 1.4e-06 1.3e-06 1.2e-06 1.25e-06 1.25e-06 1.25e-06 1.35e-06 1.1e-06 9.5e-07 1.55e-06 1.25e-06 1.3e-06 1.5e-06 1.15e-06 1.25e-06 1.2e-06 1.2e-06 1.3e-06 1.6e-06 1.15e-06 1.3e-06 1.3e-06 1.05e-06 1.35e-06 1.05e-06 1.1e-06 1.2e-06 1e-06 1.2e-06 1.25e-06 1.25e-06 1.3e-06 1.4e-06 1.3e-06 1.2e-06 1.2e-06 1.1e-06 1.3e-06 1.4e-06 1.1e-06 1.2e-06 1.25e-06
43 1.25e-06 1.45e-06 1.45e-06 1.2e-06 1.3e-06 1.4e-06 1.35e-06 1.25e-06 1.4e-06 1.05e-06 9.5e-07 1e-06 1.2e-06 1.45e-06 1.5e-06 1.15e-06 7e-07 9.5e-07 1.75e-06 1.3e-06 1.45e-06 9.5e-07 1.25e-06 1.4e-06 1.45e-06 1.4e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06 1.3e-06 1.2e-06 1.2e-06 1.7e-06 1.15e-06 1.25e-06 1.55e-06 1.3e-06 1.2e-06 1.35e-06 1.25e-06 1.45e-06 1.15e-06 1.3e-06 1.45e-06 1.05e-06 1.25e-06 1.4e-06 1.15e-06 1.25e-06 1.05e-06 1.2e-06 1.1e-06 7.5e-07 1.3e-06 1.1e-06 1.4e-06 1.25e-06 1.15e-06 1.4e-06 9e-07 1.35e-06 1.6e-06 1.25e-06 1.25e-06 1.55e-06
44 8e-07 1.15e-06 1.9e-06 9.5e-07 1.55e-06 1.75e-06 1.35e-06 1.6e-06 1.95e-06 1.35e-06 1.45e-06 1.4e-06 1.1e-06 5.5e-07 7.5e-07 1.4e-06 1.45e-06 1.15e-06 1.35e-06 1.5e-06 1.7e-06 1.15e-06 1.15e-06 1.35e-06 1.15e-06 1.2e-06 1.05e-06 5.5e-07 1.55e-06 5e-07 1.65e-06 1.45e-06 1e-06 1.45e-06 1.2e-06 1.6e-06 1.25e-06 9e-07 8.5e-07 6e-07 6e-07 9e-07 1.3e-06 1.45e-06 1e-06 1.6e-06 1.6e-06 9.5e-07 1.4e-06 1.1e-06 1.7e-06 1e-06 8.5e-07 1.85e-06 1.2e-06 1.7e-06 2e-06 9.5e-07 1.2e-06 1.55e-06 1.7e-06 9.5e-07 6.5e-07 1.1e-06 1.2e-06 1.35e-06
45 1.4e-06 1.5e-06 1.35e-06 1.4e-06 1.2e-06 1.45e-06 1.45e-06 1.35e-06 1e-06 1.25e-06 1.3e-06 1.15e-06 1.35e-06 1.6e-06 1.65e-06 1.4e-06 1.05e-06 1.35e-06 1.9e-06 1.35e-06 1.45e-06 1.2e-06 1.3e-06 1.55e-06 1.65e-06 1.55e-06 1.4e-06 1.55e-06 1.4e-06 1.55e-06 1.5e-06 1.4e-06 1.35e-06 1.9e-06 1.3e-06 1.45e-06 1.75e-06 1.45e-06 1.5e-06 1.5e-06 1.5e-06 1.6e-06 1.3e-06 1.05e-06 1.6e-06 1.8e-06 1.3e-06 1.6e-06 1.35e-06 1.3e-06 1.35e-06 1.35e-06 1.25e-06 1.25e-06 1.2e-06 1.4e-06 9.5e-07 1.55e-06 1.45e-06 1.5e-06 1.15e-06 1.55e-06 1.7e-06 1.3e-06 1.5e-06 1.6e-06
46 1.45e-06 9e-07 9e-07 1.65e-06 1.35e-06 1.45e-06 1.1e-06 1.4e-06 9e-07 1.2e-06 1.35e-06 1.05e-06 1.15e-06 1.6e-06 1.55e-06 1.15e-06 1.2e-06 1.3e-06 1.9e-06 1.4e-06 1.5e-06 1.65e-06 1.8e-06 1.35e-06 1.25e-06 1.6e-06 1.45e-06 1.65e-06 1.25e-06 1.65e-06 1.25e-06 1.1e-06 1.4e-06 1.45e-06 1.45e-06 1.3e-06 1.7e-06 1.5e-06 1.65e-06 1.45e-06 1.55e-06 1.55e-06 1.05e-06 1.25e-06 1.6e-06 1.3e-06 6e-07 1.65e-06 1.05e-06 1.3e-06 6.5e-07 1e-06 1.5e-06 1.05e-06 1.25e-06 9.5e-07 1e-06 1.7e-06 1.7e-06 8.5e-07 8e-07 1.6e-06 1.6e-06 1.3e-06 1.8e-06 1.05e-06
47 9.5e-07 1.3e-06 1.9e-06 1.15e-06 1.5e-06 1.45e-06 1.3e-06 1.55e-06 1.9e-06 1.45e-06 1.4e-06 1.45e-06 1.35e-06 1e-06 1.2e-06 1.4e-06 1.4e-06 1.35e-06 1.55e-06 1.45e-06 1.7e-06 1.2e-06 1.25e-06 1.55e-06 1.5e-06 1.1e-06 1.2e-06 1.1e-06 1.25e-06 1.1e-06 1.4e-06 1.15e-06 1e-06 1.75e-06 1.15e-06 1.25e-06 1.2e-06 1e-06 9.5e-07 9.5e-07 1.15e-06 1.1e-06 1.35e-06 1.4e-06 9.5e-07 1.6e-06 1.65e-06 1.5e-06 1.2e-06 8.5e-07 1.65e-06 1.3e-06 1e-06 1.7e-06 1.45e-06 1.7e-06 1.95e-06 9e-07 1e-06 1.55e-06 1.6e-06 8e-07 9e-07 8.5e-07 1.25e-06 1.55e-06
48 1.1e-06 1.3e-06 1.35e-06 1.45e-06 1.3e-06 1.25e-06 1.15e-06 1.35e-06 1.3e-06 1.3e-06 1.2e-06 1.15e-06 1.2e-06 1.4e-06 1.45e-06 1.15e-06 1.15e-06 1.2e-06 1.75e-06 1.3e-06 1.5e-06 1.3e-06 1.4e-06 1.4e-06 1.45e-06 1.2e-06 1.2e-06 1.35e-06 1.05e-06 1.35e-06 1.2e-06 9e-07 1.1e-06 1.7e-06 1.2e-06 1.1e-06 1.35e-06 1.15e-06 1.1e-06 1.3e-06 1.3e-06 1.25e-06 1.05e-06 1.15e-06 1.4e-06 1.35e-06 1.05e-06 1.2e-06 1.6e-06 9e-07 1.15e-06 1.05e-06 1.3e-06 1.15e-06 1.3e-06 1.25e-06 1.4e-06 1.15e-06 1.1e-06 1.1e-06 1.05e-06 1.15e-06 1.5e-06 9e-07 1.4e-06 1.25e-06
49 5.5e-07 1.2e-06 1.5e-06 1.15e-06 1.15e-06 1.15e-06 8e-07 1.3e-06 1.45e-06 1.3e-06 1.25e-06 1.2e-06 1.15e-06 1.1e-06 1.15e-06 1.2e-06 1.25e-06 1.3e-06 1.4e-06 1.1e-06 1.4e-06 1.05e-06 1.1e-06 1.35e-06 1.45e-06 6e-07 9.5e-07 1.15e-06 9.5e-07 1.15e-06 1.15e-06 9.5e-07 7e-07 1.7e-06 7e-07 1e-06 1e-06 6e-07 8.5e-07 1.1e-06 1.2e-06 7.5e-07 1.1e-06 1.25e-06 1.1e-06 1.3e-06 1.3e-06 8.5e-07 9e-07 0.0 1.45e-06 1.15e-06 1e-06 1.55e-06 1.25e-06 1.55e-06 1.5e-06 9e-07 8e-07 1.3e-06 1.3e-06 8e-07 1.1e-06 0.0 1.1e-06 1.3e-06
50 1.55e-06 1.15e-06 1.1e-06 1.7e-06 1.4e-06 1.45e-06 1.25e-06 1.35e-06 1.1e-06 1.25e-06 1.2e-06 1.2e-06 1.25e-06 1.75e-06 1.7e-06 1.2e-06 1.1e-06 1.15e-06 2e-06 1.45e-06 1.55e-06 1.6e-06 1.75e-06 1.45e-06 1.35e-06 1.7e-06 1.65e-06 1.7e-06 1.25e-06 1.7e-06 1.25e-06 1.2e-06 1.5e-06 1.6e-06 1.6e-06 1.3e-06 1.75e-06 1.6e-06 1.6e-06 1.6e-06 1.65e-06 1.7e-06 1.2e-06 1.05e-06 1.7e-06 1.35e-06 6.5e-07 1.65e-06 1.15e-06 1.45e-06 1.1e-06 1.2e-06 1.6e-06 7.5e-07 1.35e-06 9e-07 1.15e-06 1.65e-06 1.6e-06 1.1e-06 7.5e-07 1.65e-06 1.75e-06 1.45e-06 1.75e-06 1.35e-06
51 9.5e-07 1.15e-06 1.35e-06 1.25e-06 1.35e-06 1.5e-06 1.2e-06 1.4e-06 1.35e-06 1.2e-06 1.25e-06 1.1e-06 9.5e-07 1e-06 1e-06 1.15e-06 1.2e-06 1e-06 1.55e-06 1.35e-06 1.5e-06 1.25e-06 1.3e-06 1.2e-06 1.1e-06 1.3e-06 1.05e-06 8e-07 1.3e-06 8e-07 1.4e-06 1.1e-06 1.1e-06 1.4e-06 1.25e-06 1.35e-06 1.4e-06 1.05e-06 1.05e-06 9.5e-07 8e-07 1.05e-06 1e-06 1.2e-06 1e-06 1.35e-06 1e-06 1.3e-06 1.05e-06 1.15e-06 1.2e-06 1.5e-06 1.15e-06 1.3e-06 1.05e-06 1.25e-06 1.45e-06 1.1e-06 1.3e-06 1.1e-06 1.15e-06 1.25e-06 1.25e-06 1.15e-06 1.35e-06 1.1e-06
52 9.5e-07 1.15e-06 1.75e-06 8e-07 1.4e-06 1.6e-06 1.3e-06 1.45e-06 1.75e-06 1.1e-06 1.3e-06 1.1e-06 1.2e-06 8.5e-07 1.05e-06 1.3e-06 1.1e-06 1.25e-06 1.4e-06 1.35e-06 1.55e-06 8.5e-07 1.1e-06 1.4e-06 1.35e-06 1.15e-06 1.1e-06 9.5e-07 1.4e-06 9.5e-07 1.5e-06 1.35e-06 9.5e-07 1.6e-06 9.5e-07 1.45e-06 1.3e-06 1e-06 1.05e-06 8e-07 9.5e-07 1.1e-06 1.2e-06 1.1e-06 8.5e-07 1.25e-06 1.5e-06 1e-06 1.3e-06 1e-06 1.6e-06 1.15e-06 1.2e-06 1.65e-06 1.3e-06 1.6e-06 1.8e-06 1.1e-06 1.1e-06 1.55e-06 1.5e-06 9.5e-07 8e-07 1e-06 1.1e-06 1.4e-06
53 1.6e-06 1.55e-06 1.25e-06 1.7e-06 1.4e-06 1.4e-06 1.45e-06 1.25e-06 1.2e-06 1.35e-06 9e-07 1.25e-06 1.3e-06 1.85e-06 1.9e-06 1.15e-06 8e-07 9e-07 2.15e-06 1.45e-06 1.55e-06 1.5e-06 1.65e-06 1.5e-06 1.6e-06 1.75e-06 1.7e-06 1.7e-06 1.2e-06 1.7e-06 1.3e-06 1.2e-06 1.55e-06 1.85e-06 1.65e-06 1.25e-06 1.85e-06 1.65e-06 1.5e-06 1.75e-06 1.65e-06 1.8e-06 1.25e-06 7.5e-07 1.85e-06 1.25e-06 1.05e-06 1.7e-06 1.15e-06 1.55e-06 7.5e-07 1.3e-06 1.65e-06 3e-07 1.4e-06 8e-07 1.15e-06 1.55e-06 1.45e-06 1.25e-06 5.5e-07 1.65e-06 1.95e-06 1.55e-06 1.65e-06 1.65e-06
54 1.1e-06 1.35e-06 1.35e-06 1.4e-06 1.2e-06 1.45e-06 1.35e-06 1.35e-06 1.05e-06 1.35e-06 1.35e-06 1.3e-06 1.1e-06 1.2e-06 1.2e-06 1.35e-06 1.3e-06 1.15e-06 1.7e-06 1.35e-06 1.45e-06 1.35e-06 1.2e-06 1.35e-06 1.3e-06 1.45e-06 1.2e-06 1e-06 1.4e-06 1e-06 1.5e-06 1.35e-06 1.25e-06 1.6e-06 1.4e-06 1.45e-06 1.55e-06 1.2e-06 1.2e-06 1.2e-06 1.05e-06 1.25e-06 1.25e-06 1.3e-06 1.2e-06 1.2e-06 1.25e-06 1.45e-06 1.3e-06 1.25e-06 1.35e-06 1.05e-06 1.3e-06 1.4e-06 1.9e-06 1.4e-06 1.05e-06 1.25e-06 1.4e-06 1.35e-06 1.25e-06 1.4e-06 1.45e-06 1.25e-06 1.45e-06 1.4e-06
55 1.55e-06 1.35e-06 1.3e-06 1.7e-06 1.5e-06 1.55e-06 1.1e-06 1.45e-06 1.3e-06 1.05e-06 1.2e-06 1.3e-06 1.3e-06 1.7e-06 1.75e-06 1.3e-06 1.1e-06 1.15e-06 2.1e-06 1.5e-06 1.65e-06 1.6e-06 1.75e-06 1.5e-06 1.2e-06 1.75e-06 1.65e-06 1.6e-06 1.35e-06 1.6e-06 1.45e-06 1.3e-06 1.55e-06 1.45e-06 1.65e-06 1.4e-06 1.85e-06 1.6e-06 1.55e-06 1.6e-06 1.55e-06 1.7e-06 1.3e-06 1.1e-06 1.7e-06 1.4e-06 9.5e-07 1.7e-06 1.25e-06 1.55e-06 9e-07 1.25e-06 1.6e-06 8e-07 1.4e-06 1.3e-06 1.3e-06 1.6e-06 1.6e-06 1.05e-06 8.5e-07 1.65e-06 1.8e-06 1.55e-06 1.75e-06 1.55e-06
56 1.75e-06 1.5e-06 9e-07 1.95e-06 1.05e-06 1.35e-06 1.5e-06 1.3e-06 2.5e-07 1.6e-06 1.5e-06 1.4e-06 1.45e-06 2e-06 2.05e-06 1.5e-06 1.4e-06 1.55e-06 2.3e-06 1.4e-06 1.4e-06 1.85e-06 1.6e-06 1.65e-06 1.85e-06 1.9e-06 1.65e-06 2.05e-06 1.45e-06 2.05e-06 1.55e-06 1.45e-06 1.7e-06 2.1e-06 1.8e-06 1.5e-06 2.1e-06 1.8e-06 1.95e-06 1.9e-06 2e-06 1.95e-06 1.4e-06 1.4e-06 2e-06 9.5e-07 1e-06 1.95e-06 1.4e-06 1.5e-06 1.15e-06 1.45e-06 1.8e-06 1.15e-06 1.05e-06 1.3e-06 2e-07 2e-06 1.9e-06 1.3e-06 9.5e-07 1.9e-06 2e-06 1.5e-06 2e-06 1.6e-06
57 7.5e-07 1.5e-06 1.95e-06 1.2e-06 1.45e-06 1.4e-06 1.3e-06 1.5e-06 1.95e-06 1.35e-06 1.25e-06 1.4e-06 1.15e-06 9.5e-07 9.5e-07 1.35e-06 1.25e-06 1.05e-06 1.45e-06 1.4e-06 1.65e-06 1.05e-06 1.05e-06 1.4e-06 1.25e-06 1.05e-06 1.05e-06 6.5e-07 1.2e-06 6.5e-07 1.35e-06 1.1e-06 9.5e-07 1.55e-06 1.1e-06 1.2e-06 1.1e-06 8.5e-07 6.5e-07 1e-06 7.5e-07 9e-07 1.3e-06 1.25e-06 9.5e-07 1.55e-06 1.7e-06 9e-07 1.15e-06 9e-07 1.65e-06 1.1e-06 1.1e-06 1.55e-06 1.25e-06 1.6e-06 2e-06 1.2e-06 8.5e-07 1.55e-06 1.55e-06 9e-07 1.3e-06 9e-07 1.1e-06 1.55e-06
