 slim_762283219 slim_762283227 slim_762283201 slim_762283185 slim_762283218 slim_762283224 slim_762283213 slim_762283228 slim_762283199 slim_762283202 slim_762283210 slim_762283206 slim_762283211 slim_762283180 slim_762283221 slim_762283193 slim_762283204 slim_762283229 slim_762283184 slim_762283222 slim_762283209 slim_762283216 slim_762283188 slim_762283208 slim_762283203 slim_762283194 slim_762283181 slim_762283205 slim_762283215 slim_762283196 slim_762283197 slim_762283190 slim_762283212 slim_762283183 slim_762283198 slim_762283230 slim_762283195 slim_762283189 slim_762283231 slim_762283226 slim_762283223 slim_762283182 slim_762283200 slim_762283207 slim_762283187 slim_762283225 slim_762283192 slim_762283191 slim_762283186 slim_762283220 slim_762283214 slim_762283217
36 2.25e-06 1.1e-06 1.65e-06 1.05e-06 2.15e-06 1.75e-06 2.6e-06 2.5e-06 1.85e-06 9.5e-07 1.5e-06 1.75e-06 1.5e-06 1.7e-06 2.1e-06 1.85e-06 1.95e-06 2.2e-06 2.15e-06 1.65e-06 1.45e-06 1.25e-06 1.2e-06 2.1e-06 1.85e-06 2.25e-06 1.25e-06 1.1e-06 1.05e-06 1.95e-06 1.75e-06 2e-06 2.5e-06 2.45e-06 2.35e-06 1.55e-06 1.7e-06 1.6e-06 2.35e-06 1.9e-06 1.4e-06 2.4e-06 1.7e-06 1.95e-06 1.55e-06 1.55e-06 1.2e-06 1.05e-06 1.1e-06 1.9e-06 1.1e-06 2.05e-06
37 1.85e-06 1.7e-06 2.2e-06 1.75e-06 2.45e-06 2.05e-06 2.6e-06 2.5e-06 2.35e-06 1.6e-06 1.9e-06 2.2e-06 1.8e-06 2.2e-06 2.35e-06 2.3e-06 2e-06 2.25e-06 2.55e-06 2.05e-06 2e-06 1.75e-06 1.8e-06 2.2e-06 1.95e-06 1.65e-06 1.85e-06 1.7e-06 1.65e-06 1.75e-06 2.2e-06 2e-06 2.55e-06 2.1e-06 2.2e-06 1.95e-06 1.6e-06 2.8e-06 2.4e-06 1.85e-06 1.75e-06 2.25e-06 2.2e-06 2.2e-06 1.95e-06 2e-06 1.8e-06 1.65e-06 1.75e-06 1.85e-06 1.75e-06 2.2e-06
38 2.15e-06 2.3e-06 2.1e-06 2.1e-06 2.05e-06 2e-06 2.05e-06 1.9e-06 2.4e-06 2.25e-06 2.5e-06 2.25e-06 2.45e-06 2.2e-06 1.95e-06 2.15e-06 2.25e-06 2.05e-06 2.15e-06 2.1e-06 2.4e-06 2.2e-06 2.55e-06 2.4e-06 2.15e-06 1.9e-06 2.3e-06 1.95e-06 2.55e-06 2.15e-06 2.2e-06 2.35e-06 2.2e-06 2e-06 1.85e-06 2.25e-06 2.35e-06 2.4e-06 2.9e-06 2.1e-06 2.2e-06 2.3e-06 2.35e-06 2.35e-06 2.25e-06 2.15e-06 2.55e-06 2.45e-06 2.2e-06 2.1e-06 2.2e-06 2.15e-06
39 1.75e-06 1.65e-06 2e-06 1.35e-06 2.3e-06 1.6e-06 2.3e-06 2.2e-06 2.15e-06 1.75e-06 2.05e-06 1.8e-06 2.55e-06 1.8e-06 2.1e-06 1.7e-06 2.05e-06 2.25e-06 2.35e-06 1.55e-06 1.55e-06 1.8e-06 1.75e-06 2.25e-06 2.15e-06 1.7e-06 1.6e-06 1.2e-06 2.15e-06 1.35e-06 2.2e-06 1.3e-06 2.45e-06 1.75e-06 2.15e-06 2.2e-06 1.9e-06 1.85e-06 2.1e-06 2.1e-06 1.6e-06 1.95e-06 2.15e-06 2.2e-06 2.15e-06 2.2e-06 1.75e-06 1.85e-06 1.7e-06 1.05e-06 1.7e-06 2.65e-06
40 2.25e-06 1.3e-06 1.75e-06 1.25e-06 2.1e-06 1.75e-06 2.65e-06 2.55e-06 1.8e-06 1.25e-06 1.15e-06 1.75e-06 2e-06 1.55e-06 2.15e-06 1.85e-06 1.9e-06 2.2e-06 2.1e-06 1.75e-06 1.2e-06 9.5e-07 1.65e-06 2.1e-06 1.6e-06 2.05e-06 1.1e-06 1.25e-06 1.35e-06 1.45e-06 1.6e-06 1.85e-06 2.45e-06 2.1e-06 2.2e-06 2.1e-06 1.4e-06 1.75e-06 2.2e-06 1.6e-06 1.6e-06 2.05e-06 1.5e-06 2.05e-06 1.7e-06 1.7e-06 1.65e-06 1.5e-06 9.5e-07 1.6e-06 9.5e-07 2.3e-06
41 2.15e-06 2.3e-06 2.1e-06 2.15e-06 2e-06 2.25e-06 1.9e-06 1.95e-06 2.1e-06 2.25e-06 2.2e-06 2.15e-06 2.75e-06 2.45e-06 2.15e-06 2.2e-06 2.05e-06 2.2e-06 2.15e-06 2.25e-06 2.4e-06 2.2e-06 2.6e-06 2.25e-06 2.3e-06 1.9e-06 2.25e-06 2.05e-06 2.55e-06 1.7e-06 2.1e-06 2.05e-06 2.1e-06 1.55e-06 2.35e-06 2.5e-06 2.4e-06 2.25e-06 2.3e-06 1.95e-06 2.05e-06 3e-06 2.3e-06 2.15e-06 2.2e-06 2.2e-06 2.6e-06 2.5e-06 2.2e-06 1.95e-06 2.2e-06 2.7e-06
42 2.55e-06 1.6e-06 1.6e-06 1.55e-06 1.55e-06 1.95e-06 2.4e-06 2.35e-06 1.05e-06 1.55e-06 1.4e-06 1.65e-06 2.15e-06 1.55e-06 2e-06 1.65e-06 1.7e-06 1.7e-06 1.25e-06 2.05e-06 1.5e-06 1.35e-06 1.9e-06 1.9e-06 1.85e-06 2.4e-06 1.3e-06 1.5e-06 1.6e-06 2e-06 1.35e-06 2e-06 2.2e-06 2.35e-06 2.15e-06 2.2e-06 1.7e-06 2.2e-06 2.35e-06 2.15e-06 1.5e-06 2.3e-06 2e-06 1.7e-06 1.6e-06 1.55e-06 1.9e-06 1.8e-06 1.3e-06 2.15e-06 1.3e-06 2.3e-06
43 2.35e-06 1.95e-06 1.75e-06 1.8e-06 1.6e-06 2.1e-06 2.1e-06 2.05e-06 1.4e-06 1.8e-06 2e-06 1.8e-06 2.2e-06 2.1e-06 1.95e-06 1.85e-06 1.65e-06 1.8e-06 1.55e-06 2.1e-06 2.05e-06 2e-06 2.15e-06 1.8e-06 2.1e-06 2.15e-06 1.9e-06 1.7e-06 2.05e-06 2.05e-06 1.75e-06 2.05e-06 2.1e-06 2.05e-06 2.2e-06 2.2e-06 1.95e-06 2.2e-06 2.35e-06 2.2e-06 2.05e-06 2.15e-06 1.7e-06 2.4e-06 1.8e-06 1.8e-06 2.15e-06 2.05e-06 1.8e-06 2.2e-06 1.8e-06 2.2e-06
44 2e-06 1.4e-06 1.65e-06 1.65e-06 1.3e-06 2.1e-06 2.25e-06 2.2e-06 1.55e-06 1.45e-06 1.6e-06 1.45e-06 1.75e-06 1.85e-06 1.95e-06 1.7e-06 1.6e-06 1.8e-06 1.6e-06 2.1e-06 1.75e-06 1.45e-06 1.75e-06 1.75e-06 1.75e-06 2.1e-06 1.6e-06 1.6e-06 1.5e-06 2.05e-06 1.4e-06 2.1e-06 1.95e-06 2.15e-06 1.95e-06 1.95e-06 1.55e-06 1.95e-06 2.25e-06 2.15e-06 1.7e-06 2.2e-06 1.6e-06 1.8e-06 2.1e-06 1.25e-06 1.75e-06 1.6e-06 1.55e-06 2.15e-06 1.55e-06 1.95e-06
45 2.2e-06 1.4e-06 1.45e-06 1.65e-06 1.25e-06 2.15e-06 2.3e-06 2.25e-06 1.5e-06 1.45e-06 1.6e-06 1.65e-06 1.55e-06 1.65e-06 1.8e-06 1.5e-06 1.75e-06 1.8e-06 1.35e-06 2.15e-06 1.75e-06 1.45e-06 1.75e-06 1.9e-06 1.8e-06 2.2e-06 1.6e-06 1.6e-06 1.5e-06 2.1e-06 1.2e-06 2.15e-06 1.75e-06 2.2e-06 1.95e-06 2e-06 1.55e-06 2e-06 2.15e-06 2.2e-06 1.7e-06 2.2e-06 1.55e-06 1.8e-06 1.25e-06 2.1e-06 1.75e-06 1.6e-06 1.55e-06 2.2e-06 1.55e-06 1.55e-06
46 2.25e-06 1.2e-06 1.9e-06 1.2e-06 2.3e-06 1.95e-06 2.8e-06 2.7e-06 2.05e-06 1.25e-06 1.75e-06 1.8e-06 1.7e-06 1.65e-06 2.35e-06 1.7e-06 2.15e-06 2.35e-06 2.3e-06 1.8e-06 1.35e-06 1.45e-06 1.1e-06 2.3e-06 2.05e-06 2.4e-06 1.35e-06 1.2e-06 1.25e-06 2.15e-06 1.95e-06 1.85e-06 2.55e-06 2.6e-06 2.35e-06 1.85e-06 1.2e-06 1.8e-06 2.55e-06 1.75e-06 1.65e-06 2.6e-06 1.9e-06 2.15e-06 1.75e-06 1.75e-06 2.2e-06 1.15e-06 1.4e-06 1.75e-06 1.4e-06 2.2e-06
47 2.1e-06 9.5e-07 1.8e-06 9.5e-07 2.25e-06 1.85e-06 2.75e-06 2.65e-06 1.95e-06 1.1e-06 1.6e-06 1.65e-06 1.55e-06 1.65e-06 2.25e-06 1.8e-06 2.05e-06 2.3e-06 2.25e-06 1.6e-06 1.4e-06 1.25e-06 1.15e-06 2.2e-06 1.95e-06 2.35e-06 1.15e-06 1.1e-06 1.1e-06 2.05e-06 1.85e-06 1.95e-06 2.5e-06 2.55e-06 2.25e-06 1.75e-06 1.05e-06 1.65e-06 2.45e-06 1.85e-06 1.5e-06 2.5e-06 1.8e-06 2.05e-06 1.6e-06 1.6e-06 1.15e-06 1.7e-06 1.25e-06 1.85e-06 1.25e-06 2.15e-06
48 2.3e-06 1.1e-06 1.4e-06 8.5e-07 1.9e-06 1.4e-06 2.35e-06 2.25e-06 1.6e-06 9e-07 9.5e-07 1.5e-06 1.9e-06 1.3e-06 1.85e-06 1.6e-06 1.85e-06 2.15e-06 1.9e-06 1.4e-06 9.5e-07 9.5e-07 1.4e-06 2.05e-06 1.55e-06 2.2e-06 8.5e-07 8.5e-07 1.15e-06 1.75e-06 1.4e-06 1.75e-06 2.4e-06 2.25e-06 2.15e-06 1.8e-06 1.1e-06 1.75e-06 2.2e-06 1.7e-06 9.5e-07 2.2e-06 1.3e-06 1.8e-06 1.55e-06 1.55e-06 1.4e-06 1.25e-06 1.2e-06 1.7e-06 6e-07 2.3e-06
49 1.75e-06 1.65e-06 2e-06 1.35e-06 2.3e-06 1.6e-06 2.3e-06 2.2e-06 2.15e-06 1.75e-06 2.05e-06 1.8e-06 2.55e-06 1.8e-06 2.1e-06 1.7e-06 2.05e-06 2.25e-06 2.35e-06 1.55e-06 1.55e-06 1.8e-06 1.75e-06 2.25e-06 2.15e-06 1.7e-06 1.6e-06 1.2e-06 2.15e-06 1.35e-06 2.2e-06 1.3e-06 2.45e-06 1.75e-06 2.15e-06 2.2e-06 1.9e-06 1.85e-06 2.1e-06 1.05e-06 1.6e-06 1.95e-06 2.15e-06 2.2e-06 2.15e-06 2.2e-06 1.75e-06 1.85e-06 1.7e-06 2.1e-06 1.7e-06 2.65e-06
50 2.3e-06 1.1e-06 1.4e-06 8.5e-07 1.9e-06 1.4e-06 2.35e-06 2.25e-06 1.6e-06 9e-07 9.5e-07 1.5e-06 1.9e-06 1.3e-06 1.85e-06 1.6e-06 1.85e-06 2.15e-06 1.9e-06 1.4e-06 9.5e-07 9.5e-07 1.4e-06 2.05e-06 1.55e-06 2.2e-06 8.5e-07 8.5e-07 1.15e-06 1.75e-06 1.4e-06 1.75e-06 2.4e-06 2.25e-06 2.15e-06 1.8e-06 1.1e-06 1.75e-06 2.2e-06 1.7e-06 9.5e-07 2.2e-06 1.3e-06 1.8e-06 1.55e-06 1.55e-06 1.4e-06 1.25e-06 6e-07 1.7e-06 1.2e-06 2.3e-06
51 2.45e-06 2.15e-06 1.95e-06 2.45e-06 1.8e-06 2.85e-06 2.85e-06 2.75e-06 2.4e-06 1.9e-06 2.55e-06 2.45e-06 8.5e-07 2.1e-06 2.35e-06 2.05e-06 2.15e-06 1.95e-06 1.85e-06 2.95e-06 2.55e-06 2.3e-06 2.2e-06 2.25e-06 2.05e-06 2.15e-06 2.45e-06 2.25e-06 2e-06 2.55e-06 1.9e-06 2.8e-06 1.55e-06 2.55e-06 1.95e-06 2.35e-06 2.05e-06 2.2e-06 2.15e-06 2.65e-06 2.3e-06 2.7e-06 2.3e-06 2.2e-06 1.95e-06 1.55e-06 2.2e-06 2.15e-06 2.3e-06 2.65e-06 2.3e-06 0.0
