 slim_762369175 slim_762369167 slim_762369181 slim_762369190 slim_762369169 slim_762369196 slim_762369203 slim_762369174 slim_762369161 slim_762369206 slim_762369173 slim_762369155 slim_762369211 slim_762369195 slim_762369157 slim_762369164 slim_762369204 slim_762369170 slim_762369191 slim_762369149 slim_762369188 slim_762369162 slim_762369159 slim_762369185 slim_762369199 slim_762369158 slim_762369172 slim_762369160 slim_762369193 slim_762369176 slim_762369186 slim_762369153 slim_762369209 slim_762369207 slim_762369163 slim_762369151 slim_762369200 slim_762369194 slim_762369214 slim_762369154 slim_762369180 slim_762369197 slim_762369171 slim_762369168 slim_762369202 slim_762369152 slim_762369192 slim_762369198 slim_762369205 slim_762369150 slim_762369178 slim_762369165 slim_762369182 slim_762369156 slim_762369166 slim_762369201 slim_762369212 slim_762369189 slim_762369179 slim_762369183 slim_762369184 slim_762369210 slim_762369187 slim_762369213 slim_762369208 slim_762369177
28 1.6e-06 1.5e-06 1.55e-06 2.25e-06 1.25e-06 1.5e-06 1.7e-06 1.6e-06 1.5e-06 2.1e-06 1.45e-06 9.5e-07 1.95e-06 1.15e-06 1.85e-06 1.1e-06 1.2e-06 1.7e-06 1.6e-06 1.1e-06 2.25e-06 1.9e-06 1.35e-06 1.9e-06 1.8e-06 1.8e-06 2e-06 1.9e-06 1.7e-06 1.65e-06 1.7e-06 1.8e-06 1.7e-06 1.15e-06 1.65e-06 1.9e-06 1.7e-06 1.05e-06 1.5e-06 2.1e-06 1.9e-06 1.7e-06 2.1e-06 1.9e-06 1.1e-06 1.65e-06 1.65e-06 1.55e-06 1.8e-06 1.35e-06 1.2e-06 1.4e-06 1.85e-06 1.4e-06 1.15e-06 2.15e-06 1.55e-06 1.5e-06 1.5e-06 1.15e-06 1.3e-06 1.85e-06 1.65e-06 1.7e-06 9.5e-07 1.7e-06
29 1.55e-06 2.05e-06 1.8e-06 2e-06 1.95e-06 1.95e-06 2.1e-06 1.55e-06 1.65e-06 2.2e-06 2e-06 1.6e-06 2.15e-06 1.5e-06 2.15e-06 1.55e-06 1.9e-06 1.4e-06 1.85e-06 1.7e-06 2.4e-06 2.3e-06 1.85e-06 2.1e-06 2.15e-06 2.15e-06 1.95e-06 2.05e-06 1.65e-06 2.7e-06 2.2e-06 2.15e-06 1.75e-06 1.6e-06 2.25e-06 2.2e-06 2e-06 1.75e-06 1.6e-06 2.4e-06 2.15e-06 1.7e-06 1.95e-06 1.85e-06 1.55e-06 2.1e-06 1.65e-06 1.65e-06 1.8e-06 1.75e-06 1.8e-06 1.8e-06 2.3e-06 1.9e-06 1.85e-06 1.95e-06 1.7e-06 1.95e-06 2e-06 1.6e-06 1.8e-06 2.3e-06 2.05e-06 1.75e-06 1.6e-06 1.8e-06
30 2.35e-06 2.35e-06 1.95e-06 1.7e-06 1.5e-06 2.7e-06 1.15e-06 2.3e-06 2.3e-06 1.45e-06 1.45e-06 1.75e-06 1.75e-06 2.3e-06 1.75e-06 1.65e-06 1.45e-06 1.95e-06 1.95e-06 2.4e-06 1.35e-06 1.8e-06 2.25e-06 1.15e-06 2.35e-06 2.15e-06 2.1e-06 1.7e-06 1.7e-06 2.2e-06 2.2e-06 1.35e-06 1.8e-06 1.8e-06 1.9e-06 1.45e-06 2.4e-06 1.75e-06 1.75e-06 1.55e-06 2.5e-06 2.45e-06 2.1e-06 2.15e-06 1.65e-06 1.2e-06 1.9e-06 1.75e-06 1.9e-06 1.45e-06 2.5e-06 1.5e-06 1.75e-06 1.95e-06 1.85e-06 2.6e-06 2.1e-06 2e-06 1.5e-06 1.8e-06 2.2e-06 1.75e-06 1.7e-06 1.95e-06 2.35e-06 1.95e-06
31 2.25e-06 2.2e-06 1.8e-06 1.7e-06 1.55e-06 2.6e-06 1.25e-06 2.2e-06 2.1e-06 1.65e-06 1.6e-06 1.75e-06 1.9e-06 2.2e-06 1.75e-06 1.8e-06 1.5e-06 1.9e-06 1.8e-06 2.25e-06 1.4e-06 1.55e-06 2.1e-06 1.25e-06 2.15e-06 2.1e-06 2.1e-06 1.6e-06 1.8e-06 2.15e-06 1.35e-06 2e-06 1.9e-06 1.75e-06 1.7e-06 1.3e-06 2.2e-06 1.85e-06 1.8e-06 1.45e-06 2.3e-06 2.35e-06 2.05e-06 2e-06 1.8e-06 1.25e-06 1.55e-06 1.75e-06 1.85e-06 1.35e-06 2.35e-06 1.4e-06 1.65e-06 2e-06 1.95e-06 2.4e-06 2.15e-06 1.9e-06 1.5e-06 1.75e-06 2.1e-06 1.65e-06 1.7e-06 1.8e-06 2.2e-06 1.8e-06
32 2.2e-06 2.2e-06 1.55e-06 2.2e-06 1.9e-06 2.3e-06 1.7e-06 2.3e-06 2.3e-06 1.1e-06 1.7e-06 1.65e-06 1.55e-06 1.45e-06 2e-06 1.35e-06 1.85e-06 1.75e-06 1.95e-06 2e-06 1.75e-06 2e-06 2.25e-06 1.55e-06 2.3e-06 2.05e-06 2.1e-06 1.9e-06 1.7e-06 1.75e-06 1.8e-06 1.9e-06 2.1e-06 1.5e-06 2.3e-06 1.95e-06 2.15e-06 1.9e-06 2.1e-06 2.1e-06 2.4e-06 2.3e-06 2.2e-06 2.45e-06 1.35e-06 1.8e-06 2.2e-06 1.85e-06 2e-06 1.55e-06 2.1e-06 1.6e-06 2e-06 1.95e-06 2e-06 2.45e-06 1.5e-06 1.75e-06 1.7e-06 1.5e-06 2.1e-06 2e-06 1.8e-06 2.3e-06 1.8e-06 2.3e-06
33 1.65e-06 1.65e-06 1.55e-06 2.15e-06 1.55e-06 1.6e-06 1.7e-06 1.7e-06 1.6e-06 1.85e-06 1.55e-06 1.1e-06 1.85e-06 1.15e-06 1.8e-06 1.25e-06 1.5e-06 1.65e-06 1.55e-06 1.25e-06 2e-06 1.85e-06 1.45e-06 1.65e-06 1.8e-06 1.75e-06 1.95e-06 1.7e-06 1.15e-06 1.6e-06 1.8e-06 1.75e-06 1.5e-06 1.8e-06 1.85e-06 1.85e-06 1.65e-06 1.35e-06 1.7e-06 2.05e-06 1.9e-06 1.75e-06 2e-06 2e-06 1.25e-06 1.7e-06 1.75e-06 1.5e-06 1.7e-06 1.3e-06 1.3e-06 1.35e-06 1.85e-06 1.55e-06 1.45e-06 2.1e-06 1.5e-06 1.45e-06 1.35e-06 9e-07 1.35e-06 1.85e-06 1.6e-06 1.85e-06 1e-06 1.85e-06
34 2.3e-06 1.65e-06 1.95e-06 2.4e-06 1.15e-06 2.35e-06 1.85e-06 2.15e-06 2.05e-06 2.3e-06 1.7e-06 1.65e-06 2.3e-06 2.25e-06 2.35e-06 1.75e-06 1.1e-06 2.05e-06 2.2e-06 2.15e-06 2.4e-06 1.85e-06 2e-06 2.05e-06 2.5e-06 2.35e-06 2.3e-06 2.1e-06 1.65e-06 2.25e-06 1.9e-06 1.7e-06 2.3e-06 1.85e-06 1.7e-06 1.7e-06 2.6e-06 1.65e-06 1.6e-06 1.8e-06 2.65e-06 2.4e-06 2.3e-06 1.5e-06 1.75e-06 1.7e-06 1.6e-06 1.85e-06 2.05e-06 1.2e-06 2.25e-06 1.25e-06 1.65e-06 1.9e-06 1.75e-06 2.85e-06 2.3e-06 2.2e-06 1.8e-06 1.85e-06 2e-06 1.65e-06 2.35e-06 1.5e-06 2.15e-06 1.5e-06
35 2.3e-06 2.05e-06 1.9e-06 1.8e-06 1.35e-06 2.65e-06 1.35e-06 2.3e-06 2.25e-06 1.75e-06 1.65e-06 1.85e-06 2e-06 2.25e-06 1.85e-06 1.85e-06 1.3e-06 1.9e-06 1.9e-06 2.35e-06 1.45e-06 1.75e-06 2.2e-06 1.35e-06 2.3e-06 2.15e-06 2.1e-06 1.75e-06 1.9e-06 2.2e-06 1.45e-06 1.3e-06 1.95e-06 1.85e-06 1.7e-06 2.2e-06 2.4e-06 1.95e-06 1.8e-06 1.65e-06 2.5e-06 2.4e-06 2.1e-06 1.9e-06 1.85e-06 1.25e-06 1.85e-06 1.8e-06 1.9e-06 1.15e-06 2.45e-06 1.2e-06 1.8e-06 2.1e-06 2.05e-06 2.6e-06 2.2e-06 1.95e-06 1.6e-06 1.85e-06 2.2e-06 1.8e-06 1.8e-06 2e-06 2.3e-06 2e-06
36 1.75e-06 2.1e-06 1.9e-06 2.45e-06 2.4e-06 1.5e-06 2.3e-06 1.8e-06 1.65e-06 2.65e-06 2.3e-06 1.65e-06 2.55e-06 1.5e-06 1.9e-06 1.95e-06 2.35e-06 2.25e-06 1.95e-06 1.3e-06 2.4e-06 2.4e-06 1.75e-06 2.3e-06 1.55e-06 1.95e-06 2.4e-06 1.85e-06 1.7e-06 2e-06 2.4e-06 2.2e-06 2.15e-06 1.65e-06 2.6e-06 2.4e-06 2.2e-06 1.75e-06 2.3e-06 2.55e-06 1.25e-06 1.85e-06 2.45e-06 2.55e-06 1.95e-06 2.3e-06 2.2e-06 2.1e-06 2.15e-06 2.2e-06 1.4e-06 2.25e-06 2.45e-06 1.95e-06 1.85e-06 1.45e-06 2.05e-06 1.8e-06 2.05e-06 1.65e-06 1.65e-06 2.45e-06 1.85e-06 2.35e-06 1.25e-06 2.35e-06
37 1.7e-06 1.7e-06 1.7e-06 2.25e-06 1.25e-06 1.5e-06 1.7e-06 1.35e-06 1.25e-06 2.2e-06 1.5e-06 1.1e-06 2.1e-06 1.5e-06 1.7e-06 1.25e-06 1.2e-06 1.8e-06 1.85e-06 1.1e-06 2.35e-06 1.95e-06 1.25e-06 2e-06 1.9e-06 1.65e-06 2e-06 1.85e-06 1.05e-06 1.75e-06 1.75e-06 1.85e-06 1.9e-06 1.35e-06 1.65e-06 1.95e-06 1.75e-06 1.7e-06 1.45e-06 2.15e-06 1.6e-06 1.8e-06 2.1e-06 1.85e-06 1.25e-06 1.7e-06 1.6e-06 1.55e-06 1.8e-06 1.4e-06 1.2e-06 1.45e-06 1.9e-06 1.2e-06 9.5e-07 2e-06 1.8e-06 1.75e-06 1.6e-06 1.35e-06 1.2e-06 1.9e-06 1.9e-06 1.65e-06 1.3e-06 1.65e-06
38 1.6e-06 1.95e-06 2.05e-06 1.7e-06 1.3e-06 2.25e-06 1.75e-06 1.4e-06 1.5e-06 2e-06 1.6e-06 1.5e-06 1.95e-06 2.15e-06 2.1e-06 1.65e-06 1.25e-06 1.4e-06 1.95e-06 1.95e-06 2.25e-06 2e-06 1.7e-06 1.9e-06 2.25e-06 2.15e-06 1.8e-06 1.85e-06 1.5e-06 1.6e-06 1.75e-06 1.8e-06 2.1e-06 1.7e-06 1.6e-06 1.8e-06 2.3e-06 1.45e-06 1.9e-06 2.05e-06 2.3e-06 1.75e-06 1.7e-06 1.3e-06 1.65e-06 1.55e-06 1.2e-06 1.35e-06 1.55e-06 1.35e-06 2.05e-06 1.4e-06 1.95e-06 1.7e-06 1.55e-06 2.15e-06 2.05e-06 2.1e-06 1.65e-06 1.7e-06 1.75e-06 1.95e-06 2.15e-06 1.25e-06 2e-06 1.3e-06
39 2.5e-06 2.5e-06 2.1e-06 1.85e-06 1.9e-06 2.85e-06 1.45e-06 2.45e-06 2.5e-06 1.75e-06 1.9e-06 2.05e-06 2e-06 2.55e-06 1.95e-06 2.1e-06 1.85e-06 2.2e-06 2.1e-06 2.6e-06 1.6e-06 1.95e-06 2.45e-06 1.45e-06 2.5e-06 2.4e-06 2.4e-06 1.9e-06 2.1e-06 2.4e-06 1.55e-06 1.45e-06 2.1e-06 2.05e-06 1.8e-06 1.65e-06 2.55e-06 2.15e-06 2.05e-06 2.6e-06 2.65e-06 2.6e-06 2.3e-06 2.25e-06 2.1e-06 1.55e-06 1.95e-06 2.05e-06 2.15e-06 1.7e-06 2.7e-06 1.75e-06 1.75e-06 2.2e-06 2.25e-06 2.7e-06 2.35e-06 2.25e-06 1.8e-06 2.05e-06 2.4e-06 1.75e-06 1.9e-06 1.85e-06 2.55e-06 1.85e-06
40 1.9e-06 2.3e-06 2.1e-06 2.5e-06 2.45e-06 1.55e-06 2.35e-06 1.6e-06 1.45e-06 2.8e-06 2.4e-06 1.85e-06 2.75e-06 1.85e-06 1.8e-06 2.15e-06 2.4e-06 2.4e-06 2.2e-06 1.3e-06 2.55e-06 2.5e-06 1.65e-06 2.45e-06 1.65e-06 1.85e-06 2.45e-06 1.85e-06 1.9e-06 2.15e-06 2.5e-06 2.3e-06 2.4e-06 1.9e-06 2.65e-06 2.5e-06 1.25e-06 1.6e-06 2.3e-06 2.65e-06 1.9e-06 2e-06 2.5e-06 2.55e-06 2.15e-06 2.4e-06 2.2e-06 2.15e-06 2.2e-06 2.3e-06 1.4e-06 2.35e-06 2.55e-06 1.8e-06 1.7e-06 1.35e-06 2.35e-06 2.05e-06 2.2e-06 1.9e-06 1.6e-06 2.55e-06 2.1e-06 2.35e-06 1.6e-06 2.35e-06
41 1.35e-06 2e-06 2.05e-06 2.15e-06 2.15e-06 1.65e-06 2.35e-06 1.5e-06 1.6e-06 2.65e-06 2.2e-06 1.65e-06 2.35e-06 1.75e-06 2.2e-06 2e-06 2.1e-06 1.75e-06 1.95e-06 1.55e-06 2.6e-06 2.45e-06 1.7e-06 2.45e-06 2e-06 2.15e-06 2.1e-06 2.2e-06 1.7e-06 1.7e-06 2.45e-06 2.35e-06 2.3e-06 1.75e-06 2.4e-06 2.4e-06 1.85e-06 1.8e-06 1.75e-06 2.6e-06 2e-06 2.6e-06 1.85e-06 1.95e-06 2e-06 2.35e-06 1.75e-06 1.8e-06 1.9e-06 2.05e-06 1.65e-06 2.1e-06 2.45e-06 1.95e-06 1.9e-06 1.8e-06 2e-06 1.95e-06 2.05e-06 1.75e-06 1.7e-06 2.45e-06 2.1e-06 1.85e-06 1.45e-06 1.8e-06
42 1.9e-06 2.45e-06 2.15e-06 1.95e-06 2e-06 2.55e-06 2e-06 1.95e-06 2.05e-06 2.05e-06 1.6e-06 2.05e-06 2.2e-06 2.45e-06 2.35e-06 2.1e-06 1.95e-06 1.7e-06 2.25e-06 2.45e-06 2.05e-06 2.1e-06 2.2e-06 1.95e-06 2.4e-06 2.25e-06 1.7e-06 1.85e-06 2.1e-06 1.95e-06 2.1e-06 2.05e-06 2.2e-06 2e-06 2.3e-06 2.1e-06 2.45e-06 2.1e-06 1.7e-06 2.3e-06 2.5e-06 1.85e-06 2.8e-06 1.95e-06 2.1e-06 2e-06 1.75e-06 1.6e-06 1.5e-06 1.75e-06 2.55e-06 1.8e-06 2.1e-06 2.25e-06 2.2e-06 2.25e-06 2.35e-06 2.15e-06 1.8e-06 2e-06 2.25e-06 2.1e-06 2.35e-06 1.85e-06 2.45e-06 1.8e-06
43 1.8e-06 1.8e-06 2.35e-06 1.9e-06 1.55e-06 2.3e-06 2.05e-06 1.6e-06 1.7e-06 2.35e-06 2.05e-06 1.85e-06 2.25e-06 2.4e-06 2.35e-06 2.1e-06 1.5e-06 1.7e-06 2.1e-06 2.15e-06 2.55e-06 2.25e-06 1.9e-06 2.2e-06 2.45e-06 2.45e-06 2.15e-06 2.15e-06 1.9e-06 1.85e-06 2.15e-06 2e-06 2.45e-06 2e-06 1.5e-06 1.9e-06 2.55e-06 1.85e-06 1.3e-06 2.25e-06 2.55e-06 1.95e-06 1.95e-06 2.2e-06 2.1e-06 1.95e-06 1.35e-06 1.7e-06 1.85e-06 1.5e-06 2.25e-06 1.55e-06 2.3e-06 2e-06 1.95e-06 2.35e-06 2.35e-06 2.35e-06 2e-06 2e-06 2e-06 2.3e-06 2.4e-06 1.5e-06 2.2e-06 1.55e-06
44 1.9e-06 1.75e-06 1.3e-06 2.35e-06 1.25e-06 1.85e-06 1.65e-06 1.95e-06 1.85e-06 1.9e-06 1.3e-06 1.15e-06 2e-06 1.15e-06 2e-06 8.5e-07 1.2e-06 1.55e-06 1.8e-06 1.55e-06 2.05e-06 1.8e-06 1.8e-06 1.75e-06 2.1e-06 1.85e-06 1.85e-06 1.85e-06 1.1e-06 1.55e-06 1.65e-06 1.8e-06 1.35e-06 1.25e-06 1.75e-06 1.85e-06 1.95e-06 1.25e-06 1.65e-06 2.1e-06 2.15e-06 2e-06 2.1e-06 2.1e-06 1.7e-06 1.6e-06 1.85e-06 1.55e-06 1.8e-06 1.25e-06 1.65e-06 1.3e-06 1.75e-06 1.6e-06 1.35e-06 2.35e-06 1.45e-06 1.6e-06 1.6e-06 1.25e-06 1.65e-06 1.75e-06 1.85e-06 1.9e-06 1.4e-06 1.9e-06
45 2.25e-06 2.15e-06 1.85e-06 1.7e-06 1.35e-06 2.6e-06 1.2e-06 2.2e-06 2.2e-06 1.55e-06 1.4e-06 1.65e-06 1.85e-06 2.2e-06 1.75e-06 1.6e-06 1.3e-06 1.85e-06 1.85e-06 2.3e-06 1.35e-06 1.7e-06 2.15e-06 1.2e-06 2.25e-06 2.05e-06 2e-06 1.6e-06 1.65e-06 2.1e-06 1.2e-06 1.25e-06 1.8e-06 1.7e-06 1.7e-06 1.25e-06 2.3e-06 1.7e-06 1.55e-06 1.55e-06 2.4e-06 2.35e-06 2e-06 1.95e-06 1.6e-06 2e-06 1.8e-06 1.65e-06 1.8e-06 1.25e-06 2.4e-06 1.3e-06 1.65e-06 1.95e-06 1.8e-06 2.5e-06 2.1e-06 1.9e-06 1.4e-06 1.7e-06 2.1e-06 1.65e-06 1.7e-06 1.85e-06 2.25e-06 1.85e-06
46 1.6e-06 2e-06 2e-06 1.7e-06 1.5e-06 2.25e-06 1.8e-06 1.4e-06 1.4e-06 2.1e-06 1.8e-06 1.6e-06 2e-06 2.15e-06 2.1e-06 1.85e-06 1.45e-06 1.45e-06 1.9e-06 1.9e-06 2.3e-06 1.85e-06 1.65e-06 1.95e-06 2.15e-06 2.2e-06 1.9e-06 1.85e-06 1.65e-06 1.65e-06 1.9e-06 1.55e-06 2.2e-06 1.75e-06 1.6e-06 1.85e-06 2.2e-06 1.6e-06 1.2e-06 1.95e-06 2.2e-06 1.75e-06 1.75e-06 1.35e-06 1.85e-06 1.8e-06 1.9e-06 1.45e-06 1.6e-06 1.45e-06 2e-06 1.5e-06 1.95e-06 1.75e-06 1.7e-06 2.05e-06 2.1e-06 2.1e-06 1.75e-06 1.75e-06 1.75e-06 1.95e-06 2.15e-06 1.2e-06 1.95e-06 1.25e-06
47 1.7e-06 2e-06 1.8e-06 1.85e-06 1.45e-06 2.2e-06 1.7e-06 1.65e-06 1.55e-06 1.85e-06 1.4e-06 1.5e-06 1.95e-06 1.95e-06 2.05e-06 1.55e-06 1.4e-06 1.35e-06 1.95e-06 1.95e-06 1.9e-06 1.75e-06 1.6e-06 1.6e-06 2.05e-06 1.9e-06 1.35e-06 1.5e-06 1.55e-06 1.65e-06 1.75e-06 1.75e-06 1.85e-06 1.5e-06 1.85e-06 1.8e-06 2.1e-06 1.55e-06 1.35e-06 2.05e-06 2.15e-06 1.8e-06 1.6e-06 1.7e-06 1.55e-06 1.65e-06 1.45e-06 1.8e-06 1.3e-06 1.25e-06 2.05e-06 1.25e-06 1.75e-06 1.8e-06 1.65e-06 2.15e-06 1.95e-06 1.8e-06 1.45e-06 1.5e-06 1.75e-06 1.75e-06 2.05e-06 1.55e-06 1.95e-06 1.55e-06
48 1.75e-06 2.2e-06 1.85e-06 1.9e-06 1.7e-06 2.3e-06 1.8e-06 1.8e-06 1.7e-06 1.95e-06 1.35e-06 1.75e-06 2.1e-06 2.15e-06 2.15e-06 1.8e-06 1.65e-06 1.5e-06 2.15e-06 2.15e-06 1.85e-06 1.8e-06 1.9e-06 1.75e-06 2.1e-06 1.95e-06 1.45e-06 1.55e-06 1.8e-06 1.8e-06 1.9e-06 1.85e-06 2e-06 1.7e-06 2.05e-06 1.9e-06 2.15e-06 1.8e-06 1.55e-06 2.15e-06 2.2e-06 1.9e-06 1.5e-06 1.85e-06 1.8e-06 1.8e-06 1.6e-06 1.3e-06 2.2e-06 1.45e-06 2.25e-06 1.5e-06 1.8e-06 2e-06 1.9e-06 2.2e-06 2.15e-06 1.85e-06 1.5e-06 1.7e-06 1.95e-06 1.8e-06 2.15e-06 1.7e-06 2.15e-06 1.75e-06
49 1.95e-06 1.55e-06 1.5e-06 1.95e-06 8e-07 2.2e-06 1.35e-06 1.9e-06 1.75e-06 1.55e-06 1.15e-06 1.3e-06 1.75e-06 1.7e-06 1.9e-06 1.25e-06 7.5e-07 1.45e-06 1.75e-06 1.85e-06 1.65e-06 1.4e-06 1.7e-06 1.35e-06 2.1e-06 1.8e-06 1.65e-06 1.5e-06 1.35e-06 1.75e-06 1.45e-06 1.35e-06 1.55e-06 1.3e-06 1.2e-06 1.15e-06 2.2e-06 1.4e-06 1.35e-06 1.7e-06 2.3e-06 2.05e-06 1.75e-06 1.5e-06 1.25e-06 1.25e-06 1.45e-06 1.25e-06 1.45e-06 1.2e-06 1.95e-06 6.5e-07 1.45e-06 1.6e-06 1.5e-06 2.5e-06 1.75e-06 1.6e-06 1.25e-06 1.3e-06 1.7e-06 1.45e-06 1.85e-06 1.6e-06 1.8e-06 1.6e-06
50 1.55e-06 1.6e-06 1.9e-06 2.65e-06 2e-06 1.05e-06 2.35e-06 1.35e-06 1.2e-06 2.8e-06 2.3e-06 1.2e-06 2.45e-06 1e-06 1.8e-06 1.65e-06 1.95e-06 2.15e-06 1.7e-06 5.5e-07 2.9e-06 2.5e-06 1.05e-06 2.55e-06 1.65e-06 1.8e-06 2.5e-06 2.3e-06 1.2e-06 1.8e-06 2.5e-06 2.35e-06 2.1e-06 1.3e-06 2.25e-06 2.45e-06 1.4e-06 1.2e-06 2.05e-06 2.7e-06 1.4e-06 1.65e-06 2.55e-06 2.25e-06 1.65e-06 2.4e-06 2e-06 2.05e-06 2.25e-06 1.95e-06 1.1e-06 2e-06 2.55e-06 1.4e-06 1.3e-06 1.8e-06 1.75e-06 1.65e-06 2.05e-06 1.3e-06 1.05e-06 2.55e-06 1.8e-06 2.15e-06 6e-07 2.15e-06
51 2e-06 1.6e-06 1.55e-06 2e-06 8.5e-07 2.25e-06 1.4e-06 1.95e-06 1.8e-06 1.6e-06 1.2e-06 1.35e-06 1.8e-06 1.75e-06 1.95e-06 1.3e-06 8e-07 1.5e-06 1.8e-06 1.9e-06 1.7e-06 1.45e-06 1.75e-06 1.35e-06 2.15e-06 1.85e-06 1.7e-06 1.55e-06 1.4e-06 1.8e-06 1.5e-06 1.4e-06 1.6e-06 1.35e-06 1.25e-06 1.2e-06 2.25e-06 1.45e-06 1.4e-06 1.75e-06 2.35e-06 2.1e-06 1.8e-06 1.55e-06 1.3e-06 1.3e-06 1.5e-06 1.25e-06 1.5e-06 6.5e-07 2e-06 1.3e-06 1.5e-06 1.65e-06 1.55e-06 2.55e-06 1.8e-06 1.65e-06 1.3e-06 1.35e-06 1.75e-06 1.5e-06 1.9e-06 1.65e-06 1.85e-06 1.65e-06
52 2.35e-06 2.3e-06 1.7e-06 2.3e-06 1.6e-06 2.6e-06 1.7e-06 2.45e-06 2.35e-06 1.9e-06 1.45e-06 1.85e-06 2.2e-06 2.3e-06 2.25e-06 1.75e-06 1.55e-06 2e-06 2.3e-06 2.45e-06 1.6e-06 1.4e-06 2.3e-06 1.7e-06 2.4e-06 1.95e-06 2e-06 1.75e-06 1.85e-06 2.3e-06 1.75e-06 1.65e-06 2e-06 1.85e-06 1.65e-06 1.8e-06 2.45e-06 1.9e-06 1.95e-06 1.75e-06 2.55e-06 2.45e-06 2.1e-06 2.3e-06 1.75e-06 1.65e-06 1.95e-06 1.75e-06 1.8e-06 1.45e-06 2.55e-06 1.5e-06 2.3e-06 2.15e-06 2e-06 2.75e-06 2.3e-06 1.8e-06 1.4e-06 1.85e-06 2.25e-06 1.25e-06 2.2e-06 1.8e-06 2.4e-06 1.8e-06
53 1.85e-06 1.9e-06 1.9e-06 2.25e-06 1.6e-06 1.6e-06 1.8e-06 1.5e-06 1.45e-06 2.1e-06 1.85e-06 1.3e-06 2e-06 1.7e-06 1.75e-06 1.6e-06 1.55e-06 1.95e-06 2e-06 1.3e-06 2.4e-06 2.15e-06 1.45e-06 2.05e-06 2.05e-06 1.85e-06 2.25e-06 2e-06 1.4e-06 1.9e-06 1.95e-06 2e-06 1.95e-06 1.55e-06 1.9e-06 2.1e-06 1.95e-06 1.2e-06 1.7e-06 2.2e-06 1.8e-06 1.95e-06 2.25e-06 2e-06 1.6e-06 1.95e-06 1.75e-06 1.8e-06 2e-06 1.6e-06 1.4e-06 1.65e-06 2.15e-06 2.1e-06 1.2e-06 2.15e-06 1.85e-06 1.95e-06 1.85e-06 1.55e-06 1.4e-06 2.15e-06 1.95e-06 1.85e-06 1.5e-06 1.85e-06
54 1.8e-06 1.8e-06 1.8e-06 2.35e-06 1.35e-06 1.5e-06 1.8e-06 1.45e-06 1.35e-06 2.3e-06 1.6e-06 1.2e-06 2.2e-06 1.6e-06 1.8e-06 1.35e-06 1.3e-06 1.9e-06 1.95e-06 1.2e-06 2.45e-06 2.05e-06 1.35e-06 2.1e-06 2e-06 1.75e-06 2.1e-06 1.95e-06 1.15e-06 1.85e-06 1.85e-06 1.95e-06 2e-06 1.45e-06 1.75e-06 2.05e-06 1.85e-06 9.5e-07 1.55e-06 2.25e-06 1.7e-06 1.9e-06 2.2e-06 1.95e-06 1.35e-06 1.8e-06 1.7e-06 1.65e-06 1.9e-06 1.5e-06 1.3e-06 1.55e-06 2e-06 1.2e-06 1.9e-06 2.1e-06 1.9e-06 1.85e-06 1.7e-06 1.45e-06 1.3e-06 2e-06 2e-06 1.75e-06 1.4e-06 1.75e-06
55 1.75e-06 2.5e-06 2.3e-06 2.2e-06 2.7e-06 1.85e-06 2.5e-06 1.6e-06 1.65e-06 2.75e-06 2.6e-06 2.1e-06 2.7e-06 2.05e-06 2.05e-06 2.35e-06 2.65e-06 2.25e-06 2.15e-06 1.7e-06 2.6e-06 2.7e-06 2e-06 2.5e-06 1.85e-06 2.2e-06 2.45e-06 2e-06 2.15e-06 1.95e-06 2.6e-06 2.4e-06 2.45e-06 2.1e-06 2.85e-06 2.6e-06 1.45e-06 2e-06 2.15e-06 2.7e-06 1.35e-06 1.8e-06 2.25e-06 2.35e-06 2.35e-06 2.5e-06 2.05e-06 2.15e-06 2.2e-06 2.5e-06 1.8e-06 2.55e-06 2.75e-06 2.15e-06 2.1e-06 2.2e-06 2.4e-06 2.25e-06 2.4e-06 2.1e-06 1.95e-06 2.75e-06 2.2e-06 2.2e-06 1.85e-06 2.15e-06
56 1.9e-06 2e-06 1.7e-06 2.35e-06 1.95e-06 1.95e-06 2e-06 2.05e-06 2.05e-06 1.9e-06 2e-06 1.5e-06 1.55e-06 1.3e-06 2.1e-06 1.45e-06 1.9e-06 1.75e-06 1.9e-06 1.65e-06 2.3e-06 2.3e-06 2e-06 2e-06 2.2e-06 2.2e-06 2.25e-06 2.2e-06 1.55e-06 1.7e-06 2.1e-06 2.15e-06 1.5e-06 1.5e-06 2.3e-06 2.2e-06 2.05e-06 1.8e-06 2.05e-06 2.35e-06 2.35e-06 2e-06 2.35e-06 2.35e-06 1.45e-06 2.1e-06 2.1e-06 1.95e-06 2.15e-06 1.75e-06 1.75e-06 1.8e-06 2.3e-06 1.85e-06 1.9e-06 2.4e-06 2.3e-06 1.85e-06 2e-06 1.5e-06 1.55e-06 2.3e-06 1.85e-06 2.2e-06 1.4e-06 2.2e-06
