 slim_762395566 slim_762395615 slim_762395584 slim_762395582 slim_762395613 slim_762395609 slim_762395598 slim_762395568 slim_762395585 slim_762395614 slim_762395581 slim_762395579 slim_762395611 slim_762395603 slim_762395601 slim_762395573 slim_762395593 slim_762395576 slim_762395612 slim_762395594 slim_762395608 slim_762395595 slim_762395600 slim_762395578 slim_762395570 slim_762395591 slim_762395606 slim_762395583 slim_762395599 slim_762395580 slim_762395605 slim_762395571 slim_762395590 slim_762395589 slim_762395617 slim_762395596 slim_762395572 slim_762395616 slim_762395588 slim_762395602 slim_762395574 slim_762395604 slim_762395607 slim_762395567 slim_762395587 slim_762395592 slim_762395597 slim_762395575 slim_762395565 slim_762395586 slim_762395569 slim_762395564 slim_762395577 slim_762395610
35 1.85e-06 2.6e-06 1.85e-06 2.5e-06 1.95e-06 2.55e-06 1.8e-06 2.05e-06 1.8e-06 2.45e-06 2.7e-06 2.6e-06 1.8e-06 1.8e-06 2.4e-06 2e-06 2.3e-06 2.4e-06 2.25e-06 2.45e-06 2.15e-06 2.5e-06 2.55e-06 1.9e-06 2e-06 1.95e-06 2.35e-06 1.95e-06 2.1e-06 2.15e-06 2.3e-06 2.35e-06 2.05e-06 2.55e-06 2.3e-06 3.5e-06 2.5e-06 2.7e-06 1.95e-06 2.15e-06 2.2e-06 2.15e-06 2.3e-06 2.05e-06 2.3e-06 2.25e-06 2.1e-06 2.25e-06 1.9e-06 2.05e-06 2.05e-06 2.55e-06 1.85e-06 2.1e-06
36 1.95e-06 2.65e-06 2.5e-06 2.3e-06 2.55e-06 2.75e-06 2e-06 2.35e-06 1.95e-06 2.65e-06 2.2e-06 2.05e-06 2.9e-06 2.45e-06 2.1e-06 2.05e-06 2.05e-06 1.85e-06 2.7e-06 2.2e-06 2.15e-06 2.4e-06 1.8e-06 2e-06 2.5e-06 2.4e-06 2.3e-06 2e-06 2.15e-06 2.1e-06 2.55e-06 2.55e-06 1.8e-06 1.95e-06 2.55e-06 2.5e-06 3.5e-06 2.75e-06 2.6e-06 2.85e-06 2.45e-06 2.85e-06 2.85e-06 2.8e-06 1.95e-06 2.45e-06 2.1e-06 2.8e-06 2.1e-06 2.35e-06 2.6e-06 2.25e-06 2.4e-06 2.25e-06
37 1.95e-06 1.85e-06 2.65e-06 2.6e-06 2.4e-06 2.6e-06 1.65e-06 2.55e-06 2.5e-06 1.95e-06 2e-06 2.35e-06 2.5e-06 2.1e-06 3e-06 2.3e-06 2.3e-06 2e-06 2.3e-06 1.95e-06 2.8e-06 2.75e-06 2.8e-06 2.15e-06 2.85e-06 2.9e-06 2.55e-06 2.6e-06 2.1e-06 2e-06 2.5e-06 2.65e-06 2.85e-06 2.4e-06 1.65e-06 2.7e-06 2.75e-06 2.7e-06 2.75e-06 2.15e-06 2.75e-06 2.1e-06 2.65e-06 2.45e-06 2.4e-06 2.15e-06 2.75e-06 2.6e-06 2.4e-06 2.55e-06 2.95e-06 2.35e-06 2.35e-06 2e-06
38 1.85e-06 2.7e-06 1.9e-06 2.55e-06 2.05e-06 2.65e-06 1.9e-06 2.1e-06 1.9e-06 2.5e-06 2.75e-06 2.7e-06 1.85e-06 1.85e-06 2.5e-06 2.1e-06 2.45e-06 2.45e-06 2.3e-06 2.55e-06 2.25e-06 2.65e-06 2.65e-06 1.95e-06 2e-06 2e-06 2.45e-06 2e-06 2.15e-06 2.25e-06 2.4e-06 2.35e-06 2.15e-06 2.6e-06 2.3e-06 1.95e-06 2.6e-06 2.75e-06 3.7e-06 2.15e-06 2.3e-06 2.2e-06 2.3e-06 2.1e-06 2.35e-06 2.35e-06 2.2e-06 2.35e-06 2e-06 2.1e-06 2.2e-06 2.65e-06 1.85e-06 2.2e-06
39 2.1e-06 2.55e-06 2.1e-06 2.6e-06 2.15e-06 2.4e-06 1.8e-06 2.3e-06 2.65e-06 2.05e-06 2.15e-06 2.55e-06 1.5e-06 1.55e-06 2.75e-06 2.45e-06 2.5e-06 2.2e-06 2.05e-06 2.25e-06 2.5e-06 2.95e-06 2.9e-06 2.3e-06 2.25e-06 2.2e-06 2.75e-06 2.75e-06 1.9e-06 2.05e-06 2.3e-06 2.1e-06 2.9e-06 2.65e-06 1.7e-06 2.15e-06 2.85e-06 2.15e-06 2.15e-06 3e-06 2.5e-06 1.6e-06 2.1e-06 1.75e-06 2.6e-06 2.3e-06 2.45e-06 2.1e-06 2.55e-06 2.3e-06 2.4e-06 2.55e-06 2.05e-06 2.15e-06
40 2.05e-06 2.6e-06 2.2e-06 2.35e-06 2.15e-06 2.1e-06 2.05e-06 1.85e-06 2.05e-06 2.6e-06 2.6e-06 2.45e-06 2.1e-06 2.15e-06 2.5e-06 1.85e-06 2.3e-06 2.3e-06 2.2e-06 2.45e-06 2.05e-06 2.35e-06 2.5e-06 2.05e-06 2.3e-06 2.35e-06 2.05e-06 1.85e-06 2.45e-06 2.05e-06 2.1e-06 2.45e-06 2.25e-06 2.45e-06 2.25e-06 2.2e-06 2.45e-06 2.75e-06 2.3e-06 2.5e-06 3.3e-06 2.5e-06 2.45e-06 1.8e-06 2.25e-06 2.45e-06 2e-06 2.4e-06 2.15e-06 1.85e-06 2.25e-06 2.45e-06 2e-06 2.25e-06
41 2.1e-06 2.55e-06 2.1e-06 2.6e-06 2.15e-06 2.4e-06 1.8e-06 2.3e-06 2.65e-06 2.1e-06 2.2e-06 2.55e-06 1.5e-06 1.55e-06 2.75e-06 2.45e-06 2.5e-06 2.2e-06 2.05e-06 2.25e-06 2.5e-06 2.95e-06 2.9e-06 2.3e-06 2.3e-06 2.25e-06 2.75e-06 2.75e-06 1.9e-06 2.05e-06 2.3e-06 2.15e-06 2.9e-06 2.6e-06 1.7e-06 2.15e-06 2.85e-06 2.1e-06 2.2e-06 1.6e-06 2.5e-06 3e-06 2.15e-06 1.75e-06 2.6e-06 2.3e-06 2.45e-06 2.1e-06 2.55e-06 2.3e-06 2.4e-06 2.55e-06 2.05e-06 2.15e-06
42 2.4e-06 2.55e-06 2.3e-06 2.8e-06 2.25e-06 1.95e-06 2.1e-06 2.4e-06 2.75e-06 2.45e-06 2.65e-06 2.55e-06 1.85e-06 1.9e-06 2.75e-06 2.4e-06 2.55e-06 2.45e-06 1.85e-06 2.35e-06 2.5e-06 2.25e-06 2.9e-06 2.35e-06 2.3e-06 2.3e-06 2.3e-06 2.8e-06 2.25e-06 2.05e-06 2.25e-06 2.2e-06 2.85e-06 2.75e-06 2.25e-06 2.3e-06 2.85e-06 2.65e-06 2.3e-06 2.1e-06 2.45e-06 2.15e-06 3.5e-06 2e-06 2.7e-06 2.35e-06 2.45e-06 1.8e-06 2.65e-06 2.4e-06 2.25e-06 2.5e-06 2.35e-06 2.15e-06
43 2.4e-06 2.6e-06 2e-06 2e-06 2e-06 1.75e-06 2e-06 1.7e-06 3.05e-06 2.75e-06 2.3e-06 2.45e-06 6.5e-07 1.35e-06 2.7e-06 2.8e-06 2.4e-06 1.95e-06 1.65e-06 1.95e-06 2.1e-06 3.2e-06 2.85e-06 2.75e-06 2.2e-06 2.25e-06 3e-06 3.05e-06 1.95e-06 1.85e-06 1.8e-06 1.55e-06 3.4e-06 2.5e-06 2.05e-06 2.05e-06 2.8e-06 2.45e-06 2.1e-06 1.75e-06 1.8e-06 1.75e-06 2e-06 8e-07 2.5e-06 2.8e-06 2.05e-06 1.95e-06 2.95e-06 1.7e-06 2.2e-06 2.45e-06 1.7e-06 2.65e-06
44 1.5e-06 2.4e-06 2.25e-06 1.9e-06 2.15e-06 2.55e-06 1.6e-06 2.05e-06 1.55e-06 2.3e-06 2.05e-06 2e-06 2.65e-06 2.2e-06 2.15e-06 1.8e-06 1.65e-06 1.7e-06 2.35e-06 2.15e-06 2.2e-06 2.15e-06 2e-06 1.65e-06 2.45e-06 2.5e-06 2.05e-06 1.65e-06 2e-06 1.85e-06 2.35e-06 2.3e-06 1.9e-06 1.9e-06 2.2e-06 2.3e-06 1.95e-06 2.4e-06 2.35e-06 2.6e-06 2.25e-06 2.6e-06 2.7e-06 2.5e-06 3e-06 2.1e-06 2.15e-06 2.65e-06 1.7e-06 2.05e-06 2.45e-06 1.9e-06 1.95e-06 1.95e-06
45 1.3e-06 2e-06 2.25e-06 2.85e-06 1.5e-06 2.3e-06 1.15e-06 2.15e-06 1.3e-06 1.35e-06 2.25e-06 2e-06 2.85e-06 2.2e-06 2.7e-06 1.2e-06 1.95e-06 2.2e-06 2e-06 2.55e-06 2.4e-06 1.7e-06 2.5e-06 9.5e-07 2.45e-06 2.5e-06 1.6e-06 1.55e-06 2.3e-06 1.65e-06 2.1e-06 3.1e-06 1.7e-06 2.15e-06 1.75e-06 2.25e-06 2.45e-06 2.15e-06 2.35e-06 2.3e-06 2.45e-06 2.3e-06 2.35e-06 2.8e-06 2.1e-06 0.0 2.35e-06 2.3e-06 1.2e-06 2.15e-06 2.55e-06 2.05e-06 1.95e-06 3e-07
46 1.85e-06 2.6e-06 2.1e-06 2.25e-06 2.2e-06 2.3e-06 1.9e-06 1.9e-06 1.85e-06 2.5e-06 2.55e-06 2.4e-06 2.2e-06 2.05e-06 2.35e-06 1.95e-06 2.25e-06 2.2e-06 2.3e-06 2.2e-06 1.7e-06 2.3e-06 2.15e-06 1.9e-06 2.1e-06 2e-06 2.2e-06 1.9e-06 2.25e-06 2.1e-06 2.05e-06 2.45e-06 1.7e-06 2.3e-06 2.4e-06 2.1e-06 2.1e-06 2.75e-06 2.2e-06 2.45e-06 2e-06 2.45e-06 2.45e-06 2.05e-06 2.15e-06 2.35e-06 3.3e-06 2.4e-06 2e-06 1.9e-06 2.2e-06 2.4e-06 2e-06 2.15e-06
47 2.35e-06 2.5e-06 2.25e-06 2.75e-06 2.2e-06 1.9e-06 2.05e-06 2.35e-06 2.7e-06 2.4e-06 2.6e-06 2.5e-06 1.8e-06 1.85e-06 2.7e-06 2.35e-06 2.5e-06 2.4e-06 1.8e-06 2.3e-06 2.45e-06 2.2e-06 2.85e-06 2.3e-06 2.35e-06 2.3e-06 2.25e-06 2.75e-06 2.2e-06 2e-06 2.2e-06 2.25e-06 2.8e-06 2.7e-06 2.25e-06 2.25e-06 2.8e-06 2.6e-06 2.35e-06 2.1e-06 2.4e-06 2.1e-06 1.8e-06 1.95e-06 2.65e-06 2.3e-06 2.4e-06 3.4e-06 2.6e-06 2.35e-06 2.2e-06 2.45e-06 2.3e-06 2.1e-06
48 8.5e-07 2.2e-06 1.9e-06 2.55e-06 1.35e-06 2.6e-06 1.1e-06 1.8e-06 4e-07 1.6e-06 2.45e-06 2.25e-06 3e-06 2.3e-06 2.35e-06 1e-06 1.7e-06 2.25e-06 2.25e-06 2.7e-06 2.05e-06 1.45e-06 2.15e-06 7e-07 2.15e-06 2.2e-06 1.4e-06 7e-07 2.35e-06 1.95e-06 2.25e-06 3.25e-06 9e-07 1.95e-06 2e-06 1.9e-06 2.1e-06 2.4e-06 2e-06 2.55e-06 2.15e-06 2.55e-06 2.65e-06 2.95e-06 1.7e-06 1.2e-06 2e-06 2.6e-06 8e-07 1.8e-06 2.2e-06 2.2e-06 1.55e-06 1.1e-06
49 1.65e-06 2.5e-06 2e-06 2.2e-06 1.9e-06 2.1e-06 1.7e-06 1.65e-06 1.7e-06 2.3e-06 2.4e-06 2.35e-06 2e-06 1.95e-06 2.45e-06 1.9e-06 2.15e-06 2.1e-06 2.05e-06 2.35e-06 1.95e-06 2.25e-06 2.4e-06 1.75e-06 2.2e-06 2.25e-06 2.15e-06 1.8e-06 2.25e-06 1.95e-06 2e-06 2.45e-06 2.05e-06 2.25e-06 2.15e-06 2.05e-06 2.35e-06 2.55e-06 2.1e-06 2.3e-06 1.85e-06 2.3e-06 2.4e-06 1.7e-06 2.05e-06 2.15e-06 1.9e-06 2.35e-06 1.8e-06 3.3e-06 2.2e-06 2.35e-06 1.7e-06 2e-06
50 2.15e-06 2.8e-06 2.1e-06 2.65e-06 2.25e-06 2.35e-06 2.1e-06 2.2e-06 2.1e-06 2.7e-06 2.85e-06 2.7e-06 2.05e-06 2.05e-06 2.5e-06 2.2e-06 2.45e-06 2.55e-06 2.25e-06 2.55e-06 2.25e-06 2.2e-06 2.65e-06 2.15e-06 2.2e-06 2.15e-06 2.3e-06 2.2e-06 2.35e-06 2.25e-06 2.4e-06 2.45e-06 2.25e-06 2.7e-06 2.55e-06 2.05e-06 2.6e-06 2.95e-06 2.2e-06 2.4e-06 2.25e-06 2.4e-06 2.25e-06 2.2e-06 2.45e-06 2.55e-06 2.2e-06 2.2e-06 2.2e-06 2.2e-06 3.9e-06 2.65e-06 2.15e-06 2.35e-06
51 2e-06 1.95e-06 2.55e-06 2.25e-06 2.25e-06 2.35e-06 1.75e-06 2.35e-06 2.25e-06 1.95e-06 2.1e-06 1.95e-06 2.6e-06 2.25e-06 2.45e-06 2e-06 1.8e-06 1.85e-06 2.25e-06 2.05e-06 2.45e-06 2.3e-06 2.3e-06 1.95e-06 2.65e-06 2.7e-06 2.2e-06 2.3e-06 2.15e-06 1.7e-06 1.95e-06 2.25e-06 2.45e-06 2.1e-06 2.2e-06 2.55e-06 2.25e-06 2.35e-06 2.65e-06 2.55e-06 2.45e-06 2.55e-06 2.5e-06 2.45e-06 1.9e-06 2.05e-06 2.4e-06 2.45e-06 2.2e-06 2.35e-06 2.65e-06 3.1e-06 2.35e-06 1.85e-06
52 1.35e-06 2.4e-06 1.75e-06 2.15e-06 1.6e-06 2.35e-06 1.45e-06 1.7e-06 1.45e-06 2.1e-06 2.35e-06 2.4e-06 1.7e-06 1.7e-06 2.45e-06 1.8e-06 2.1e-06 2.05e-06 1.9e-06 2.35e-06 2.05e-06 2.35e-06 2.45e-06 1.55e-06 2.05e-06 2.1e-06 2.15e-06 1.6e-06 2e-06 1.95e-06 2.1e-06 2.4e-06 1.95e-06 2.2e-06 1.95e-06 1.85e-06 2.4e-06 2.35e-06 1.85e-06 2.05e-06 2e-06 2.05e-06 2.35e-06 1.7e-06 1.95e-06 1.95e-06 2e-06 2.3e-06 1.55e-06 1.7e-06 2.15e-06 2.35e-06 2.7e-06 1.85e-06
53 1.2e-06 1.8e-06 2.1e-06 2.7e-06 1.35e-06 2.1e-06 1.05e-06 2e-06 1.2e-06 1.2e-06 2.1e-06 1.75e-06 2.7e-06 2.05e-06 2.5e-06 9.5e-07 1.8e-06 2.05e-06 1.85e-06 2.35e-06 2.2e-06 1.5e-06 2.3e-06 7.5e-07 2.25e-06 2.3e-06 1.4e-06 1.4e-06 2.15e-06 1.4e-06 1.9e-06 2.9e-06 1.5e-06 2e-06 1.6e-06 2.1e-06 2.25e-06 2e-06 2.2e-06 2.15e-06 2.25e-06 2.15e-06 2.15e-06 2.65e-06 1.95e-06 3e-07 2.15e-06 2.1e-06 1.1e-06 2e-06 2.35e-06 1.85e-06 1.85e-06 6e-07
