 slim_762423360 slim_762423382 slim_762423342 slim_762423371 slim_762423358 slim_762423375 slim_762423343 slim_762423391 slim_762423384 slim_762423347 slim_762423381 slim_762423369 slim_762423376 slim_762423372 slim_762423378 slim_762423374 slim_762423386 slim_762423356 slim_762423361 slim_762423368 slim_762423365 slim_762423373 slim_762423380 slim_762423387 slim_762423366 slim_762423339 slim_762423390 slim_762423353 slim_762423348 slim_762423346 slim_762423370 slim_762423388 slim_762423350 slim_762423345 slim_762423351 slim_762423341 slim_762423383 slim_762423355 slim_762423344 slim_762423349 slim_762423367 slim_762423359 slim_762423392 slim_762423385 slim_762423362 slim_762423364 slim_762423379 slim_762423352 slim_762423389 slim_762423354 slim_762423357 slim_762423377 slim_762423363 slim_762423340
35 1.5e-06 1.5e-06 1.8e-06 1.85e-06 1.05e-06 2.15e-06 1.25e-06 1.75e-06 1.1e-06 1.1e-06 1.2e-06 1.2e-06 1.15e-06 1.55e-06 1.5e-06 1.2e-06 2.35e-06 2e-06 1.1e-06 1.4e-06 1.15e-06 1.55e-06 1.5e-06 1.8e-06 1.55e-06 7e-07 1.85e-06 1.45e-06 1.65e-06 1.15e-06 1.55e-06 1.8e-06 1.1e-06 1.8e-06 7e-07 1.2e-06 1.8e-06 1.15e-06 2.3e-06 1.35e-06 1.65e-06 1.1e-06 1.9e-06 1.25e-06 1.8e-06 8e-07 1.9e-06 1.15e-06 2.3e-06 1.55e-06 2.3e-06 1.1e-06 6.5e-07 1.85e-06
36 2.05e-06 2.05e-06 2.4e-06 1.8e-06 1.8e-06 2.3e-06 1.8e-06 1.6e-06 1.9e-06 2.05e-06 2e-06 1.95e-06 1.75e-06 1.95e-06 1.95e-06 2.05e-06 1.5e-06 1.9e-06 1.95e-06 1.9e-06 1.95e-06 2.05e-06 1.6e-06 1.65e-06 1.8e-06 1.75e-06 1.7e-06 2e-06 2.15e-06 1.9e-06 2e-06 1.75e-06 1.85e-06 1.6e-06 1.85e-06 1.8e-06 2.7e-06 1.7e-06 1.4e-06 2.1e-06 1.75e-06 1.85e-06 2.1e-06 1.8e-06 1.45e-06 1.8e-06 1.65e-06 1.8e-06 1.45e-06 1.8e-06 2.1e-06 1.85e-06 1.8e-06 1.65e-06
37 1.65e-06 1.6e-06 1.6e-06 1.65e-06 1.05e-06 1.85e-06 1.3e-06 1.55e-06 1.35e-06 1.25e-06 1.1e-06 1.25e-06 1e-06 1.35e-06 1.15e-06 1.6e-06 1.9e-06 2e-06 1.5e-06 1.5e-06 1.4e-06 1.4e-06 1.6e-06 1.6e-06 1.4e-06 1.15e-06 1.7e-06 1.6e-06 1.6e-06 1.4e-06 1.4e-06 1.65e-06 9.5e-07 1.4e-06 1.1e-06 1.15e-06 1.7e-06 1.1e-06 1.85e-06 1.25e-06 1.65e-06 1.2e-06 1.85e-06 1.4e-06 1.45e-06 1.05e-06 1.5e-06 1.4e-06 1.85e-06 1.4e-06 1.9e-06 1.1e-06 1.3e-06 1.65e-06
38 2.6e-06 2.6e-06 2.5e-06 1.25e-06 2.35e-06 1.85e-06 1.85e-06 1e-06 2.7e-06 2.6e-06 2.25e-06 2.2e-06 2.15e-06 2.1e-06 2.5e-06 2.85e-06 2.5e-07 2.7e-06 2.75e-06 2.8e-06 2.75e-06 1.95e-06 1.25e-06 1.05e-06 2.75e-06 2.35e-06 1.6e-06 2.6e-06 2.7e-06 2.1e-06 2.45e-06 1.25e-06 2.2e-06 1.25e-06 2.35e-06 2.3e-06 1.4e-06 1.85e-06 2e-07 2.7e-06 1.4e-06 2.1e-06 1.8e-06 2.85e-06 7e-07 2.3e-06 1.3e-06 2.7e-06 2e-07 2.75e-06 1.4e-06 2.45e-06 2.35e-06 1.55e-06
39 1.6e-06 1.9e-06 1.55e-06 2.35e-06 1.05e-06 2.4e-06 1.35e-06 2.25e-06 1.6e-06 8e-07 1.75e-06 1.8e-06 1.1e-06 1.35e-06 7e-07 1.55e-06 2.75e-06 2e-06 1.45e-06 1.75e-06 1.65e-06 1.95e-06 1.95e-06 2.3e-06 1.15e-06 9.5e-07 2.15e-06 1.5e-06 1.3e-06 1.55e-06 1.75e-06 2e-06 1e-06 1.6e-06 1.6e-06 1.35e-06 2.1e-06 1.25e-06 2.7e-06 1.2e-06 2.25e-06 1.45e-06 2e-06 1.45e-06 2.2e-06 1.55e-06 1.65e-06 1.65e-06 2.7e-06 1.15e-06 2.6e-06 7.5e-07 1.15e-06 2.15e-06
40 2.15e-06 2e-06 2.4e-06 1.75e-06 1.7e-06 2.2e-06 1.8e-06 1.5e-06 1.75e-06 2.15e-06 1.85e-06 1.85e-06 1.8e-06 2e-06 2.15e-06 2.15e-06 1.5e-06 2.35e-06 2.05e-06 2.2e-06 1.8e-06 1.95e-06 1.65e-06 1.55e-06 2.3e-06 1.85e-06 1.75e-06 2.1e-06 2.25e-06 1.75e-06 2.2e-06 1.8e-06 1.85e-06 1.7e-06 1.45e-06 1.65e-06 1.75e-06 1.65e-06 1.4e-06 2.25e-06 2.7e-06 1.85e-06 2.1e-06 2.25e-06 1.45e-06 1.5e-06 1.75e-06 2e-06 1.45e-06 2.3e-06 2.05e-06 2e-06 1.9e-06 1.9e-06
41 1.4e-06 1.75e-06 1.55e-06 1.85e-06 1.35e-06 2e-06 1.3e-06 1.8e-06 1.5e-06 1.2e-06 1.45e-06 1.3e-06 1.1e-06 1.65e-06 1.5e-06 1.45e-06 2.15e-06 2.1e-06 1.35e-06 1.7e-06 1.55e-06 1.7e-06 1.55e-06 1.85e-06 1.65e-06 9e-07 1.85e-06 1.55e-06 1.65e-06 1.25e-06 1.5e-06 1.45e-06 1.15e-06 1.7e-06 1.35e-06 1.1e-06 1.85e-06 1.2e-06 2.1e-06 1.45e-06 1.85e-06 1.6e-06 1.8e-06 1.45e-06 1.8e-06 1.3e-06 1.8e-06 1.6e-06 2.1e-06 1.65e-06 1.95e-06 1.2e-06 9.5e-07 1.85e-06
42 2.05e-06 2.45e-06 1.75e-06 1.8e-06 2.05e-06 1.35e-06 1.35e-06 1.95e-06 2.35e-06 1.7e-06 1.9e-06 1.95e-06 1.95e-06 1.8e-06 2e-06 2.2e-06 1.85e-06 2.6e-06 2.1e-06 2.55e-06 2.4e-06 1.6e-06 1.75e-06 2e-06 2.3e-06 1.55e-06 2.1e-06 1.95e-06 2.05e-06 1.95e-06 1.9e-06 1.7e-06 1.7e-06 1.8e-06 2.25e-06 1.9e-06 2.1e-06 1.85e-06 1.8e-06 2e-06 2.1e-06 1.8e-06 2.6e-06 2.3e-06 1.8e-06 2.2e-06 1.9e-06 2.45e-06 1.8e-06 2.3e-06 1.85e-06 1.75e-06 1.65e-06 2.15e-06
43 1.1e-06 1.1e-06 2.1e-06 2.45e-06 1.4e-06 2.7e-06 1.6e-06 2.15e-06 9e-07 1.15e-06 1.65e-06 1.7e-06 1.4e-06 1.85e-06 1.55e-06 9.5e-07 2.9e-06 1e-06 8.5e-07 1.15e-06 9.5e-07 2.05e-06 2.05e-06 2.2e-06 1.1e-06 9e-07 1.6e-06 1e-06 1.3e-06 1.6e-06 1.2e-06 2.2e-06 1.25e-06 2.1e-06 1.4e-06 1.25e-06 1.8e-06 1.4e-06 2.85e-06 1.45e-06 2.25e-06 1.45e-06 2.3e-06 3e-07 2.3e-06 1.35e-06 2.2e-06 1.05e-06 2.85e-06 1.1e-06 2.8e-06 1.1e-06 1.2e-06 1.55e-06
44 2.2e-06 2.05e-06 2.15e-06 1.3e-06 1.85e-06 1.9e-06 1.45e-06 1e-06 2.15e-06 2.1e-06 1.8e-06 1.75e-06 1.75e-06 1.55e-06 2.05e-06 2.35e-06 8e-07 2.35e-06 2.25e-06 2.25e-06 2.2e-06 1.45e-06 1.35e-06 1.05e-06 2.25e-06 1.85e-06 1.6e-06 2.15e-06 2.25e-06 1.7e-06 2.05e-06 1.4e-06 1.8e-06 1.3e-06 1.8e-06 1.8e-06 1.45e-06 1.45e-06 7e-07 2.2e-06 1.45e-06 1.8e-06 1.8e-06 2.3e-06 1.3e-06 1.75e-06 1.4e-06 2.15e-06 7.5e-07 2.25e-06 1.55e-06 1.95e-06 1.9e-06 1.55e-06
45 1.8e-06 1.4e-06 2.1e-06 1.95e-06 8.5e-07 2.35e-06 1.55e-06 1.6e-06 9.5e-07 1.5e-06 1e-06 1.2e-06 1.1e-06 1.6e-06 1.5e-06 1.55e-06 2.35e-06 2.05e-06 1.45e-06 1.25e-06 1e-06 1.7e-06 1.8e-06 1.65e-06 1.55e-06 1.15e-06 1.9e-06 1.7e-06 1.9e-06 1.2e-06 1.65e-06 2.05e-06 1.2e-06 1.8e-06 4e-07 8e-07 1.8e-06 1.05e-06 2.3e-06 1.55e-06 1.5e-06 1.3e-06 2.2e-06 1.35e-06 1.75e-06 6e-07 1.9e-06 1.05e-06 2.3e-06 1.55e-06 2.4e-06 1.3e-06 1.25e-06 1.85e-06
46 2.15e-06 2.25e-06 2.1e-06 1.8e-06 1.55e-06 2.1e-06 1.65e-06 1.55e-06 2.15e-06 1.85e-06 2.05e-06 2.05e-06 1.5e-06 1.65e-06 1.35e-06 2.3e-06 1.4e-06 2.3e-06 2.2e-06 2.25e-06 2.2e-06 2.05e-06 1.6e-06 1.6e-06 1.8e-06 1.8e-06 1.85e-06 2.1e-06 2.05e-06 1.85e-06 2.1e-06 1.6e-06 1.6e-06 1.25e-06 1.95e-06 1.9e-06 1.65e-06 1.5e-06 1.3e-06 1.65e-06 1.75e-06 1.8e-06 1.9e-06 2.2e-06 1.4e-06 1.9e-06 2.5e-06 2.15e-06 1.35e-06 1.8e-06 1.95e-06 1.55e-06 1.9e-06 1.8e-06
47 1.7e-06 1.5e-06 2.3e-06 2.35e-06 1.2e-06 2.7e-06 1.8e-06 2.05e-06 1.1e-06 1.55e-06 1.6e-06 1.65e-06 1.4e-06 1.85e-06 1.6e-06 1.5e-06 2.75e-06 1.55e-06 1.4e-06 1.25e-06 1.15e-06 2.05e-06 2.1e-06 2.1e-06 1.25e-06 1.25e-06 1.95e-06 1.6e-06 1.85e-06 1.55e-06 1.65e-06 2.3e-06 1.4e-06 2.05e-06 9e-07 1.15e-06 1.8e-06 1.4e-06 2.7e-06 1.65e-06 2e-06 1.6e-06 2.45e-06 1.05e-06 2.15e-06 1.05e-06 2.15e-06 1.8e-06 2.7e-06 1.3e-06 2.75e-06 1.35e-06 1.45e-06 1.9e-06
48 2.6e-06 2.6e-06 2.5e-06 1.25e-06 2.35e-06 1.85e-06 1.85e-06 1e-06 2.7e-06 2.6e-06 2.25e-06 2.2e-06 2.15e-06 2.15e-06 2.5e-06 2.85e-06 1.5e-07 2.7e-06 2.75e-06 2.8e-06 2.75e-06 2e-06 1.3e-06 9.5e-07 2.75e-06 2.35e-06 1.6e-06 2.6e-06 2.7e-06 2.15e-06 2.45e-06 1.15e-06 2.2e-06 1.25e-06 2.35e-06 2.3e-06 1.45e-06 1.85e-06 2e-07 2.7e-06 1.45e-06 2.1e-06 1.8e-06 2.85e-06 7.5e-07 2.3e-06 1.35e-06 2.7e-06 0.0 2.75e-06 1.4e-06 2.45e-06 2.35e-06 1.55e-06
49 1.6e-06 1.7e-06 2.05e-06 2.5e-06 1.1e-06 2.65e-06 1.7e-06 2.25e-06 1.4e-06 1.3e-06 1.9e-06 1.95e-06 1.2e-06 1.55e-06 8.5e-07 1.55e-06 2.8e-06 1.45e-06 1.45e-06 1.3e-06 1.45e-06 2.2e-06 2.15e-06 2.3e-06 8.5e-07 1.25e-06 2e-06 1.5e-06 1.55e-06 1.7e-06 1.65e-06 2.2e-06 1.3e-06 1.7e-06 1.6e-06 1.55e-06 1.8e-06 1.4e-06 2.75e-06 1.15e-06 2.3e-06 1.65e-06 2.3e-06 1.1e-06 2.25e-06 1.55e-06 1.8e-06 1.3e-06 2.75e-06 1.5e-06 2.75e-06 9.5e-07 1.5e-06 1.95e-06
50 2.45e-06 2.75e-06 1.85e-06 1.65e-06 2.4e-06 1.55e-06 1.85e-06 1.8e-06 2.7e-06 2.4e-06 2.05e-06 2.1e-06 2.25e-06 2.1e-06 2.5e-06 2.75e-06 1.35e-06 2.95e-06 2.65e-06 2.85e-06 2.75e-06 1.7e-06 1.85e-06 1.85e-06 2.75e-06 2.2e-06 2.15e-06 2.6e-06 2.65e-06 2.15e-06 2.05e-06 1.6e-06 2.15e-06 1.85e-06 2.45e-06 2.3e-06 2.1e-06 1.9e-06 1.4e-06 2.6e-06 2.05e-06 1.95e-06 1.85e-06 2.8e-06 1.55e-06 2.4e-06 1.95e-06 2.75e-06 1.4e-06 2.75e-06 2.6e-06 2.35e-06 2.25e-06 2.05e-06
51 1.3e-06 1.55e-06 1.5e-06 2.1e-06 9e-07 2.15e-06 1.1e-06 1.95e-06 1.3e-06 7e-07 1.5e-06 1.55e-06 9.5e-07 1.2e-06 6.5e-07 1.25e-06 2.5e-06 1.65e-06 1.15e-06 1.45e-06 1.35e-06 1.7e-06 1.7e-06 2e-06 9.5e-07 6.5e-07 1.85e-06 1.2e-06 1.25e-06 1.3e-06 1.45e-06 1.75e-06 8.5e-07 1.45e-06 1.35e-06 1.1e-06 1.85e-06 1.1e-06 2.45e-06 7.5e-07 2e-06 1.2e-06 1.75e-06 1.1e-06 1.95e-06 1.3e-06 1.55e-06 1.35e-06 2.45e-06 9.5e-07 2.35e-06 1.1e-06 9e-07 1.85e-06
52 1.25e-06 1.65e-06 1.55e-06 1.8e-06 1.3e-06 1.95e-06 1e-06 1.95e-06 1.35e-06 7.5e-07 1.3e-06 1.25e-06 1.2e-06 1.5e-06 1.45e-06 8.5e-07 2.4e-06 1.95e-06 8e-07 1.55e-06 1.4e-06 1.45e-06 1.2e-06 2e-06 1.5e-06 3e-07 1.85e-06 1.25e-06 1.45e-06 1.2e-06 1.5e-06 1.6e-06 1.05e-06 1.8e-06 1.3e-06 6.5e-07 1.8e-06 1.3e-06 2.35e-06 1.15e-06 1.9e-06 9.5e-07 1.65e-06 1.2e-06 1.9e-06 1.25e-06 1.9e-06 1.45e-06 2.35e-06 1.5e-06 2.25e-06 9e-07 1e-07 1.9e-06
53 1.95e-06 1.9e-06 2.4e-06 1.9e-06 1.9e-06 2.35e-06 1.85e-06 1.6e-06 1.85e-06 2e-06 2e-06 2e-06 1.8e-06 2.05e-06 2.05e-06 2e-06 1.5e-06 1.9e-06 1.9e-06 2e-06 1.9e-06 2.1e-06 1.75e-06 1.65e-06 1.95e-06 1.75e-06 1.65e-06 1.9e-06 2.1e-06 1.95e-06 1.85e-06 1.8e-06 1.8e-06 1.7e-06 1.9e-06 1.85e-06 1.65e-06 1.65e-06 1.55e-06 2.15e-06 1.9e-06 1.85e-06 2.15e-06 1.55e-06 1.55e-06 1.85e-06 1.8e-06 1.9e-06 1.55e-06 1.95e-06 2.05e-06 1.85e-06 1.9e-06 2.9e-06
