 slim_762428765 slim_762428791 slim_762428785 slim_762428787 slim_762428764 slim_762428754 slim_762428789 slim_762428772 slim_762428766 slim_762428747 slim_762428773 slim_762428751 slim_762428760 slim_762428782 slim_762428745 slim_762428746 slim_762428759 slim_762428776 slim_762428744 slim_762428781 slim_762428753 slim_762428763 slim_762428788 slim_762428742 slim_762428767 slim_762428758 slim_762428775 slim_762428783 slim_762428780 slim_762428779 slim_762428770 slim_762428750 slim_762428794 slim_762428749 slim_762428743 slim_762428778 slim_762428769 slim_762428761 slim_762428786 slim_762428768 slim_762428792 slim_762428790 slim_762428756 slim_762428784 slim_762428771 slim_762428774 slim_762428757 slim_762428777 slim_762428793 slim_762428752 slim_762428762 slim_762428755 slim_762428748
0 1.4e-06 1.55e-06 1.6e-06 2.25e-06 1e-06 2.8e-06 1.95e-06 1.2e-06 1.15e-06 1.85e-06 1.05e-06 1.4e-06 1.7e-06 1.45e-06 2.1e-06 2.5e-06 9e-07 1.3e-06 1.75e-06 1.4e-06 2.4e-06 1e-06 2.05e-06 1.95e-06 1.5e-06 1.6e-06 1.8e-06 1.05e-06 1.4e-06 1.65e-06 2.45e-06 1e-06 1.55e-06 1.3e-06 1.7e-06 2.85e-06 1.2e-06 1.35e-06 1.5e-06 1.7e-06 1.25e-06 2.05e-06 1.55e-06 9.5e-07 2.35e-06 2.1e-06 9.5e-07 7.5e-07 2.4e-06 1.9e-06 2.4e-06 3.1e-06 1.5e-06
1 1.55e-06 1.1e-06 2.05e-06 2.3e-06 1.6e-06 2.4e-06 2.4e-06 1.8e-06 1.45e-06 2e-06 1e-06 1.45e-06 1.6e-06 1.65e-06 1.9e-06 2e-06 1.15e-06 1.8e-06 1.5e-06 1.65e-06 1.55e-06 1.6e-06 2.2e-06 1.55e-06 2.05e-06 2.05e-06 1.8e-06 1.7e-06 1.45e-06 2.35e-06 2.35e-06 1.4e-06 1.3e-06 1.4e-06 1.85e-06 2.75e-06 1.05e-06 1.1e-06 1.85e-06 1.8e-06 1.05e-06 1.9e-06 2.1e-06 1.3e-06 2.3e-06 2e-06 1.8e-06 1.5e-06 2.4e-06 2.1e-06 2e-06 2.55e-06 1.75e-06
2 1.6e-06 2.05e-06 2.4e-06 2.3e-06 1.6e-06 2.25e-06 1.75e-06 1.35e-06 2.05e-06 2.5e-06 1.9e-06 2.2e-06 2e-06 2.3e-06 2.65e-06 2.3e-06 1.9e-06 1.7e-06 2.65e-06 2.3e-06 2.7e-06 2.25e-06 2.15e-06 2.1e-06 2e-06 1.9e-06 2.05e-06 1.7e-06 2.25e-06 1.75e-06 2.15e-06 1.6e-06 1.55e-06 2.3e-06 1.9e-06 2.8e-06 1.85e-06 2.1e-06 1.6e-06 2.2e-06 2.05e-06 1.95e-06 2.05e-06 1.55e-06 2.2e-06 2.65e-06 1.8e-06 2.05e-06 2.45e-06 2.3e-06 2.85e-06 3.1e-06 1.9e-06
3 2.25e-06 2.3e-06 2.3e-06 3.1e-06 2.15e-06 2.3e-06 2.1e-06 2.35e-06 1.9e-06 2.25e-06 1.85e-06 1.7e-06 2.4e-06 2.05e-06 2.45e-06 2.2e-06 2.1e-06 2.1e-06 2.35e-06 2.25e-06 2.75e-06 2.1e-06 1.8e-06 2.2e-06 1.8e-06 1.75e-06 2.5e-06 2.2e-06 2.1e-06 2.25e-06 2.4e-06 2.5e-06 2e-06 2e-06 2.1e-06 2.5e-06 2e-06 2.15e-06 1.8e-06 2.9e-06 2e-06 1.85e-06 1.85e-06 2.55e-06 1.7e-06 2.5e-06 2.45e-06 1.9e-06 2.95e-06 2.1e-06 2.7e-06 2.75e-06 2.15e-06
4 1e-06 1.6e-06 1.6e-06 2.15e-06 1.9e-06 2.75e-06 1.95e-06 1.45e-06 1.15e-06 2.1e-06 1.2e-06 1.25e-06 1.9e-06 1.55e-06 2.3e-06 2.45e-06 1.2e-06 1.55e-06 1.8e-06 1.6e-06 2.55e-06 1.35e-06 2.05e-06 1.9e-06 1.55e-06 1.65e-06 2e-06 1.35e-06 1.4e-06 1.65e-06 2.65e-06 1.25e-06 1.65e-06 1.4e-06 1.95e-06 3.05e-06 1.2e-06 1.45e-06 1.55e-06 1.85e-06 1.4e-06 2.05e-06 1.6e-06 1.2e-06 2.1e-06 2.3e-06 1.25e-06 1.1e-06 2.55e-06 1.85e-06 2.55e-06 3.25e-06 1.75e-06
5 2.8e-06 2.4e-06 2.25e-06 2.3e-06 2.75e-06 2.8e-06 2.2e-06 2.2e-06 2.8e-06 2.15e-06 2.65e-06 2.8e-06 2.05e-06 3.05e-06 2.15e-06 1.9e-06 2.7e-06 2.3e-06 2.85e-06 2.85e-06 1.85e-06 2.95e-06 2.2e-06 2.35e-06 2.65e-06 2.25e-06 2.2e-06 2.45e-06 2.9e-06 2.75e-06 1.55e-06 2.75e-06 2.1e-06 2.95e-06 2.05e-06 1.7e-06 2.6e-06 2.85e-06 2.15e-06 2.7e-06 2.7e-06 2e-06 2.7e-06 2.75e-06 2.2e-06 2.2e-06 3e-06 2.85e-06 2.2e-06 2.7e-06 2.05e-06 1.45e-06 2.25e-06
6 1.95e-06 2.4e-06 1.75e-06 2.1e-06 1.95e-06 2.2e-06 3.3e-06 1.7e-06 2.3e-06 2.4e-06 2.2e-06 2.4e-06 2.3e-06 2.55e-06 2.5e-06 2.15e-06 2.2e-06 2.05e-06 2.85e-06 2.5e-06 2.65e-06 2.45e-06 1.95e-06 2.3e-06 2.15e-06 2.1e-06 2.4e-06 2e-06 2.45e-06 1.95e-06 2.15e-06 1.95e-06 1.95e-06 2.5e-06 1.9e-06 2.35e-06 2.15e-06 2.4e-06 1.95e-06 2.55e-06 2.3e-06 1.8e-06 2.2e-06 1.95e-06 2e-06 2.55e-06 2.15e-06 2.3e-06 2.45e-06 2.45e-06 2.75e-06 2.65e-06 2.2e-06
7 1.2e-06 1.8e-06 1.35e-06 2.35e-06 1.45e-06 2.2e-06 1.7e-06 1.7e-06 1.85e-06 2.05e-06 1.6e-06 2.1e-06 1.6e-06 2.15e-06 2.15e-06 2.25e-06 1.45e-06 1.35e-06 2.35e-06 1.9e-06 2.3e-06 1.75e-06 2.05e-06 2.1e-06 1.95e-06 1.8e-06 1.75e-06 1.25e-06 2e-06 1.75e-06 1.9e-06 1.2e-06 1.35e-06 1.95e-06 1.5e-06 2.3e-06 1.65e-06 1.8e-06 1.6e-06 1.95e-06 1.7e-06 1.85e-06 2e-06 1.15e-06 2.35e-06 2.2e-06 1.45e-06 1.6e-06 2.15e-06 2.25e-06 2.45e-06 2.65e-06 1.55e-06
8 1.15e-06 1.45e-06 2.05e-06 1.9e-06 1.15e-06 2.8e-06 2.3e-06 1.85e-06 1e-06 1.85e-06 9e-07 8e-07 1.7e-06 9.5e-07 1.95e-06 2.4e-06 9e-07 1.4e-06 1.3e-06 1.1e-06 2.45e-06 8.5e-07 1.7e-06 1.65e-06 1.15e-06 1.3e-06 1.8e-06 1.4e-06 7.5e-07 1.8e-06 2.7e-06 1.5e-06 1.65e-06 8e-07 1.85e-06 3e-06 8e-07 1e-06 1.4e-06 1.95e-06 1.05e-06 1.95e-06 1.2e-06 1.5e-06 1.75e-06 1.9e-06 1.4e-06 6.5e-07 2.9e-06 1.45e-06 2.25e-06 3.2e-06 1.6e-06
9 1.85e-06 2e-06 2.5e-06 2.25e-06 2.1e-06 2.15e-06 2.4e-06 2.05e-06 1.85e-06 2.9e-06 1.8e-06 2e-06 1.75e-06 2.15e-06 1.7e-06 2.15e-06 1.7e-06 1.85e-06 1.95e-06 1.95e-06 1.75e-06 1.65e-06 2.1e-06 2.25e-06 2.1e-06 1.9e-06 1.9e-06 1.8e-06 2.05e-06 2.6e-06 1.9e-06 2.15e-06 2.1e-06 1.95e-06 1.85e-06 1.85e-06 1.95e-06 2.1e-06 2e-06 2.15e-06 1.9e-06 2.15e-06 2.15e-06 2.15e-06 2.35e-06 1.75e-06 2.1e-06 1.5e-06 2.2e-06 2.3e-06 1.6e-06 1.65e-06 1.8e-06
