 slim_762175822 slim_762175807 slim_762175846 slim_762175826 slim_762175795 slim_762175841 slim_762175817 slim_762175804 slim_762175829 slim_762175845 slim_762175812 slim_762175809 slim_762175825 slim_762175840 slim_762175799 slim_762175802 slim_762175827 slim_762175843 slim_762175813 slim_762175808 slim_762175797 slim_762175836 slim_762175811 slim_762175803 slim_762175800 slim_762175833 slim_762175796 slim_762175823 slim_762175842 slim_762175801 slim_762175830 slim_762175844 slim_762175820 slim_762175810 slim_762175847 slim_762175794 slim_762175824 slim_762175821 slim_762175848 slim_762175835 slim_762175831 slim_762175814 slim_762175793 slim_762175834 slim_762175839 slim_762175837 slim_762175816 slim_762175819 slim_762175805 slim_762175798 slim_762175838 slim_762175818 slim_762175828 slim_762175832 slim_762175815 slim_762175806
28 2.2e-06 9e-07 1.95e-06 1.05e-06 8e-07 7.5e-07 8e-07 1.15e-06 7.5e-07 9.5e-07 8e-07 8e-07 7.5e-07 9.5e-07 9e-07 9e-07 2.1e-06 1.9e-06 1.1e-06 1.2e-06 8e-07 1.15e-06 8e-07 8e-07 8.5e-07 1.25e-06 8e-07 9e-07 1.2e-06 9.5e-07 8.5e-07 1.9e-06 9.5e-07 1.4e-06 8.5e-07 9.5e-07 8.5e-07 8e-07 1.05e-06 1.1e-06 2e-06 8e-07 9.5e-07 1.1e-06 2e-06 9e-07 8.5e-07 8e-07 1.05e-06 7.5e-07 7e-07 9.5e-07 2.1e-06 9.5e-07 9e-07 2.15e-06
29 1.8e-06 1.05e-06 1.8e-06 8.5e-07 9e-07 1.1e-06 9.5e-07 7.5e-07 8e-07 8e-07 9e-07 9.5e-07 8.5e-07 7.5e-07 8e-07 1.05e-06 2e-06 1.8e-06 1e-06 8e-07 9e-07 1e-06 9e-07 9.5e-07 1e-06 9e-07 8e-07 7.5e-07 9.5e-07 9e-07 1e-06 1.75e-06 1.1e-06 1.3e-06 9.5e-07 1.15e-06 1e-06 9.5e-07 8.5e-07 1e-06 1.9e-06 9e-07 1e-06 1.05e-06 1.75e-06 6.5e-07 9.5e-07 9.5e-07 9e-07 8.5e-07 8e-07 8e-07 1.95e-06 1.05e-06 1e-06 1.85e-06
30 2.2e-06 7.5e-07 1.9e-06 1e-06 7e-07 8.5e-07 6.5e-07 1.1e-06 7e-07 9e-07 7e-07 6.5e-07 6e-07 9e-07 8.5e-07 7e-07 2e-06 1.8e-06 1e-06 1.15e-06 6e-07 1e-06 7e-07 6.5e-07 7e-07 1.2e-06 7.5e-07 8e-07 8.5e-07 1e-06 1.1e-06 1.85e-06 8e-07 1.3e-06 7.5e-07 1.05e-06 6.5e-07 6.5e-07 1.05e-06 1e-06 1.9e-06 7e-07 9e-07 9e-07 1.9e-06 9.5e-07 7.5e-07 6.5e-07 8.5e-07 6.5e-07 6.5e-07 9e-07 2e-06 8.5e-07 7.5e-07 2.05e-06
31 2.1e-06 1.9e-06 1.45e-06 1.95e-06 1.65e-06 2.05e-06 1.9e-06 2.1e-06 1.6e-06 2e-06 1.65e-06 1.8e-06 1.65e-06 1.8e-06 1.95e-06 1.75e-06 2e-06 1.7e-06 1.65e-06 1.9e-06 1.65e-06 1.95e-06 1.65e-06 1.9e-06 1.85e-06 1.95e-06 1.6e-06 1.85e-06 1.9e-06 1.75e-06 1.85e-06 2.8e-06 1.85e-06 1.9e-06 1.6e-06 2e-06 1.75e-06 1.8e-06 1.8e-06 1.6e-06 1.7e-06 1.65e-06 1.5e-06 1.75e-06 1.5e-06 1.9e-06 1.7e-06 1.8e-06 1.85e-06 1.5e-06 1.65e-06 1.7e-06 1.8e-06 1.7e-06 1.8e-06 1.6e-06
32 2.4e-06 7.5e-07 1.9e-06 1.1e-06 8e-07 1.2e-06 9.5e-07 1.45e-06 5e-07 1.2e-06 9e-07 7.5e-07 7.5e-07 9.5e-07 1.25e-06 3.5e-07 2.2e-06 2e-06 9e-07 1.25e-06 4e-07 1e-06 8e-07 9.5e-07 8e-07 1.3e-06 6e-07 8.5e-07 9.5e-07 1.1e-06 8e-07 1.85e-06 5e-07 1.2e-06 5.5e-07 1.15e-06 3.5e-07 7e-07 1.15e-06 9e-07 1.6e-06 9e-07 7.5e-07 7.5e-07 1.95e-06 1e-06 8.5e-07 6.5e-07 7.5e-07 4.5e-07 5e-07 1.1e-06 1.95e-06 4.5e-07 8e-07 2.05e-06
33 2.15e-06 1.3e-06 1.95e-06 1.45e-06 1.15e-06 1.55e-06 1.35e-06 1.65e-06 1.05e-06 1.5e-06 1.2e-06 1.25e-06 1.15e-06 1.3e-06 1.5e-06 1.1e-06 2e-06 2.1e-06 1e-06 1.25e-06 1.05e-06 1.4e-06 1.15e-06 1.35e-06 1.3e-06 1.3e-06 1.1e-06 1.3e-06 1.4e-06 1.3e-06 1.3e-06 1.9e-06 1.2e-06 1.9e-06 1.05e-06 1.5e-06 1.1e-06 1.25e-06 1.4e-06 9.5e-07 2.05e-06 1.2e-06 1.15e-06 1e-06 1.9e-06 1.4e-06 1.2e-06 1.2e-06 1.2e-06 1e-06 1.1e-06 1.2e-06 1.8e-06 1.15e-06 1.25e-06 1.85e-06
34 2.25e-06 7e-07 1.65e-06 9.5e-07 6e-07 1.1e-06 9e-07 1.25e-06 4e-07 1.05e-06 6.5e-07 6.5e-07 6e-07 8e-07 1.05e-06 4.5e-07 2.1e-06 1.9e-06 8e-07 1.2e-06 4e-07 9e-07 6e-07 9e-07 7e-07 1.25e-06 4.5e-07 8e-07 8.5e-07 9.5e-07 7.5e-07 1.6e-06 5.5e-07 1.05e-06 6e-07 1e-06 4.5e-07 7e-07 9e-07 7.5e-07 1.75e-06 6.5e-07 5e-07 8e-07 1.85e-06 9e-07 6.5e-07 6e-07 7.5e-07 3.5e-07 4.5e-07 1e-06 1.8e-06 5e-07 7e-07 2e-06
35 2.35e-06 1.05e-06 2.05e-06 1.15e-06 9e-07 9e-07 9e-07 1.3e-06 9.5e-07 1.1e-06 9.5e-07 1e-06 8.5e-07 1.05e-06 1.1e-06 1.05e-06 2.2e-06 2e-06 1.25e-06 1.35e-06 9e-07 1.15e-06 9e-07 9e-07 1.05e-06 1.4e-06 9.5e-07 1.1e-06 9.5e-07 1.15e-06 1.05e-06 2e-06 1.15e-06 1.5e-06 1e-06 1.6e-06 1.05e-06 1e-06 1.2e-06 1.2e-06 2.15e-06 9.5e-07 1.1e-06 1.25e-06 2.05e-06 1.2e-06 9.5e-07 9.5e-07 1.2e-06 9e-07 1.05e-06 1.1e-06 2.15e-06 1.1e-06 9e-07 2.25e-06
36 2.3e-06 6.5e-07 1.8e-06 1e-06 7e-07 1.1e-06 8.5e-07 1.35e-06 4e-07 1.1e-06 8e-07 6.5e-07 6.5e-07 8.5e-07 1.15e-06 3e-07 2.1e-06 1.9e-06 8e-07 1.15e-06 2.5e-07 9e-07 7e-07 8.5e-07 7e-07 1.2e-06 5e-07 7e-07 8.5e-07 1e-06 6.5e-07 1.75e-06 3.5e-07 1.1e-06 4.5e-07 1.05e-06 3e-07 6e-07 1.05e-06 8e-07 1.7e-06 8e-07 6.5e-07 6e-07 1.85e-06 9e-07 7.5e-07 5.5e-07 6e-07 3.5e-07 4e-07 1e-06 1.85e-06 5.5e-07 7e-07 1.95e-06
37 2.15e-06 7e-07 1.85e-06 9.5e-07 6.5e-07 8e-07 6e-07 1.05e-06 6.5e-07 8.5e-07 6.5e-07 6e-07 5.5e-07 8.5e-07 8e-07 7e-07 1.95e-06 1.75e-06 9.5e-07 1.1e-06 6e-07 9.5e-07 6.5e-07 6e-07 6.5e-07 1.15e-06 7e-07 8e-07 8e-07 9.5e-07 6.5e-07 1.8e-06 7e-07 1.25e-06 7e-07 1e-06 6e-07 1e-06 1e-06 9.5e-07 1.85e-06 6.5e-07 8e-07 9e-07 1.85e-06 9e-07 7e-07 6e-07 8.5e-07 6e-07 6e-07 8.5e-07 1.95e-06 8e-07 7e-07 2e-06
38 2.1e-06 1.1e-06 1.85e-06 8.5e-07 8.5e-07 1.15e-06 1e-06 9.5e-07 8.5e-07 9.5e-07 8.5e-07 1e-06 8.5e-07 7.5e-07 9e-07 1.05e-06 2.2e-06 2e-06 1.15e-06 1.15e-06 9.5e-07 9.5e-07 8.5e-07 1e-06 1.05e-06 1.1e-06 8.5e-07 9e-07 1.05e-06 8.5e-07 1.05e-06 1.8e-06 1.15e-06 1.4e-06 9e-07 1.2e-06 1.05e-06 1e-06 1.4e-06 1.1e-06 2.1e-06 8.5e-07 8e-07 1.25e-06 2e-06 9e-07 9e-07 1e-06 1.1e-06 8e-07 9e-07 1.05e-06 2.1e-06 1e-06 1e-06 2.2e-06
39 2.15e-06 1e-06 1.65e-06 1.15e-06 8.5e-07 1.25e-06 1.05e-06 1.35e-06 7.5e-07 1.2e-06 9e-07 9.5e-07 8.5e-07 1e-06 1.2e-06 8e-07 2e-06 1.8e-06 7e-07 9.5e-07 7.5e-07 1.1e-06 8.5e-07 1.05e-06 1e-06 1e-06 8e-07 1e-06 1.1e-06 1e-06 1e-06 1.6e-06 9e-07 9.5e-07 7.5e-07 1.2e-06 8e-07 9.5e-07 1.1e-06 1.3e-06 1.75e-06 9e-07 8.5e-07 7e-07 1.6e-06 1.1e-06 9e-07 9e-07 9e-07 7e-07 8e-07 9e-07 1.8e-06 8.5e-07 9.5e-07 1.55e-06
40 2.25e-06 1.9e-06 1.75e-06 2.1e-06 1.85e-06 2.15e-06 1.95e-06 2.25e-06 1.7e-06 2.1e-06 1.9e-06 1.85e-06 1.8e-06 1.95e-06 2.1e-06 1.65e-06 2.1e-06 1.8e-06 1.75e-06 1.95e-06 1.65e-06 2.05e-06 1.85e-06 1.95e-06 1.9e-06 2e-06 1.75e-06 1.9e-06 2e-06 1.9e-06 1.9e-06 1.7e-06 1.6e-06 2.05e-06 1.75e-06 2.15e-06 1.7e-06 1.85e-06 2.1e-06 1.75e-06 3.1e-06 1.9e-06 1.9e-06 1.7e-06 1.6e-06 2e-06 1.9e-06 1.8e-06 1.8e-06 1.65e-06 1.7e-06 1.8e-06 1.95e-06 1.65e-06 1.9e-06 1.65e-06
41 2.1e-06 8e-07 1.7e-06 9e-07 5.5e-07 8e-07 6.5e-07 1e-06 6.5e-07 8.5e-07 5e-07 6.5e-07 5e-07 8e-07 7.5e-07 8e-07 1.95e-06 1.75e-06 9.5e-07 1.15e-06 7e-07 9.5e-07 5.5e-07 6.5e-07 7e-07 1.2e-06 6.5e-07 8.5e-07 8e-07 9e-07 7e-07 1.65e-06 9e-07 1.2e-06 6.5e-07 9.5e-07 8e-07 6.5e-07 8.5e-07 9e-07 1.9e-06 9e-07 6.5e-07 1.05e-06 1.85e-06 9e-07 6e-07 7e-07 1e-06 6e-07 6.5e-07 8.5e-07 1.9e-06 7.5e-07 7e-07 2.05e-06
42 2.3e-06 9.5e-07 1.55e-06 1.05e-06 6.5e-07 1.2e-06 1.05e-06 1.35e-06 5.5e-07 1.2e-06 6.5e-07 8.5e-07 7e-07 9e-07 1.15e-06 7e-07 2.2e-06 2e-06 9e-07 1.35e-06 6e-07 1.05e-06 6.5e-07 1.05e-06 9e-07 1.4e-06 5.5e-07 9.5e-07 9.5e-07 1e-06 9e-07 1.5e-06 7.5e-07 1.15e-06 5e-07 1.1e-06 6.5e-07 8e-07 8e-07 8.5e-07 1.9e-06 6.5e-07 3e-07 1.05e-06 1.95e-06 1e-06 7e-07 8.5e-07 1.05e-06 4e-07 6e-07 1.1e-06 1.9e-06 6e-07 8.5e-07 2.15e-06
43 2.2e-06 9e-07 1.8e-06 1.2e-06 9.5e-07 1.25e-06 1e-06 1.4e-06 7.5e-07 1.2e-06 1.05e-06 9e-07 9e-07 1.05e-06 1.25e-06 6.5e-07 2e-06 1.8e-06 7e-07 9e-07 6e-07 1.1e-06 9.5e-07 1e-06 9.5e-07 9.5e-07 8.5e-07 9e-07 1.1e-06 1.05e-06 9e-07 1.75e-06 7.5e-07 1e-06 8e-07 1.25e-06 6e-07 9e-07 1.25e-06 7e-07 1.7e-06 1.05e-06 1.05e-06 1e-06 1.6e-06 1.1e-06 1e-06 8e-07 7e-07 7e-07 7.5e-07 9e-07 1.85e-06 9e-07 9.5e-07 1.5e-06
44 1.95e-06 1.9e-06 1.55e-06 2e-06 1.8e-06 2e-06 1.8e-06 2e-06 1.8e-06 1.9e-06 1.85e-06 1.85e-06 1.75e-06 1.85e-06 1.9e-06 1.9e-06 1.8e-06 1.5e-06 1.6e-06 1.65e-06 1.75e-06 1.95e-06 1.8e-06 1.8e-06 1.9e-06 1.7e-06 1.8e-06 1.85e-06 2e-06 1.75e-06 1.9e-06 1.5e-06 1.95e-06 1.9e-06 1.85e-06 2.05e-06 1.85e-06 1.85e-06 2e-06 1.6e-06 1.6e-06 1.85e-06 1.95e-06 1.6e-06 2.2e-06 1.95e-06 1.85e-06 1.8e-06 1.8e-06 1.75e-06 1.85e-06 1.5e-06 1.75e-06 1.95e-06 1.85e-06 1.25e-06
45 2e-06 1e-06 1.95e-06 9e-07 9e-07 1.1e-06 9.5e-07 8.5e-07 7.5e-07 8.5e-07 9e-07 9e-07 8.5e-07 8e-07 8.5e-07 9.5e-07 2.15e-06 1.95e-06 1.1e-06 9.5e-07 8.5e-07 1.05e-06 9e-07 9.5e-07 9.5e-07 1.05e-06 8e-07 7.5e-07 9e-07 6.5e-07 9.5e-07 1.9e-06 1e-06 1.4e-06 9e-07 1.2e-06 9e-07 9e-07 9e-07 1.1e-06 2e-06 9e-07 1e-06 1.1e-06 1.95e-06 1.1e-06 9.5e-07 9e-07 9.5e-07 8e-07 7e-07 9.5e-07 2.1e-06 1e-06 1e-06 2.1e-06
46 2.15e-06 7e-07 1.75e-06 8.5e-07 5e-07 7e-07 5e-07 1.1e-06 6.5e-07 8e-07 6e-07 7e-07 5.5e-07 8e-07 8.5e-07 7.5e-07 1.9e-06 1.65e-06 9.5e-07 1.15e-06 6.5e-07 8.5e-07 5e-07 5e-07 7.5e-07 1.2e-06 6e-07 8.5e-07 8.5e-07 9.5e-07 7.5e-07 1.7e-06 8.5e-07 1.2e-06 6.5e-07 9.5e-07 7.5e-07 7e-07 9e-07 9e-07 1.9e-06 6e-07 7e-07 1e-06 1.85e-06 9.5e-07 1e-06 6e-07 9.5e-07 6e-07 7.5e-07 8e-07 1.9e-06 7.5e-07 5.5e-07 2.05e-06
47 2.15e-06 5e-07 1.85e-06 8.5e-07 5.5e-07 7e-07 4e-07 1.05e-06 6e-07 7e-07 7e-07 5.5e-07 5.5e-07 8e-07 8e-07 6e-07 1.85e-06 1.65e-06 9e-07 1.05e-06 5e-07 8e-07 5.5e-07 4e-07 6e-07 1.1e-06 6e-07 7.5e-07 8e-07 9.5e-07 6.5e-07 1.8e-06 6.5e-07 1.2e-06 6e-07 9.5e-07 5.5e-07 6e-07 1e-06 9e-07 1.8e-06 7e-07 8.5e-07 8e-07 1.8e-06 9e-07 6e-07 8e-07 7e-07 5.5e-07 6.5e-07 7.5e-07 1.9e-06 7.5e-07 5.5e-07 1.95e-06
48 2.15e-06 8e-07 1.9e-06 1.05e-06 9e-07 1.15e-06 9e-07 1.05e-06 7.5e-07 9.5e-07 1e-06 8e-07 8.5e-07 9e-07 1.05e-06 6.5e-07 2.05e-06 1.85e-06 9e-07 9.5e-07 6e-07 9.5e-07 9e-07 9e-07 8.5e-07 1e-06 8.5e-07 7.5e-07 1.05e-06 9e-07 8.5e-07 1.85e-06 7.5e-07 1.2e-06 7.5e-07 1.2e-06 6e-07 8.5e-07 1.1e-06 9e-07 1.8e-06 1e-06 1.05e-06 7e-07 1.8e-06 9.5e-07 9.5e-07 7e-07 1e-06 7e-07 7.5e-07 9.5e-07 1.95e-06 9e-07 9e-07 1.8e-06
49 2.15e-06 6.5e-07 1.55e-06 8.5e-07 5.5e-07 1e-06 8e-07 1.2e-06 3e-07 1e-06 6e-07 6e-07 5e-07 7e-07 1e-06 3.5e-07 2e-06 1.8e-06 7.5e-07 1.1e-06 3e-07 8e-07 5.5e-07 8e-07 6.5e-07 1.15e-06 3.5e-07 7e-07 7.5e-07 8.5e-07 6.5e-07 1.5e-06 4.5e-07 1e-06 3.5e-07 9e-07 3.5e-07 6e-07 8e-07 7e-07 1.65e-06 6e-07 4e-07 7e-07 1.75e-06 8e-07 6e-07 5.5e-07 7e-07 4e-07 3.5e-07 9e-07 1.7e-06 4.5e-07 6e-07 1.9e-06
50 2.15e-06 7.5e-07 1.7e-06 9.5e-07 7e-07 1.1e-06 9.5e-07 1.15e-06 3.5e-07 1.05e-06 6.5e-07 6e-07 6e-07 8e-07 9.5e-07 4.5e-07 2.1e-06 1.9e-06 8e-07 1.1e-06 4e-07 1e-06 7e-07 9.5e-07 6.5e-07 1.15e-06 4.5e-07 7e-07 7e-07 8e-07 6.5e-07 1.65e-06 5e-07 1.1e-06 4.5e-07 1.05e-06 4e-07 6e-07 9e-07 8e-07 1.7e-06 6.5e-07 6e-07 7.5e-07 1.85e-06 7e-07 7.5e-07 6.5e-07 7.5e-07 3.5e-07 3e-07 9.5e-07 1.85e-06 5.5e-07 8e-07 1.95e-06
51 1.9e-06 8.5e-07 1.75e-06 9.5e-07 7.5e-07 8e-07 5.5e-07 1e-06 9e-07 7.5e-07 8.5e-07 8.5e-07 7.5e-07 9e-07 8e-07 1.05e-06 1.7e-06 1.5e-06 9e-07 8.5e-07 9e-07 1e-06 7.5e-07 5.5e-07 9e-07 9e-07 8.5e-07 9e-07 9.5e-07 8e-07 9e-07 1.7e-06 1.1e-06 1.2e-06 1e-06 1.1e-06 1e-06 8.5e-07 1.05e-06 9e-07 1.8e-06 8.5e-07 1.1e-06 9e-07 1.5e-06 9.5e-07 8e-07 7.5e-07 9.5e-07 9e-07 9.5e-07 1.1e-06 1.85e-06 1.1e-06 8e-07 1.6e-06
52 2e-06 2e-06 1.85e-06 2.1e-06 1.85e-06 2.2e-06 2e-06 2.3e-06 1.75e-06 2.15e-06 1.9e-06 1.95e-06 1.8e-06 1.95e-06 2.15e-06 1.85e-06 1.8e-06 1.95e-06 1.85e-06 2.05e-06 1.75e-06 2.05e-06 1.85e-06 2e-06 2e-06 2.1e-06 1.75e-06 2e-06 2.1e-06 1.95e-06 2e-06 1.8e-06 1.95e-06 1.8e-06 1.8e-06 2.15e-06 1.85e-06 1.95e-06 2.1e-06 1.8e-06 1.95e-06 1.9e-06 1.9e-06 1.85e-06 1.75e-06 2.1e-06 1.9e-06 1.9e-06 1.95e-06 1.7e-06 1.85e-06 1.85e-06 3.2e-06 1.9e-06 1.9e-06 1.85e-06
53 2.35e-06 8.5e-07 1.75e-06 1.05e-06 7e-07 1.2e-06 1e-06 1.4e-06 5e-07 1.2e-06 7.5e-07 8e-07 7e-07 9e-07 1.2e-06 4.5e-07 2.2e-06 2e-06 9e-07 1.3e-06 5e-07 1e-06 7e-07 1e-06 8.5e-07 1.35e-06 5.5e-07 9e-07 9.5e-07 1.05e-06 8.5e-07 1.7e-06 4.5e-07 1.15e-06 5e-07 1.1e-06 5.5e-07 8e-07 1e-06 8.5e-07 1.65e-06 7.5e-07 6e-07 9e-07 1.95e-06 1e-06 7.5e-07 7.5e-07 9e-07 4.5e-07 5.5e-07 1.1e-06 1.9e-06 8e-07 8e-07 2.1e-06
54 2.2e-06 6.5e-07 1.85e-06 8.5e-07 5.5e-07 7e-07 4.5e-07 1.15e-06 6.5e-07 8e-07 7e-07 7e-07 5.5e-07 8e-07 9e-07 7e-07 1.9e-06 1.65e-06 1e-06 1.15e-06 5.5e-07 8e-07 5.5e-07 4.5e-07 7.5e-07 1.2e-06 6e-07 8.5e-07 9e-07 1e-06 7.5e-07 1.8e-06 8e-07 1.25e-06 7e-07 9e-07 7e-07 7e-07 1e-06 9.5e-07 1.9e-06 7e-07 8.5e-07 9.5e-07 1.85e-06 1e-06 5.5e-07 5.5e-07 9e-07 6e-07 8e-07 8e-07 1.9e-06 8e-07 9e-07 2.05e-06
55 2.05e-06 2.05e-06 1.65e-06 2.2e-06 2e-06 2.2e-06 2e-06 2.2e-06 1.95e-06 2.1e-06 2.05e-06 2e-06 1.95e-06 2.05e-06 2.1e-06 2e-06 1.9e-06 1.6e-06 1.55e-06 1.6e-06 1.9e-06 2.15e-06 2e-06 2e-06 2.05e-06 1.65e-06 2e-06 2e-06 2.15e-06 1.85e-06 2.05e-06 1.6e-06 2.05e-06 1.85e-06 2e-06 2.25e-06 1.95e-06 2e-06 2.2e-06 1.55e-06 1.65e-06 2.05e-06 2.15e-06 1.5e-06 1.25e-06 2.1e-06 2.05e-06 1.95e-06 1.8e-06 1.9e-06 1.95e-06 1.6e-06 1.85e-06 2.1e-06 2.05e-06 2.2e-06
