 slim_762166237 slim_762166240 slim_762166226 slim_762166220 slim_762166224 slim_762166248 slim_762166250 slim_762166236 slim_762166223 slim_762166253 slim_762166258 slim_762166262 slim_762166235 slim_762166249 slim_762166239 slim_762166251 slim_762166230 slim_762166254 slim_762166243 slim_762166234 slim_762166222 slim_762166229 slim_762166221 slim_762166231 slim_762166217 slim_762166232 slim_762166227 slim_762166259 slim_762166218 slim_762166256 slim_762166238 slim_762166228 slim_762166261 slim_762166255 slim_762166233 slim_762166247 slim_762166246 slim_762166244 slim_762166260 slim_762166257 slim_762166225 slim_762166252 slim_762166245 slim_762166242 slim_762166219 slim_762166241
0 2.1e-06 1.95e-06 1.5e-06 2.2e-06 2.05e-06 2.1e-06 2.2e-06 1.8e-06 1.9e-06 1.45e-06 1.65e-06 2.4e-06 1.5e-06 1.85e-06 2.25e-06 1.7e-06 1.7e-06 2.25e-06 2.05e-06 1.8e-06 2e-06 1.75e-06 2.05e-06 1.3e-06 1.75e-06 1.25e-06 1.9e-06 2.1e-06 1.8e-06 1.95e-06 1.1e-06 1.8e-06 2.1e-06 1.75e-06 2.35e-06 1.95e-06 1.95e-06 2.1e-06 1.8e-06 1.5e-06 2e-06 1.9e-06 1.55e-06 1.95e-06 2.1e-06 1.9e-06
1 1.95e-06 2.8e-06 2.15e-06 2.4e-06 2.8e-06 2.25e-06 2.95e-06 2.15e-06 2.4e-06 1.95e-06 1.7e-06 2.15e-06 2.25e-06 2.3e-06 2.6e-06 2.2e-06 2.35e-06 2.4e-06 2.4e-06 2.3e-06 2.7e-06 2.4e-06 2.85e-06 1.55e-06 2.4e-06 1.7e-06 2.8e-06 2.35e-06 2.35e-06 2.25e-06 1.6e-06 2.6e-06 2.35e-06 2.1e-06 2.65e-06 2.65e-06 2.65e-06 2.15e-06 2.2e-06 2.1e-06 2.55e-06 2.6e-06 1.95e-06 2.2e-06 2.8e-06 2.5e-06
2 1.5e-06 2.15e-06 1.9e-06 2.2e-06 1.7e-06 2.1e-06 1.85e-06 2.35e-06 1.7e-06 1.45e-06 1.8e-06 2.7e-06 1.85e-06 1.55e-06 1.9e-06 1.1e-06 1.35e-06 2.4e-06 2e-06 2.1e-06 1.8e-06 1.15e-06 2.2e-06 1.35e-06 1.7e-06 1.3e-06 1.9e-06 2.05e-06 1.4e-06 2.5e-06 1.2e-06 1.3e-06 2.05e-06 1.65e-06 2.3e-06 2.2e-06 2.2e-06 2.1e-06 2.15e-06 1.9e-06 1.8e-06 1.65e-06 2e-06 2.4e-06 2.35e-06 2.25e-06
3 2.2e-06 2.4e-06 2.2e-06 2.8e-06 1.75e-06 1.55e-06 2.05e-06 1.8e-06 1.75e-06 2.25e-06 1.7e-06 1.45e-06 1.95e-06 1.7e-06 2.75e-06 2.1e-06 2e-06 1.9e-06 1.75e-06 1.9e-06 2.15e-06 1.75e-06 2.2e-06 2.15e-06 1.95e-06 2.15e-06 1.8e-06 1.9e-06 2e-06 1.7e-06 2.4e-06 1.95e-06 1.9e-06 2e-06 1.9e-06 1.7e-06 1.75e-06 1.55e-06 1.9e-06 1.8e-06 1.9e-06 2.1e-06 2.15e-06 2e-06 1.8e-06 2e-06
4 2.05e-06 2.8e-06 1.7e-06 1.75e-06 1.1e-06 1.65e-06 8.5e-07 2.4e-06 1.1e-06 1.95e-06 2.15e-06 3e-06 1.7e-06 1.35e-06 2.4e-06 1.7e-06 1.3e-06 2.25e-06 1.5e-06 1.95e-06 1e-06 9.5e-07 1.8e-06 2.05e-06 1.3e-06 2e-06 9.5e-07 1.7e-06 1.45e-06 2.5e-06 2.25e-06 7.5e-07 1.7e-06 1.5e-06 1.95e-06 1.5e-06 1.5e-06 1.9e-06 2.2e-06 1.95e-06 1.25e-06 1.15e-06 2.35e-06 2.5e-06 1.55e-06 2.1e-06
5 2.1e-06 2.25e-06 2.1e-06 1.55e-06 1.65e-06 2.6e-06 1.95e-06 1.85e-06 1.65e-06 2.15e-06 1.45e-06 1.85e-06 1.85e-06 1.6e-06 2.65e-06 2e-06 1.9e-06 2.05e-06 1.7e-06 1.8e-06 2.05e-06 1.65e-06 2.2e-06 2.05e-06 1.85e-06 2.05e-06 1.65e-06 1.65e-06 1.9e-06 1.9e-06 2.3e-06 1.85e-06 1.65e-06 1.9e-06 2.05e-06 1.7e-06 1.7e-06 1.55e-06 1.85e-06 1.8e-06 1.85e-06 2e-06 2.15e-06 1.75e-06 1.8e-06 2.05e-06
6 2.2e-06 2.95e-06 1.85e-06 2.05e-06 8.5e-07 1.95e-06 1.5e-06 2.4e-06 1.3e-06 1.9e-06 2.3e-06 3.2e-06 1.65e-06 1.6e-06 2.55e-06 1.95e-06 1.3e-06 2.35e-06 1.7e-06 1.95e-06 1.1e-06 1.25e-06 1.95e-06 2.15e-06 1.3e-06 2.1e-06 1.1e-06 1.85e-06 1.7e-06 2.7e-06 2.35e-06 9.5e-07 1.85e-06 1.75e-06 2.1e-06 1.65e-06 1.65e-06 2.1e-06 2.4e-06 2.1e-06 1.45e-06 1.1e-06 2.5e-06 2.5e-06 1.8e-06 2.1e-06
7 1.8e-06 2.15e-06 2.35e-06 1.8e-06 2.4e-06 1.85e-06 2.4e-06 2.1e-06 2.05e-06 1.95e-06 1.5e-06 1.4e-06 1.3e-06 2.1e-06 2.75e-06 2.4e-06 2e-06 1.8e-06 1.9e-06 1.45e-06 2.35e-06 2.35e-06 2.05e-06 2e-06 1.75e-06 2e-06 2.05e-06 2e-06 2.35e-06 1.3e-06 2.25e-06 2.4e-06 2e-06 2.35e-06 2.1e-06 1.6e-06 1.7e-06 1.7e-06 1.55e-06 1.35e-06 2.15e-06 2.1e-06 1.7e-06 1.35e-06 1.85e-06 1.4e-06
8 1.9e-06 2.4e-06 1.7e-06 1.75e-06 1.1e-06 1.65e-06 1.3e-06 2.05e-06 1.8e-06 2.05e-06 1.8e-06 2.35e-06 1.8e-06 1.15e-06 2.55e-06 1.8e-06 1.45e-06 2.1e-06 1.1e-06 1.55e-06 1.35e-06 1.1e-06 1.85e-06 1.95e-06 1.4e-06 1.95e-06 1.25e-06 1.55e-06 1.8e-06 2.25e-06 2.2e-06 9.5e-07 1.55e-06 1.8e-06 1.8e-06 1.75e-06 1.75e-06 1.15e-06 2.15e-06 1.9e-06 1.1e-06 1.45e-06 2.25e-06 2.15e-06 1.9e-06 2.2e-06
9 1.45e-06 1.95e-06 1.45e-06 2.25e-06 1.95e-06 2.15e-06 1.9e-06 1.95e-06 2.05e-06 1.6e-06 1.65e-06 2.65e-06 1.25e-06 2.1e-06 1.9e-06 1.5e-06 1.35e-06 2.1e-06 2.35e-06 1.9e-06 1.75e-06 1.8e-06 2.35e-06 1.05e-06 1.5e-06 9.5e-07 2.15e-06 2.2e-06 1.55e-06 2.3e-06 9e-07 1.85e-06 2.2e-06 1.55e-06 2.45e-06 2e-06 2.1e-06 2.45e-06 1.95e-06 1.6e-06 2.25e-06 1.4e-06 1.65e-06 2e-06 2.25e-06 1.7e-06
