 slim_762485237 slim_762485265 slim_762485279 slim_762485220 slim_762485248 slim_762485261 slim_762485229 slim_762485263 slim_762485233 slim_762485232 slim_762485235 slim_762485251 slim_762485278 slim_762485230 slim_762485245 slim_762485269 slim_762485253 slim_762485268 slim_762485260 slim_762485266 slim_762485243 slim_762485274 slim_762485255 slim_762485242 slim_762485270 slim_762485236 slim_762485222 slim_762485277 slim_762485275 slim_762485226 slim_762485224 slim_762485252 slim_762485249 slim_762485238 slim_762485241 slim_762485240 slim_762485223 slim_762485259 slim_762485276 slim_762485280 slim_762485250 slim_762485267 slim_762485246 slim_762485264 slim_762485244 slim_762485227 slim_762485225 slim_762485272 slim_762485221 slim_762485228 slim_762485231 slim_762485257 slim_762485239 slim_762485254 slim_762485256 slim_762485273 slim_762485262 slim_762485258 slim_762485247 slim_762485234 slim_762485271
31 2.7e-06 1.35e-06 1.8e-06 1.25e-06 2e-06 1.5e-06 1.35e-06 1.1e-06 1.85e-06 1.85e-06 1.9e-06 1.6e-06 1.95e-06 1.6e-06 6.5e-07 1.25e-06 1.55e-06 1e-06 6e-07 1.9e-06 1.35e-06 2.45e-06 9e-07 1.65e-06 1.3e-06 2.5e-06 1.75e-06 2.6e-06 1.2e-06 1.35e-06 6e-07 1e-06 1.25e-06 2.05e-06 1.4e-06 1.1e-06 2.45e-06 1.2e-06 1.3e-06 2.05e-06 1.85e-06 1.3e-06 1.4e-06 1.45e-06 1.1e-06 1.9e-06 1.75e-06 2.05e-06 9.5e-07 1.25e-06 2.55e-06 1.45e-06 1.8e-06 1.55e-06 1.55e-06 1.6e-06 1e-06 1.6e-06 1.2e-06 2.05e-06 1.05e-06
32 2.55e-06 1.2e-06 1.55e-06 1.2e-06 1.35e-06 1.6e-06 1.7e-06 8.5e-07 1.9e-06 1.9e-06 1.85e-06 1.6e-06 1.9e-06 1.65e-06 8.5e-07 8.5e-07 1.7e-06 1.25e-06 9e-07 1.85e-06 8e-07 2.2e-06 1.25e-06 1.4e-06 1.6e-06 2.35e-06 1.85e-06 2.45e-06 1.35e-06 1.65e-06 9.5e-07 1.25e-06 1e-07 2.2e-06 9e-07 7.5e-07 2.35e-06 1.35e-06 1.6e-06 2e-06 1.2e-06 7.5e-07 1.35e-06 1.9e-06 1.25e-06 1.7e-06 1.85e-06 2e-06 1.3e-06 1.2e-06 2.4e-06 1.5e-06 1.85e-06 1.7e-06 1.6e-06 1.65e-06 8.5e-07 1.85e-06 1.15e-06 2.2e-06 7e-07
33 2.5e-06 1.9e-06 1.25e-06 2.05e-06 2.4e-06 2.15e-06 1.95e-06 1.8e-06 1.35e-06 1.35e-06 1.3e-06 1.35e-06 1.4e-06 2.25e-06 1.85e-06 2.25e-06 1.2e-06 1.85e-06 1.75e-06 1.3e-06 2.1e-06 1.25e-06 1.6e-06 1.8e-06 1.8e-06 7e-07 1.9e-06 7.5e-07 1.5e-06 1.85e-06 1.8e-06 2.05e-06 2.2e-06 1.3e-06 2.05e-06 2.1e-06 2.35e-06 1.85e-06 1.8e-06 1.3e-06 1.4e-06 2.05e-06 1.9e-06 1.6e-06 2e-06 1.25e-06 2.1e-06 2.2e-06 2.2e-06 1.95e-06 7e-07 1.55e-06 1.25e-06 1.2e-06 1.3e-06 1.95e-06 1.85e-06 1.9e-06 1.9e-06 1.35e-06 1.95e-06
34 2.45e-06 1.2e-06 1.55e-06 1.45e-06 1.7e-06 1.55e-06 1.7e-06 9e-07 1.95e-06 1.95e-06 1.65e-06 1.65e-06 1.75e-06 1.55e-06 1.15e-06 1.3e-06 1.7e-06 1.25e-06 1.15e-06 1.65e-06 1.1e-06 2.05e-06 1.5e-06 1.4e-06 1.35e-06 2.15e-06 1.85e-06 2.25e-06 1.5e-06 1.4e-06 1.2e-06 1.4e-06 9e-07 2.05e-06 1.5e-06 1.1e-06 2.1e-06 1.15e-06 1.35e-06 1.85e-06 1.5e-06 1.05e-06 1.25e-06 1.85e-06 1.3e-06 1.75e-06 1.85e-06 1.9e-06 1.45e-06 1.45e-06 2.2e-06 1.55e-06 1.9e-06 1.7e-06 1.65e-06 1.55e-06 7.5e-07 1.65e-06 1e-06 1.95e-06 1.15e-06
35 2.65e-06 1.15e-06 1.65e-06 1e-06 1.75e-06 1.45e-06 1.55e-06 1e-06 1.7e-06 1.7e-06 1.75e-06 1.5e-06 1.8e-06 1.55e-06 6.5e-07 9e-07 1.65e-06 1.05e-06 7.5e-07 1.75e-06 1e-06 2.15e-06 9.5e-07 1.45e-06 1.35e-06 2.4e-06 1.9e-06 2.5e-06 1.05e-06 1.4e-06 7.5e-07 1.1e-06 7.5e-07 2.1e-06 1.1e-06 1.2e-06 2.4e-06 1.3e-06 1.35e-06 1.85e-06 1.55e-06 9.5e-07 1.25e-06 1.85e-06 1e-06 1.75e-06 1.95e-06 1.9e-06 1.25e-06 1.05e-06 2.45e-06 1.45e-06 1.65e-06 1.65e-06 1.45e-06 1.35e-06 1e-06 1.55e-06 1.1e-06 2.1e-06 7e-07
36 1.25e-06 2.1e-06 2.05e-06 2.35e-06 1.9e-06 1.7e-06 2.3e-06 2e-06 2.45e-06 2.45e-06 2.15e-06 2.3e-06 2.15e-06 1.75e-06 2.3e-06 2.45e-06 2.25e-06 2.2e-06 2.25e-06 2.15e-06 2.25e-06 2.1e-06 2.5e-06 2e-06 1.95e-06 2.25e-06 2.3e-06 2.3e-06 2.25e-06 2e-06 2.3e-06 2.45e-06 2.35e-06 2.35e-06 2.1e-06 2.4e-06 2e-06 2e-06 1.95e-06 2.15e-06 2.25e-06 2.2e-06 2.15e-06 2.4e-06 2.3e-06 2.2e-06 2.4e-06 1.6e-06 2.45e-06 2.4e-06 2.25e-06 2.25e-06 2.4e-06 2.25e-06 2.3e-06 2.2e-06 2e-06 2.15e-06 2.05e-06 2.2e-06 2.35e-06
37 2.45e-06 1.35e-06 1.6e-06 1.25e-06 1.95e-06 1.4e-06 1.6e-06 1e-06 1.8e-06 1.8e-06 1.7e-06 1.6e-06 1.75e-06 1.45e-06 1e-06 1.3e-06 1.55e-06 1.2e-06 9.5e-07 1.7e-06 1.4e-06 2.1e-06 1.25e-06 1.3e-06 1.2e-06 2.1e-06 1.9e-06 2.2e-06 1.3e-06 1.25e-06 1e-06 1.2e-06 1.35e-06 1.85e-06 1.15e-06 1.3e-06 2e-06 1.6e-06 1.2e-06 1.8e-06 1.7e-06 1.35e-06 1.25e-06 1.75e-06 1.3e-06 1.8e-06 1.95e-06 1.9e-06 1.45e-06 1.4e-06 2.15e-06 1.45e-06 1.75e-06 1.55e-06 1.55e-06 1.55e-06 8e-07 1.25e-06 1.1e-06 1.55e-06 1.25e-06
38 2.3e-06 1.2e-06 1.85e-06 1.55e-06 2e-06 1.45e-06 1.7e-06 1.5e-06 1.9e-06 1.9e-06 1.45e-06 1.7e-06 1.55e-06 1.55e-06 1.05e-06 1.55e-06 1.65e-06 9e-07 1e-06 1.45e-06 1.2e-06 2e-06 1.3e-06 1.65e-06 7e-07 2.25e-06 2.1e-06 2.35e-06 1.15e-06 7.5e-07 1.05e-06 1.3e-06 1.6e-06 1.8e-06 1.35e-06 1.35e-06 1.95e-06 1.2e-06 1.3e-06 1.6e-06 1.9e-06 1.15e-06 1.3e-06 1.9e-06 9.5e-07 2e-06 2.15e-06 1.55e-06 1.7e-06 1.6e-06 2.3e-06 1.6e-06 1.85e-06 1.65e-06 1.65e-06 1e-06 1.45e-06 1.05e-06 1.1e-06 1.7e-06 1.4e-06
39 2.2e-06 1.55e-06 1.3e-06 1.8e-06 2.15e-06 2e-06 1.8e-06 1.65e-06 1.5e-06 1.5e-06 1.3e-06 1.45e-06 1.15e-06 2.05e-06 1.75e-06 2e-06 1.5e-06 1.65e-06 1.75e-06 1.3e-06 1.75e-06 1.05e-06 1.7e-06 1.6e-06 1.6e-06 1.2e-06 1.75e-06 1.25e-06 1.3e-06 1.65e-06 1.8e-06 2.05e-06 2e-06 1.3e-06 1.85e-06 1.85e-06 2.15e-06 1.8e-06 1.6e-06 2.1e-06 1.55e-06 1.7e-06 1.45e-06 1.7e-06 1.7e-06 1.4e-06 1.95e-06 1.65e-06 2e-06 1.75e-06 1.2e-06 1.6e-06 1.45e-06 1.5e-06 1.45e-06 1.15e-06 1.75e-06 1.5e-06 1.6e-06 1.6e-06 1.75e-06
40 2.35e-06 1.55e-06 1.15e-06 1.65e-06 1.8e-06 1.95e-06 1.75e-06 1.25e-06 1.55e-06 1.55e-06 1.5e-06 1.4e-06 1.55e-06 2e-06 1.55e-06 1.65e-06 1.4e-06 1.75e-06 1.55e-06 1.5e-06 1.55e-06 1.4e-06 1.65e-06 1.45e-06 1.9e-06 1.2e-06 1.6e-06 1.25e-06 1.6e-06 1.95e-06 1.6e-06 1.85e-06 1.2e-06 1.4e-06 1.5e-06 1.55e-06 2.25e-06 1.7e-06 1.9e-06 1.55e-06 2.3e-06 1.5e-06 1.7e-06 1.65e-06 1.8e-06 1.2e-06 1.7e-06 2.1e-06 1.75e-06 1.6e-06 1.2e-06 1.45e-06 1.5e-06 1.4e-06 1.4e-06 1.95e-06 1.35e-06 2.05e-06 1.6e-06 1.7e-06 1.45e-06
41 2.3e-06 9.5e-07 1.65e-06 1.35e-06 1.55e-06 1.6e-06 1.7e-06 1.1e-06 1.9e-06 1.9e-06 1.45e-06 1.6e-06 1.6e-06 1.65e-06 9e-07 1.15e-06 1.7e-06 9e-07 9.5e-07 1.45e-06 7.5e-07 2e-06 1.3e-06 1.5e-06 1.1e-06 2.3e-06 1.95e-06 2.4e-06 1.2e-06 1.15e-06 1e-06 1.3e-06 7.5e-07 2.05e-06 1.05e-06 9.5e-07 2.2e-06 1.35e-06 1.15e-06 1.7e-06 1.5e-06 1.4e-06 1.2e-06 1.9e-06 9.5e-07 1.8e-06 1.95e-06 1.6e-06 1.45e-06 1.35e-06 2.35e-06 1.5e-06 1.85e-06 1.7e-06 1.6e-06 1.1e-06 1.1e-06 1.45e-06 9e-07 2.05e-06 1e-06
42 2.35e-06 1.2e-06 1.6e-06 1.35e-06 1.9e-06 1.6e-06 1.7e-06 1.05e-06 1.75e-06 1.75e-06 1.55e-06 1.55e-06 1.45e-06 1.6e-06 1.1e-06 1.4e-06 1.65e-06 1.15e-06 1.1e-06 1.55e-06 1.25e-06 1.8e-06 1.3e-06 1.45e-06 1.3e-06 2.1e-06 1.95e-06 2.2e-06 1.1e-06 1.35e-06 1.15e-06 1.4e-06 1.35e-06 1.9e-06 1.25e-06 1.25e-06 2.15e-06 1.25e-06 1.3e-06 1.45e-06 1.7e-06 1.2e-06 1.8e-06 1.85e-06 1.2e-06 1.8e-06 2.05e-06 1.55e-06 1.5e-06 1.35e-06 2.15e-06 1.6e-06 1.7e-06 1.65e-06 1.55e-06 9e-07 9e-07 1.3e-06 1e-06 1.95e-06 1.2e-06
43 2.55e-06 1.75e-06 1.4e-06 1.8e-06 2.25e-06 2e-06 1.55e-06 1.5e-06 1.7e-06 1.7e-06 1.7e-06 1.55e-06 1.7e-06 2.05e-06 1.6e-06 1.95e-06 1.55e-06 1.8e-06 1.6e-06 1.7e-06 1.95e-06 1.65e-06 1.65e-06 1.7e-06 1.9e-06 1.5e-06 1.5e-06 1.55e-06 1.65e-06 1.95e-06 1.6e-06 1.45e-06 1.9e-06 1.6e-06 1.85e-06 1.85e-06 2.4e-06 1.75e-06 1.9e-06 1.7e-06 1.65e-06 1.9e-06 1.85e-06 2.7e-06 1.85e-06 1.45e-06 1.6e-06 2.25e-06 1.5e-06 1.75e-06 1.5e-06 1.55e-06 1.65e-06 1.55e-06 1.55e-06 2.05e-06 1.55e-06 2.05e-06 1.75e-06 1.8e-06 1.75e-06
44 2.4e-06 1e-06 1.75e-06 1.25e-06 1.85e-06 1.5e-06 1.6e-06 1.2e-06 1.8e-06 1.8e-06 1.5e-06 1.55e-06 1.6e-06 1.6e-06 6e-07 1.25e-06 1.65e-06 8e-07 7.5e-07 1.5e-06 1e-06 2.1e-06 1.05e-06 1.6e-06 1e-06 2.4e-06 2e-06 2.5e-06 1e-06 1.05e-06 7.5e-07 1.1e-06 1.25e-06 2e-06 1.3e-06 1e-06 2.3e-06 1.3e-06 9.5e-07 1.7e-06 1.8e-06 9.5e-07 1.2e-06 1.85e-06 1.2e-06 1.85e-06 2e-06 1.6e-06 1.4e-06 1.25e-06 2.45e-06 1.4e-06 1.75e-06 1.65e-06 1.5e-06 1e-06 1.2e-06 1.3e-06 9.5e-07 2e-06 1.05e-06
45 2.1e-06 1.6e-06 9.5e-07 1.65e-06 1.9e-06 2e-06 1.55e-06 1.3e-06 1.35e-06 1.35e-06 1.4e-06 1.25e-06 1.4e-06 2.05e-06 1.6e-06 1.85e-06 1.25e-06 1.85e-06 1.65e-06 1.4e-06 1.85e-06 1e-06 1.7e-06 1.45e-06 2e-06 8.5e-07 1.15e-06 8.5e-07 1.65e-06 2.05e-06 1.65e-06 1.9e-06 1.7e-06 1.25e-06 1.75e-06 1.75e-06 2.2e-06 1.8e-06 2e-06 1.4e-06 1.2e-06 1.8e-06 1.8e-06 1.45e-06 1.85e-06 1.5e-06 1.25e-06 2.05e-06 1.75e-06 1.6e-06 8e-07 1.25e-06 1.3e-06 1.25e-06 1.25e-06 2.05e-06 1.45e-06 2.15e-06 1.7e-06 1.55e-06 1.65e-06
46 2.3e-06 1.75e-06 1.4e-06 1.85e-06 2.05e-06 2.15e-06 1.4e-06 1.45e-06 1.95e-06 1.95e-06 1.9e-06 1.75e-06 1.85e-06 2.2e-06 1.75e-06 2.05e-06 1.75e-06 2e-06 1.8e-06 1.9e-06 2e-06 1.55e-06 2.1e-06 1.65e-06 2.15e-06 1.7e-06 1.05e-06 1.7e-06 2.1e-06 2.2e-06 1.8e-06 1.75e-06 1.85e-06 2.1e-06 1.85e-06 1.95e-06 2.4e-06 1.95e-06 2.15e-06 1.95e-06 1.7e-06 1.95e-06 2.05e-06 1.6e-06 2e-06 1.25e-06 1.8e-06 2.25e-06 1.6e-06 1.85e-06 1.65e-06 1.55e-06 1.9e-06 1.75e-06 1.75e-06 2.3e-06 1.6e-06 2.4e-06 1.85e-06 2.05e-06 1.9e-06
47 1.25e-06 1.6e-06 2e-06 2e-06 1.7e-06 1.95e-06 2.05e-06 1.85e-06 2.2e-06 2.2e-06 1.75e-06 2e-06 1.6e-06 2e-06 1.75e-06 2.05e-06 2.05e-06 1.55e-06 1.75e-06 1.75e-06 1.65e-06 1.8e-06 2e-06 1.95e-06 1.55e-06 2.3e-06 2.2e-06 2.35e-06 1.65e-06 1.6e-06 1.8e-06 2.05e-06 2e-06 2.2e-06 1.9e-06 1.9e-06 1.6e-06 1.9e-06 1.55e-06 1.65e-06 2.1e-06 1.6e-06 1.55e-06 2.25e-06 1.6e-06 2.05e-06 2.25e-06 2.1e-06 2.15e-06 2.05e-06 2.3e-06 1.95e-06 2.15e-06 2.05e-06 2e-06 1.1e-06 1.85e-06 1.6e-06 1.55e-06 2.2e-06 1.9e-06
48 2.75e-06 1.3e-06 1.5e-06 1.1e-06 2.05e-06 1.6e-06 1.35e-06 9.5e-07 1.85e-06 1.85e-06 1.9e-06 1.5e-06 1.9e-06 1.6e-06 1e-06 1.35e-06 1.7e-06 1.4e-06 1.05e-06 1.9e-06 1.5e-06 2.15e-06 1.3e-06 1.25e-06 1.7e-06 2.25e-06 1.6e-06 2.35e-06 1.45e-06 1.75e-06 1.05e-06 9.5e-07 1.3e-06 2.2e-06 1.45e-06 1.25e-06 2.45e-06 1.45e-06 1.7e-06 2e-06 1.75e-06 1.45e-06 1.5e-06 1.5e-06 1.4e-06 1.75e-06 1.6e-06 2.15e-06 1.7e-06 1.2e-06 2.3e-06 1.5e-06 1.8e-06 1.7e-06 1.55e-06 1.75e-06 1.05e-06 1.9e-06 1.35e-06 2.15e-06 1.2e-06
49 2.7e-06 1.2e-06 1.35e-06 9.5e-07 2e-06 1.5e-06 1.5e-06 9e-07 1.4e-06 1.4e-06 1.75e-06 1.4e-06 1.75e-06 1.6e-06 8e-07 1.2e-06 1.55e-06 1.3e-06 9e-07 1.75e-06 1.4e-06 1.9e-06 1.05e-06 1.2e-06 1.6e-06 2.05e-06 1.75e-06 2.15e-06 1.1e-06 1.65e-06 9e-07 1.25e-06 1.2e-06 1.95e-06 1.45e-06 1.05e-06 2.4e-06 1.4e-06 1.6e-06 1.75e-06 1.6e-06 1.35e-06 1.35e-06 1.75e-06 1.25e-06 1.6e-06 1.85e-06 2.05e-06 1.2e-06 1.5e-06 2.1e-06 1.4e-06 1.5e-06 1.55e-06 1.35e-06 1.55e-06 1.05e-06 1.7e-06 1.3e-06 2e-06 9.5e-07
50 2.25e-06 2e-06 8.5e-07 2.2e-06 2.35e-06 2.4e-06 1.9e-06 1.75e-06 1.3e-06 1.3e-06 1.25e-06 1.3e-06 1.3e-06 2.45e-06 2.35e-06 2.55e-06 1.2e-06 2.35e-06 2.3e-06 1.25e-06 2.4e-06 7e-07 2.15e-06 1.6e-06 2.3e-06 1.5e-07 1.45e-06 1.5e-07 1.95e-06 2.35e-06 2.35e-06 2.55e-06 2.4e-06 7e-07 2.2e-06 2.45e-06 2.25e-06 2.15e-06 2.3e-06 1.2e-06 1.2e-06 2.35e-06 2.15e-06 1.5e-06 2.45e-06 8e-07 1.65e-06 2.3e-06 2.3e-06 2.1e-06 1e-07 1.5e-06 1.25e-06 1.2e-06 1.3e-06 2.35e-06 1.95e-06 2.35e-06 2.15e-06 1.3e-06 2.3e-06
51 2.3e-06 1.35e-06 1.2e-06 1.35e-06 1.9e-06 1.7e-06 1.5e-06 1.15e-06 1.55e-06 1.55e-06 1.5e-06 1.35e-06 1.5e-06 1.8e-06 1.1e-06 1.55e-06 1.35e-06 1.4e-06 1.15e-06 1.5e-06 1.55e-06 1.55e-06 1.35e-06 1.35e-06 1.6e-06 1.5e-06 1.55e-06 1.55e-06 1.4e-06 1.65e-06 1.15e-06 1.45e-06 1.5e-06 1.55e-06 1.55e-06 1.45e-06 2.25e-06 1.45e-06 1.6e-06 1.6e-06 1.45e-06 1.5e-06 1.6e-06 1.55e-06 1.4e-06 1.25e-06 1.55e-06 1.95e-06 1.5e-06 1.4e-06 1.5e-06 2.1e-06 1.5e-06 1.35e-06 1.3e-06 1.75e-06 1.25e-06 1.8e-06 1.4e-06 1.65e-06 1.4e-06
52 2.55e-06 1.7e-06 1.3e-06 1.55e-06 2.25e-06 1.9e-06 1.7e-06 1.5e-06 1.35e-06 1.35e-06 1.55e-06 1.35e-06 1.55e-06 2e-06 1.45e-06 1.8e-06 1.4e-06 1.75e-06 1.5e-06 1.55e-06 1.9e-06 1.4e-06 1.4e-06 1.6e-06 1.85e-06 1.25e-06 1.7e-06 1.3e-06 1.3e-06 1.9e-06 1.5e-06 1.8e-06 1.85e-06 1.25e-06 1.9e-06 1.65e-06 2.4e-06 1.75e-06 1.85e-06 1.45e-06 1.5e-06 1.85e-06 1.7e-06 1.65e-06 1.75e-06 1.3e-06 1.9e-06 2.15e-06 1.8e-06 1.5e-06 1.25e-06 1.5e-06 2.4e-06 1.4e-06 1.3e-06 1.8e-06 1.6e-06 1.85e-06 1.75e-06 1.65e-06 1.5e-06
53 2.35e-06 1.55e-06 1.2e-06 1.6e-06 2.05e-06 1.85e-06 1.65e-06 1.3e-06 1.45e-06 1.45e-06 1.45e-06 1.35e-06 1.5e-06 1.95e-06 1.35e-06 1.8e-06 1.2e-06 1.5e-06 1.25e-06 1.45e-06 1.75e-06 1.45e-06 1.35e-06 1.5e-06 1.65e-06 1.15e-06 1.65e-06 1.2e-06 1.45e-06 1.7e-06 1.3e-06 1.55e-06 1.7e-06 1.2e-06 1.7e-06 1.65e-06 2.25e-06 1.55e-06 1.65e-06 1.5e-06 1.4e-06 1.7e-06 1.65e-06 1.55e-06 1.65e-06 1.25e-06 1.75e-06 2.05e-06 1.7e-06 1.55e-06 1.2e-06 1.35e-06 1.4e-06 2.3e-06 1.3e-06 1.85e-06 1.35e-06 1.85e-06 1.55e-06 1.5e-06 1.55e-06
54 2.45e-06 1.45e-06 1.2e-06 1.35e-06 2.05e-06 1.7e-06 1.55e-06 1.25e-06 1.35e-06 1.35e-06 1.4e-06 1.2e-06 1.45e-06 1.8e-06 1.2e-06 1.6e-06 1.3e-06 1.5e-06 1.25e-06 1.4e-06 1.65e-06 1.45e-06 1.25e-06 1.4e-06 1.65e-06 1.25e-06 1.65e-06 1.35e-06 1.25e-06 1.7e-06 1.25e-06 1.55e-06 1.6e-06 1.3e-06 1.65e-06 1.45e-06 2.3e-06 1.55e-06 1.65e-06 1.45e-06 1.4e-06 1.6e-06 1.55e-06 1.55e-06 1.5e-06 1.25e-06 1.75e-06 2e-06 1.55e-06 1.35e-06 1.3e-06 1.3e-06 1.3e-06 1.3e-06 2.3e-06 1.65e-06 1.35e-06 1.75e-06 1.5e-06 1.6e-06 1.35e-06
55 2.25e-06 1.15e-06 1.9e-06 1.5e-06 2e-06 1.7e-06 1.8e-06 1.6e-06 1.85e-06 1.85e-06 1.4e-06 1.65e-06 1.15e-06 1.75e-06 1.2e-06 1.55e-06 1.85e-06 1e-06 1.25e-06 1.4e-06 1.15e-06 1.65e-06 1.4e-06 1.7e-06 1e-06 2.3e-06 2.2e-06 2.4e-06 9e-07 1.05e-06 1.3e-06 1.6e-06 1.65e-06 1.95e-06 1.55e-06 1.35e-06 2.2e-06 1.55e-06 1e-06 1.15e-06 1.95e-06 1.1e-06 9e-07 2.05e-06 1e-06 2.05e-06 2.3e-06 1.1e-06 1.75e-06 1.55e-06 2.35e-06 1.75e-06 1.8e-06 1.85e-06 1.65e-06 2e-07 1.6e-06 8.5e-07 1.1e-06 2e-06 1.35e-06
56 2.3e-06 1.05e-06 1.2e-06 1.05e-06 1.6e-06 1.35e-06 1.45e-06 3e-07 1.65e-06 1.65e-06 1.6e-06 1.35e-06 1.65e-06 1.3e-06 8e-07 1.1e-06 1.35e-06 1.1e-06 7.5e-07 1.6e-06 1.15e-06 1.95e-06 1.1e-06 1.05e-06 1.45e-06 1.9e-06 1.6e-06 2e-06 1.3e-06 1.5e-06 8e-07 1e-06 8.5e-07 1.85e-06 7.5e-07 1e-06 2e-06 8e-07 1.45e-06 1.75e-06 1.35e-06 1.1e-06 9e-07 1.55e-06 1.2e-06 1.45e-06 1.6e-06 1.85e-06 1.05e-06 1.05e-06 1.95e-06 1.25e-06 1.6e-06 1.35e-06 1.35e-06 1.6e-06 0.0 1.7e-06 7e-07 1.85e-06 9.5e-07
57 2.5e-06 1.5e-06 2e-06 1.55e-06 2.25e-06 1.65e-06 1.85e-06 1.75e-06 1.9e-06 1.9e-06 1.65e-06 1.8e-06 1.55e-06 1.75e-06 1.3e-06 1.6e-06 1.85e-06 1.25e-06 1.3e-06 1.65e-06 1.5e-06 1.95e-06 1.45e-06 1.7e-06 1.05e-06 2.3e-06 2.25e-06 2.4e-06 1.1e-06 1.1e-06 1.35e-06 1.6e-06 1.85e-06 1.9e-06 1.65e-06 1.55e-06 2.15e-06 1.25e-06 1.05e-06 1.5e-06 2.05e-06 1.45e-06 1.3e-06 2.05e-06 1.3e-06 2.15e-06 2.4e-06 1.6e-06 1.9e-06 1.7e-06 2.35e-06 1.8e-06 1.85e-06 1.85e-06 1.75e-06 8.5e-07 1.7e-06 1.6e-06 1.4e-06 1.65e-06 1.5e-06
58 2.2e-06 9e-07 1.5e-06 1.3e-06 1.7e-06 1.5e-06 1.6e-06 8.5e-07 1.8e-06 1.8e-06 1.35e-06 1.5e-06 1.5e-06 1.5e-06 9e-07 1.3e-06 1.55e-06 8.5e-07 9e-07 1.35e-06 9.5e-07 1.9e-06 1.25e-06 1.35e-06 1.05e-06 2.1e-06 1.85e-06 2.2e-06 1.2e-06 1.1e-06 9.5e-07 1.2e-06 1.15e-06 1.9e-06 1e-06 1.1e-06 2.05e-06 1.1e-06 1.1e-06 1.6e-06 1.6e-06 9e-07 1e-06 1.75e-06 9.5e-07 1.7e-06 1.85e-06 1.55e-06 1.35e-06 1.3e-06 2.15e-06 1.4e-06 1.75e-06 1.55e-06 1.5e-06 1.1e-06 7e-07 1.4e-06 1.4e-06 1.9e-06 1.15e-06
59 2.5e-06 1.9e-06 1.5e-06 1.9e-06 2.4e-06 2e-06 1.9e-06 1.8e-06 1.7e-06 1.7e-06 1.6e-06 1.65e-06 1.65e-06 2.1e-06 1.85e-06 2.1e-06 1.55e-06 1.9e-06 1.8e-06 1.6e-06 2.1e-06 1.55e-06 1.85e-06 1.65e-06 1.7e-06 1.25e-06 1.9e-06 1.3e-06 1.7e-06 1.75e-06 1.85e-06 2.05e-06 2.2e-06 1.35e-06 1.95e-06 2.1e-06 2.2e-06 1.55e-06 1.7e-06 1.6e-06 1.7e-06 2.05e-06 1.95e-06 1.8e-06 2e-06 1.55e-06 2.05e-06 2.2e-06 2.15e-06 2e-06 1.3e-06 1.65e-06 1.65e-06 1.5e-06 1.6e-06 2e-06 1.85e-06 1.65e-06 1.9e-06 2.5e-06 2e-06
60 2.6e-06 1.2e-06 1.55e-06 9.5e-07 1.7e-06 1.4e-06 1.5e-06 9.5e-07 1.55e-06 1.55e-06 1.75e-06 1.4e-06 1.75e-06 1.5e-06 6e-07 8.5e-07 1.55e-06 1.1e-06 7e-07 1.75e-06 1.05e-06 2.05e-06 8.5e-07 1.4e-06 1.4e-06 2.25e-06 1.75e-06 2.35e-06 9e-07 1.45e-06 7e-07 1.05e-06 7e-07 1.95e-06 1.15e-06 7e-07 2.35e-06 1.25e-06 1.4e-06 1.75e-06 1.45e-06 1e-06 1.2e-06 1.75e-06 1.05e-06 1.65e-06 1.9e-06 1.9e-06 1.2e-06 9.5e-07 2.3e-06 1.4e-06 1.5e-06 1.55e-06 1.35e-06 1.35e-06 9.5e-07 1.5e-06 1.15e-06 2e-06 1.1e-06
