 slim_762439452 slim_762439437 slim_762439429 slim_762439451 slim_762439482 slim_762439432 slim_762439465 slim_762439445 slim_762439447 slim_762439456 slim_762439455 slim_762439483 slim_762439433 slim_762439436 slim_762439442 slim_762439430 slim_762439450 slim_762439467 slim_762439474 slim_762439466 slim_762439453 slim_762439457 slim_762439435 slim_762439461 slim_762439434 slim_762439484 slim_762439441 slim_762439475 slim_762439464 slim_762439459 slim_762439478 slim_762439470 slim_762439481 slim_762439477 slim_762439449 slim_762439485 slim_762439443 slim_762439479 slim_762439448 slim_762439444 slim_762439476 slim_762439438 slim_762439431 slim_762439471 slim_762439446 slim_762439473 slim_762439439 slim_762439472 slim_762439480 slim_762439469 slim_762439454 slim_762439462 slim_762439463 slim_762439440 slim_762439468 slim_762439458 slim_762439460
37 6.5e-07 5e-07 9e-07 6.5e-07 7.5e-07 5.5e-07 7.5e-07 6e-07 4e-07 9e-07 9.5e-07 7.5e-07 6.5e-07 7e-07 6e-07 5e-07 7e-07 5e-07 9e-07 7.5e-07 7e-07 8.5e-07 1.25e-06 1e-06 7e-07 4e-07 5e-07 8.5e-07 5e-07 7.5e-07 3e-07 5.5e-07 7.5e-07 6e-07 1.1e-06 4.5e-07 7e-07 6e-07 7.5e-07 7e-07 7.5e-07 6e-07 6e-07 6.5e-07 7e-07 8e-07 1.1e-06 6e-07 6e-07 6e-07 5e-07 6.5e-07 9.5e-07 6.5e-07 6e-07 1e-06 7.5e-07
38 7.5e-07 8.5e-07 1.1e-06 9e-07 1.05e-06 7.5e-07 1.1e-06 8.5e-07 8.5e-07 1.1e-06 1.05e-06 1.05e-06 8e-07 9e-07 1.05e-06 8.5e-07 8e-07 8e-07 9.5e-07 1.1e-06 9e-07 1.05e-06 1.45e-06 1.2e-06 1.05e-06 8e-07 7e-07 1.05e-06 8.5e-07 1.05e-06 7e-07 7.5e-07 8e-07 8.5e-07 1.1e-06 9.5e-07 1.05e-06 7.5e-07 1.2e-06 9e-07 9.5e-07 9e-07 1e-06 1e-06 9.5e-07 8.5e-07 1.1e-06 8.5e-07 9e-07 8e-07 8e-07 8e-07 1.15e-06 8e-07 8.5e-07 1e-06 1.05e-06
39 5e-07 5e-07 5e-07 9e-07 7.5e-07 7e-07 8.5e-07 5e-07 8e-07 8.5e-07 5.5e-07 8.5e-07 5.5e-07 2.5e-07 9.5e-07 6.5e-07 9.5e-07 4.5e-07 7e-07 8.5e-07 2.5e-07 7.5e-07 1e-06 5.5e-07 7e-07 7.5e-07 7e-07 4.5e-07 5e-07 7e-07 7e-07 8e-07 8.5e-07 4e-07 1.05e-06 8.5e-07 6.5e-07 7e-07 9e-07 5e-07 3.5e-07 5.5e-07 8.5e-07 9e-07 6e-07 8e-07 1.05e-06 6e-07 5.5e-07 8.5e-07 4.5e-07 5.5e-07 5e-07 5.5e-07 4e-07 9e-07 7e-07
40 6e-07 5.5e-07 6e-07 1e-06 8e-07 8.5e-07 9.5e-07 6e-07 8.5e-07 9.5e-07 5e-07 9e-07 6e-07 3.5e-07 1.05e-06 6.5e-07 1e-06 4.5e-07 7.5e-07 9.5e-07 4.5e-07 8.5e-07 1.1e-06 7e-07 7.5e-07 8e-07 8e-07 3.5e-07 6.5e-07 7.5e-07 7e-07 8.5e-07 9e-07 5e-07 1.15e-06 9.5e-07 8e-07 7.5e-07 9.5e-07 3.5e-07 5e-07 6.5e-07 9.5e-07 9.5e-07 7e-07 9e-07 1.15e-06 7e-07 6.5e-07 9e-07 4.5e-07 6e-07 5.5e-07 7e-07 5e-07 9.5e-07 7.5e-07
41 6e-07 7e-07 8e-07 9e-07 8e-07 7e-07 9.5e-07 6e-07 6.5e-07 1e-06 8.5e-07 9e-07 7.5e-07 5.5e-07 9.5e-07 6e-07 8.5e-07 5.5e-07 9.5e-07 9.5e-07 4.5e-07 9e-07 1.2e-06 8e-07 9e-07 7.5e-07 7e-07 7.5e-07 6e-07 7.5e-07 5e-07 8e-07 9e-07 6e-07 1.15e-06 8.5e-07 7.5e-07 6e-07 9e-07 5.5e-07 6.5e-07 9e-07 8.5e-07 9e-07 6.5e-07 9.5e-07 1.15e-06 7.5e-07 5.5e-07 8.5e-07 5.5e-07 7.5e-07 8.5e-07 6.5e-07 6e-07 1.05e-06 7.5e-07
42 9e-07 7e-07 1.1e-06 4.5e-07 1.15e-06 7.5e-07 9e-07 8e-07 7e-07 1.05e-06 1.15e-06 8e-07 8.5e-07 8.5e-07 4e-07 9.5e-07 9.5e-07 8e-07 1.05e-06 9e-07 8e-07 1.1e-06 1.35e-06 1.2e-06 9e-07 6.5e-07 6.5e-07 1.05e-06 6.5e-07 1.1e-06 7.5e-07 8e-07 9e-07 8e-07 1.2e-06 5.5e-07 7.5e-07 6e-07 1e-06 8.5e-07 9.5e-07 8.5e-07 2e-07 1e-06 9e-07 1e-06 1.2e-06 8e-07 8.5e-07 8.5e-07 8e-07 8.5e-07 1.2e-06 8e-07 8e-07 1.2e-06 1.1e-06
43 8.5e-07 7.5e-07 1.05e-06 1e-06 9.5e-07 8.5e-07 9.5e-07 8.5e-07 7.5e-07 1.1e-06 1.15e-06 1.15e-06 9e-07 9e-07 8.5e-07 7.5e-07 1.05e-06 8e-07 1.2e-06 9.5e-07 9e-07 1.05e-06 1.35e-06 1.15e-06 8.5e-07 7e-07 8.5e-07 1.05e-06 7.5e-07 1e-06 6.5e-07 8.5e-07 1.1e-06 8.5e-07 1.3e-06 8e-07 1e-06 6.5e-07 1e-06 9e-07 9.5e-07 9e-07 1e-06 1.2e-06 9.5e-07 1e-06 1.3e-06 8.5e-07 9e-07 9e-07 8e-07 9e-07 1.1e-06 9e-07 8.5e-07 1.2e-06 1e-06
44 6.5e-07 7e-07 8e-07 8.5e-07 8.5e-07 6e-07 9.5e-07 5e-07 7.5e-07 1e-06 9e-07 9.5e-07 7e-07 6e-07 9.5e-07 8e-07 1e-06 7e-07 1e-06 9.5e-07 5e-07 8.5e-07 1.25e-06 8e-07 9e-07 6e-07 7e-07 8e-07 6e-07 8.5e-07 7e-07 6e-07 9.5e-07 6e-07 1.2e-06 8.5e-07 8e-07 7e-07 9.5e-07 6e-07 7e-07 6.5e-07 9e-07 9.5e-07 1e-06 9.5e-07 1.2e-06 7.5e-07 7e-07 6.5e-07 7e-07 7e-07 8.5e-07 6e-07 6e-07 1.05e-06 8.5e-07
45 9e-07 7.5e-07 1e-06 9e-07 1.15e-06 7.5e-07 1e-06 8.5e-07 9e-07 1e-06 1e-06 1.1e-06 7.5e-07 8e-07 1e-06 9.5e-07 8e-07 8.5e-07 8e-07 1e-06 8e-07 1.05e-06 1.35e-06 1.15e-06 9.5e-07 8e-07 7e-07 1e-06 7.5e-07 1.15e-06 9e-07 8e-07 8e-07 8e-07 1.05e-06 8.5e-07 9.5e-07 8e-07 8.5e-07 8e-07 9e-07 9.5e-07 1e-06 1e-06 9.5e-07 1.2e-06 9.5e-07 7e-07 9.5e-07 8.5e-07 8.5e-07 7.5e-07 1.1e-06 7.5e-07 8e-07 9e-07 1.15e-06
46 1.15e-06 1.1e-06 1.3e-06 1.15e-06 1.45e-06 1.05e-06 1e-06 1.1e-06 1.2e-06 9.5e-07 1.25e-06 1.3e-06 1.05e-06 1.05e-06 1.3e-06 1.25e-06 1e-06 1.1e-06 1.1e-06 9.5e-07 1e-06 1.35e-06 8.5e-07 1.4e-06 1.25e-06 1.15e-06 9.5e-07 1.25e-06 1.05e-06 1.4e-06 1.15e-06 1.1e-06 1e-06 1.1e-06 9e-07 1.2e-06 1.2e-06 1.1e-06 1.1e-06 1.05e-06 1.15e-06 1.15e-06 1.2e-06 1.3e-06 1.2e-06 9.5e-07 1.6e-06 1.05e-06 1.15e-06 1.15e-06 1.1e-06 1.05e-06 1.4e-06 1e-06 1.1e-06 1.15e-06 1.4e-06
47 7e-07 5.5e-07 8e-07 7.5e-07 9.5e-07 6e-07 8e-07 6.5e-07 7e-07 8e-07 9e-07 9e-07 6e-07 6e-07 8e-07 7.5e-07 9e-07 6.5e-07 8e-07 8e-07 6e-07 8e-07 1.15e-06 9.5e-07 7.5e-07 6e-07 4e-07 8e-07 5.5e-07 9.5e-07 7e-07 6.5e-07 8e-07 6e-07 1.05e-06 6.5e-07 7.5e-07 6e-07 8.5e-07 6e-07 7e-07 7.5e-07 8e-07 8.5e-07 7.5e-07 7e-07 1.05e-06 8e-07 7.5e-07 7e-07 6.5e-07 6e-07 9e-07 6e-07 6e-07 1e-06 9.5e-07
48 6e-07 7e-07 8e-07 9e-07 8e-07 7e-07 9.5e-07 6e-07 7e-07 1e-06 8.5e-07 9e-07 7.5e-07 5.5e-07 9.5e-07 6e-07 8.5e-07 5.5e-07 9.5e-07 9.5e-07 4.5e-07 9e-07 1.2e-06 7.5e-07 9e-07 7.5e-07 7e-07 7.5e-07 6e-07 7.5e-07 5e-07 8e-07 9e-07 6e-07 1.15e-06 8.5e-07 7.5e-07 6e-07 9e-07 5.5e-07 6.5e-07 5.5e-07 8.5e-07 9e-07 7e-07 9.5e-07 1.15e-06 7.5e-07 9e-07 8.5e-07 5.5e-07 7.5e-07 8.5e-07 6.5e-07 6e-07 1.05e-06 7.5e-07
49 8e-07 7e-07 1e-06 6e-07 9e-07 4e-07 9.5e-07 5.5e-07 7e-07 9.5e-07 1.1e-06 9e-07 5.5e-07 8.5e-07 8.5e-07 8e-07 8.5e-07 7.5e-07 9.5e-07 9.5e-07 8.5e-07 8.5e-07 1.4e-06 1.1e-06 9e-07 4e-07 5e-07 1e-06 7e-07 9.5e-07 6e-07 2.5e-07 8e-07 7e-07 1.15e-06 7.5e-07 9.5e-07 6e-07 8e-07 8.5e-07 9e-07 8.5e-07 8.5e-07 9e-07 6.5e-07 8.5e-07 1.15e-06 7e-07 8.5e-07 5e-07 7.5e-07 5.5e-07 1.05e-06 5.5e-07 7e-07 1e-06 9.5e-07
50 6e-07 5e-07 7e-07 8.5e-07 7e-07 7.5e-07 9e-07 6e-07 6e-07 9e-07 6.5e-07 7.5e-07 5.5e-07 4.5e-07 9e-07 4e-07 7.5e-07 3e-07 7e-07 9e-07 6e-07 8.5e-07 1.15e-06 8.5e-07 7e-07 6.5e-07 6.5e-07 5.5e-07 6.5e-07 6.5e-07 3.5e-07 7e-07 7.5e-07 5e-07 1.1e-06 8e-07 8e-07 5e-07 8e-07 4.5e-07 4.5e-07 5.5e-07 8e-07 8e-07 7e-07 8.5e-07 1.1e-06 6.5e-07 5.5e-07 7.5e-07 6e-07 5.5e-07 6.5e-07 7e-07 5e-07 9.5e-07 6.5e-07
51 7e-07 5.5e-07 7.5e-07 7e-07 8.5e-07 5.5e-07 9e-07 6e-07 7.5e-07 8.5e-07 8e-07 8.5e-07 4.5e-07 5.5e-07 9e-07 7e-07 8.5e-07 5.5e-07 7e-07 9e-07 6.5e-07 8e-07 1.2e-06 9e-07 7.5e-07 6e-07 5.5e-07 7e-07 6.5e-07 8.5e-07 6.5e-07 5e-07 7.5e-07 5.5e-07 1.05e-06 8e-07 8.5e-07 6.5e-07 8e-07 5.5e-07 6e-07 7.5e-07 8.5e-07 9e-07 7e-07 7.5e-07 1.05e-06 6e-07 7.5e-07 5.5e-07 5.5e-07 9e-07 7.5e-07 5.5e-07 5.5e-07 9e-07 8.5e-07
52 7.5e-07 7e-07 5e-07 1.2e-06 6.5e-07 9.5e-07 1.15e-06 7.5e-07 1.05e-06 1.15e-06 7.5e-07 1.1e-06 7.5e-07 5e-07 1.25e-06 8.5e-07 1.25e-06 6.5e-07 9.5e-07 1.15e-06 6e-07 7e-07 1.35e-06 5.5e-07 9e-07 9.5e-07 1e-06 6.5e-07 8e-07 6.5e-07 9e-07 1e-06 1.1e-06 6e-07 1.4e-06 1.15e-06 1e-06 9.5e-07 1.15e-06 5e-07 5.5e-07 8.5e-07 1.2e-06 1.1e-06 8.5e-07 1.1e-06 1.4e-06 9e-07 8.5e-07 1.05e-06 6.5e-07 7.5e-07 8e-07 8.5e-07 6e-07 9.5e-07 6.5e-07
53 6e-07 6.5e-07 7.5e-07 6.5e-07 8.5e-07 4e-07 8.5e-07 5e-07 7.5e-07 8.5e-07 9e-07 9e-07 5.5e-07 5.5e-07 8.5e-07 8e-07 8.5e-07 7e-07 8.5e-07 8.5e-07 4e-07 7.5e-07 1.15e-06 7.5e-07 8.5e-07 6e-07 5e-07 8e-07 5e-07 8.5e-07 7e-07 5e-07 8e-07 5.5e-07 1e-06 7.5e-07 7e-07 6.5e-07 8e-07 5.5e-07 7e-07 6.5e-07 8e-07 9e-07 6e-07 7.5e-07 1e-06 6e-07 6.5e-07 5.5e-07 7e-07 5.5e-07 8.5e-07 8e-07 5.5e-07 9e-07 8.5e-07
54 5.5e-07 5e-07 6e-07 8e-07 7e-07 5.5e-07 8.5e-07 5e-07 7e-07 8.5e-07 7e-07 8e-07 5.5e-07 4e-07 8.5e-07 6.5e-07 9e-07 5e-07 7.5e-07 8.5e-07 4e-07 7e-07 1.15e-06 6.5e-07 7e-07 6e-07 6e-07 6e-07 5e-07 7e-07 6e-07 6.5e-07 8e-07 4e-07 1.1e-06 7.5e-07 7e-07 6e-07 8.5e-07 4e-07 5e-07 6e-07 8e-07 8.5e-07 6e-07 8e-07 1.1e-06 6e-07 6e-07 7e-07 5e-07 5.5e-07 6e-07 5.5e-07 8e-07 9e-07 7e-07
55 1e-06 9.5e-07 9.5e-07 1.1e-06 1e-06 9e-07 1.25e-06 9.5e-07 1.1e-06 1.25e-06 1.05e-06 1.2e-06 9e-07 9e-07 1.25e-06 1.1e-06 9.5e-07 9.5e-07 1e-06 1.25e-06 9e-07 9.5e-07 1.55e-06 1e-06 1.15e-06 1e-06 9e-07 1.05e-06 9.5e-07 1e-06 1e-06 9.5e-07 9e-07 9e-07 1.25e-06 1.15e-06 1.15e-06 1e-06 1e-06 9e-07 9.5e-07 1.05e-06 1.2e-06 1.2e-06 1.05e-06 9e-07 1.15e-06 1e-06 1.05e-06 1e-06 9.5e-07 9e-07 9.5e-07 9e-07 9e-07 1.6e-06 1e-06
56 7.5e-07 8e-07 7e-07 1.1e-06 6e-07 8.5e-07 1.15e-06 7.5e-07 8.5e-07 1.2e-06 9.5e-07 1.05e-06 8.5e-07 7e-07 1.15e-06 7e-07 1.05e-06 6.5e-07 1.1e-06 1.15e-06 7e-07 7.5e-07 1.45e-06 7e-07 1e-06 8.5e-07 9e-07 8.5e-07 8e-07 6e-07 6e-07 9e-07 1.05e-06 7e-07 1.4e-06 1.05e-06 1e-06 7.5e-07 1.05e-06 7e-07 7.5e-07 7.5e-07 1.1e-06 1e-06 8.5e-07 1.15e-06 1.4e-06 9.5e-07 7.5e-07 9.5e-07 6.5e-07 8.5e-07 6.5e-07 8.5e-07 7e-07 1e-06 1.2e-06
